"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"682","Trevor Kuntar","BUF","C","1","5.2","5.2","23.08","138.46","14.29","11.54","126.92","8.33","0","80.77","0.00","0","11.54","0.00","1.07","10.24","9.50","11.54","80.77","12.50","11.54","34.62","25.00","0","11.54","0.00","0","61.54","0.00","0","0","-","16.67","83.33","16.67","0","0","-","-","85.71","0.86","0","0","11.54","80.77","0.00","0","0","11.54","0.00"
"107","T.J. Tynan","COL","C","1","8.2166666666667","8.2166666666667","65.72","124.14","34.62","36.51","102.23","26.32","29.21","51.12","36.36","7.3","0","100.00","1.9","7.55","20.08","14.6","51.12","22.22","7.3","36.51","16.67","0","0","-","9.74","19.47","33.33","0","0","-","84.38","116.02","42.11","10.55","0","100.00","25.00","100.00","1.250","0","0","14.6","73.02","0.00","29.21","7.3","43.81","40.00"
"821","David Spacek","MIN","D","2","21.116666666667","10.558333333333","28.41","119.34","19.23","28.41","76.72","27.03","17.05","45.46","27.27","2.84","5.68","33.33","1.15","3.24","26.16","11.37","53.99","17.39","2.84","11.37","20.00","2.84","2.84","50.00","11.37","56.83","16.67","0","3.79","0.00","41.04","119.02","25.64","0","0","-","16.67","87.50","1.042","5.68","11.37","14.21","48.3","28.57","17.05","19.89","28.41","37.50"
"761","Jorian Donovan","OTT","D","2","13.95","6.975","30.11","103.23","22.58","17.2","90.32","16.00","12.9","47.31","21.43","0","0","-","1.79","4.51","28.35","12.9","43.01","23.08","8.6","17.2","33.33","0","0","-","5.73","34.41","14.29","0","0","-","18.64","86.98","17.65","0","0","-","0.00","100.00","1.000","0","8.6","0","73.12","-","4.3","8.6","0","100.00"
"584","Nathan Légaré","N.J","R","1","8.25","8.25","29.09","101.82","22.22","14.55","50.91","22.22","7.27","50.91","12.50","0","0","-","0.25","3.91","6.08","7.27","43.64","14.29","0","14.55","0.00","0","0","-","9.7","38.79","20.00","0","0","-","42.02","84.04","33.33","0","0","-","0.00","100.00","1.000","14.55","14.55","0","43.64","100.00","21.82","36.36","7.27","75.00"
"801","Marshall Rifai","TOR","D","1","9.6666666666667","9.6666666666667","62.07","99.31","38.46","31.03","74.48","29.41","24.83","49.66","33.33","6.21","6.21","50.00","1.27","3.71","25.46","24.83","43.45","36.36","12.41","18.62","40.00","0","0","-","16.55","33.1","33.33","8.28","8.28","50.00","44.83","80.69","35.71","0","0","-","25.00","87.50","1.125","6.21","0","6.21","74.48","50.00","6.21","0","12.41","33.33"
"745","Shane Lachance","N.J","L","1","7.4166666666667","7.4166666666667","32.36","97.08","25.00","32.36","56.63","36.36","16.18","48.54","25.00","0","0","-","1.45","3.04","32.31","8.09","40.45","16.67","0","16.18","0.00","0","0","-","10.79","32.36","25.00","0","0","-","46.74","81.8","36.36","0","0","-","0.00","100.00","1.000","16.18","16.18","0","48.54","100.00","24.27","24.27","8.09","75.00"
"664","Maxim Groshev","T.B","D","2","22.95","11.475","41.83","96.73","30.19","33.99","73.2","31.71","26.14","54.9","32.26","2.61","0","100.00","2.64","7.92","25.01","26.14","49.67","34.48","7.84","31.37","20.00","2.61","0","100.00","24.4","24.4","50.00","0","0","-","18.88","83.08","18.52","0","0","-","10.00","100.00","1.100","0","10.46","18.3","47.06","0.00","5.23","13.07","33.99","13.33"
"900","Braeden Cootes","VAN","C","3","28.916666666667","9.6388888888889","33.2","89.22","27.12","24.9","62.25","28.57","14.52","41.5","25.93","0","4.15","0.00","0.58","5.24","9.93","8.3","47.72","14.81","0","20.75","0.00","0","0","-","11.07","35.97","23.53","0","2.77","0.00","38.96","59.94","39.39","0","3","0.00","0.00","90.00","0.900","6.22","10.37","4.15","62.25","60.00","14.52","12.45","10.37","58.33"
"113","Joseph LaBate","VAN","C","1","9.5333333333333","9.5333333333333","62.94","88.11","41.67","44.06","50.35","46.67","18.88","25.17","42.86","0","6.29","0.00","2.85","2.69","51.38","31.47","31.47","50.00","18.88","18.88","50.00","0","0","-","16.78","16.78","50.00","0","8.39","0.00","45.45","81.82","35.71","0","0","-","0.00","75.00","0.750","6.29","6.29","0","88.11","100.00","6.29","6.29","12.59","33.33"
