"Player","Season","Team","Position","GP","TOI","TM #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60","RAPM_CF/60","RAPM_CA/60","RAPM_xGF/60","RAPM_xGA/60","Off_GAR/60","Def_GAR/60","Off_xGAR/60","Def_xGAR/60"
"Albert Johansson","24-25","DET","D",61,958.57,26,13.93,27.18,-0.25,-0.006,0.16,0.11,-0.25,0,-0.004,0.002,0.14,0.01,0.13,-0.02
"Albert Johansson","25-26","DET","D",60,874.28,24,13.1,26.06,-0.32,0.011,0.18,0.09,0.26,0.57,-0.008,-0.019,0.11,0.07,0.05,0.04
"Alec Martinez","24-25","CHI","D",44,728.6,29,14,27.48,-1.52,-0.096,0.03,0.05,-1.03,0.5,-0.052,0.044,0.12,-0.1,0.12,-0.07
"Alec Regula","25-26","EDM","D",29,393.5,26,14.21,27.86,-0.45,0.006,0.07,0.17,-0.07,0.38,0.028,0.022,0.12,-0.05,0.19,-0.02
"Aleksander Barkov","24-25","FLA","C",67,983.18,26,15.84,31.74,3.7,0.151,0.29,0.33,1.81,-1.89,0.051,-0.099,0.19,0.1,0.18,0.14
"Alex Alexeyev","24-25","WSH","D",8,123.68,25,13.2,26.17,-0.12,0.051,0.15,0.22,0.06,0.18,0.034,-0.016,0.18,-0.03,0.24,-0.02
"Alex Carrier","24-25","MTL","D",51,956.08,25,14.04,28.25,-0.41,-0.031,0.09,0.17,0.12,0.54,0.03,0.06,0.21,-0.12,0.24,-0.07
"Alex Carrier","24-25","NSH","D",28,476,23,13.63,27.51,1.01,0.019,0.03,0.15,0.47,-0.54,-0.002,-0.021,0.04,-0.01,0.09,0.06
"Alex Carrier","25-26","MTL","D",59,937.83,27,13.34,26.73,0.11,0.001,0.2,0.23,-0.19,-0.29,0.008,0.007,0.22,-0.02,0.23,0.01
"Alex Debrincat","24-25","DET","R",82,1170.35,25,15.53,30.31,-0.22,-0.023,0.09,0.05,-0.4,-0.18,-0.004,0.019,0.08,0.01,0.06,-0.01
"Alex Debrincat","25-26","DET","R",60,844.55,23,15.07,29.97,0.15,0.021,0.22,0.12,0.41,0.26,0.004,-0.017,0.13,0.09,0.08,0.04
"Alex Holtz","24-25","VGK","R",53,581.52,28,14.79,28.33,0.41,0.048,0.13,0.13,0.25,-0.16,0.035,-0.013,0.1,0.03,0.1,0.03
"Alex Holtz","25-26","VGK","R",28,305.63,27,14.75,28.35,0.23,0.011,0.15,0.13,-0.04,-0.27,-0.025,-0.036,0.08,0.07,0.05,0.08
"Alex Iafallo","24-25","WPG","L",82,813.42,28,14.59,28.53,0.9,0.073,0.23,0.22,0.25,-0.65,0.009,-0.065,0.1,0.13,0.13,0.09
"Alex Iafallo","25-26","WPG","L",58,701.52,27,15.2,30.5,0.29,-0.006,0.12,0.18,-0.13,-0.42,0.004,0.01,0.13,-0.01,0.17,0.01
"Alex Kerfoot","24-25","UTA","C",81,984.97,26,14.5,28.83,1.32,0.038,0.17,0.17,0.71,-0.61,0.019,-0.018,0.13,0.04,0.12,0.05
"Alex Kerfoot","25-26","UTA","C",11,100.5,21,13.78,28.09,0.51,-0.024,0.06,0.05,0.06,-0.45,-0.033,-0.008,0.04,0.02,0.03,0.01
"Alex Killorn","24-25","ANA","L",82,1053.18,28,14.71,29.4,-2.13,-0.082,0.13,0.03,-0.32,1.82,-0.008,0.073,0.22,-0.09,0.14,-0.12
"Alex Killorn","25-26","ANA","L",58,725.68,23,14.43,28.93,0.66,0.021,0.19,0.21,1.21,0.55,0.049,0.028,0.22,-0.03,0.23,-0.03
"Alex Laferriere","24-25","L.A","R",77,1106.68,26,15.25,30.24,3.01,0.124,0.3,0.35,1.58,-1.42,0.035,-0.09,0.19,0.11,0.21,0.15
"Alex Laferriere","25-26","L.A","R",59,823.08,23,15,29.78,0.65,-0.011,0.12,0.08,0.53,-0.12,-0.03,-0.019,0.08,0.04,0.03,0.04
"Alex Newhook","24-25","MTL","C",82,1092.1,27,14.47,29.1,-1.88,-0.079,-0.06,0,-0.85,1.02,0.002,0.081,0.1,-0.16,0.12,-0.12
"Alex Newhook","25-26","MTL","C",19,229.7,23,14.55,29.18,-1.46,-0.024,0.24,0.28,-0.79,0.67,0.005,0.029,0.28,-0.04,0.32,-0.04
"Alex Nikishin","25-26","CAR","D",58,899.65,25,13.42,26.56,3.92,0.119,0.31,0.36,2.19,-1.74,0.098,-0.021,0.27,0.04,0.3,0.05
"Alex Ovechkin","24-25","WSH","L",65,840.62,25,15.33,30.39,0.35,0.007,0.27,0.31,0.22,-0.13,0.042,0.035,0.32,-0.05,0.33,-0.02
"Alex Ovechkin","25-26","WSH","L",62,774.33,24,15.12,30.64,0.11,0.022,0.21,0.21,0.92,0.82,0.093,0.071,0.29,-0.08,0.29,-0.09
"Alex Petrovic","24-25","DAL","D",5,69.1,24,13.18,26.62,0.71,0.032,0.3,0.32,0.34,-0.37,0.037,0.005,0.29,0.01,0.32,0
"Alex Petrovic","25-26","DAL","D",51,761.53,24,13.25,26.55,-0.68,0.009,0.2,0.22,-1.01,-0.34,-0.012,-0.021,0.17,0.03,0.19,0.03
"Alex Pietrangelo","24-25","VGK","D",71,1318.37,28,14.52,27.79,0.93,0.065,0.18,0.28,0.49,-0.43,0.066,0.001,0.2,-0.02,0.28,0
"Alex Romanov","24-25","NYI","D",64,1261.83,29,14.38,28.15,0.61,0.028,0.14,0.2,1.01,0.41,0.041,0.013,0.16,-0.02,0.22,-0.02
"Alex Romanov","25-26","NYI","D",15,252.7,21,13.59,27.12,-0.44,-0.061,0.11,0.13,-0.27,0.17,-0.011,0.05,0.15,-0.04,0.17,-0.04
"Alex Steeves","24-25","TOR","C",7,67.18,23,13.4,26.71,-0.03,0.008,0.16,0.12,-0.78,-0.75,-0.057,-0.065,0.08,0.08,0,0.12
"Alex Steeves","25-26","BOS","C",38,393.18,27,14.44,29.35,-0.28,-0.053,0.21,0.18,0.45,0.73,-0.026,0.027,0.23,-0.02,0.2,-0.03
"Alex Texier","24-25","STL","C",31,357.13,26,14.96,28.96,-0.15,0.017,0.21,0.26,-0.72,-0.57,-0.033,-0.05,0.14,0.06,0.17,0.09
"Alex Texier","25-26","MTL","L",31,409.9,25,15.17,30.41,0.45,0.05,0.27,0.37,0.25,-0.2,0.042,-0.007,0.25,0.02,0.34,0.03
"Alex Texier","25-26","STL","L",8,75.6,21,14.01,27.86,-1.09,-0.027,0.12,0.12,-1.19,-0.1,-0.051,-0.024,0.06,0.06,0.06,0.06
"Alex Tuch","24-25","BUF","R",82,1140.15,29,15.15,30.46,0.81,-0.015,0.31,0.26,0.63,-0.18,0.014,0.029,0.35,-0.03,0.28,-0.02
"Alex Tuch","25-26","BUF","R",59,840.5,27,15.36,30.91,0.8,0.048,0.35,0.38,0.53,-0.28,0.047,0,0.3,0.05,0.35,0.03
"Alex Turcotte","24-25","L.A","C",68,737.28,26,14.71,29.18,1.37,0.062,0.28,0.27,0.65,-0.72,-0.007,-0.07,0.19,0.09,0.17,0.1
"Alex Turcotte","25-26","L.A","C",52,551.23,23,14.41,28.59,0.63,0.044,0.09,0.1,0.57,-0.06,0.002,-0.042,0.02,0.08,0.04,0.07
"Alex Vlasic","24-25","CHI","D",82,1535.75,32,14.04,27.45,-1.05,-0.062,0.07,0.11,-0.87,0.18,-0.051,0.011,0.13,-0.06,0.14,-0.03
"Alex Vlasic","25-26","CHI","D",58,1029.32,25,13.54,27.08,-0.81,-0.087,0.09,0.05,-0.41,0.4,-0.033,0.053,0.15,-0.07,0.12,-0.07
"Alex Wennberg","24-25","S.J","C",77,1055.23,39,14.68,29.49,-1.7,-0.085,0.02,0,-0.3,1.4,-0.03,0.055,0.1,-0.09,0.07,-0.08
"Alex Wennberg","25-26","S.J","C",57,812.33,27,14.58,29.95,-0.75,-0.048,0.24,0.19,-0.48,0.26,-0.028,0.02,0.21,0.03,0.2,0
"Alexei Toropchenko","24-25","STL","R",80,886.05,27,14.54,28.14,-0.05,-0.019,0.13,0.19,-1.14,-1.1,-0.075,-0.055,0.07,0.06,0.09,0.11
"Alexei Toropchenko","25-26","STL","R",43,442,28,14.08,28,-1.6,-0.038,0.16,0.09,-1.4,0.2,-0.061,-0.023,0.09,0.07,0.04,0.06
"Alexis Lafrenière","24-25","NYR","L",82,1231.6,34,15.58,31.1,0.58,-0.024,0.13,0.2,0.61,0.03,0.016,0.041,0.2,-0.07,0.24,-0.04
"Alexis Lafrenière","25-26","NYR","L",59,857.28,30,15.92,31.46,0.1,-0.011,0.18,0.16,0.23,0.13,-0.034,-0.023,0.11,0.07,0.12,0.04
"Aliaksei Protas","24-25","WSH","C",76,1096.32,26,15.16,30.04,0.39,0.035,0.26,0.29,0.38,-0.02,0.058,0.022,0.3,-0.04,0.31,-0.02
"Aliaksei Protas","25-26","WSH","C",59,904.85,24,14.9,30.23,1.45,0.095,0.36,0.38,1.17,-0.29,0.093,-0.002,0.32,0.04,0.35,0.03
"Anders Lee","24-25","NYI","L",82,1138.18,30,15.73,30.78,0.96,0.038,0.17,0.21,1.19,0.22,0.04,0.002,0.14,0.03,0.19,0.02
"Anders Lee","25-26","NYI","L",60,773.7,27,15.12,30.11,-0.53,-0.038,0.14,0.15,-0.27,0.26,0.002,0.041,0.19,-0.05,0.2,-0.05
"Andre Burakovsky","24-25","SEA","L",79,988.85,29,14.99,29.76,-1.05,-0.07,0.21,0.12,-0.25,0.8,-0.047,0.023,0.22,-0.01,0.15,-0.03
"Andre Burakovsky","25-26","CHI","L",53,750.83,25,14.89,29.78,-2.05,-0.122,0.06,-0.05,-1,1.04,-0.045,0.077,0.17,-0.12,0.06,-0.11
"Andre Lee","24-25","L.A","L",19,171.42,22,13.5,26.78,0.23,0.024,0.14,0.14,-0.35,-0.58,-0.056,-0.08,0.02,0.12,0.03,0.12
"Andre Lee","25-26","L.A","L",7,71.87,19,13.52,26.67,0.37,0.005,0.09,0.1,0.52,0.15,-0.031,-0.036,0.03,0.05,0.03,0.06
"Andreas Athanasiou","24-25","CHI","C",8,78.63,25,14.65,28.68,-1.9,-0.104,0.02,0.06,-1.02,0.88,-0.032,0.072,0.12,-0.1,0.14,-0.09
"Andreas Englund","24-25","L.A","D",11,108.83,22,13.25,26.32,3.11,0.119,0.34,0.34,1.82,-1.29,0.042,-0.077,0.2,0.13,0.21,0.13
"Andreas Englund","24-25","NSH","D",24,331.88,27,13.09,26.29,0.09,-0.006,0.02,0.08,0,-0.09,-0.008,-0.002,0.06,-0.04,0.09,-0.01
"Andrei Kuzmenko","24-25","CGY","L",37,453.95,26,15.13,29.98,0.72,-0.043,0.02,0.02,1.18,0.46,-0.028,0.015,0.06,-0.03,0.05,-0.03
"Andrei Kuzmenko","24-25","L.A","L",22,278.7,24,15.59,30.91,1.87,0.071,0.33,0.34,1.38,-0.49,0.014,-0.057,0.28,0.06,0.27,0.08
"Andrei Kuzmenko","24-25","PHI","L",7,101.35,21,15.51,30.19,-1.35,0.048,0.14,0.14,-0.42,0.93,0.022,-0.026,0.11,0.03,0.11,0.03
"Andrei Kuzmenko","25-26","L.A","L",52,606.32,23,14.83,29.46,1.27,0.011,0.1,0.09,0.85,-0.43,-0.015,-0.026,0.04,0.06,0.03,0.06
