"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"132","Sean Monahan","CBJ","C","54","82.966666666667","1.5364197530864","0","2.17","0.72","1.45","2.17","100.00","6.51","0.00","0.43","6.51","6.51","2.89","1.45","1.45","0","0","0","0","0","0","1.45","0","1.45","0","0","3.62","41.94","43.39","35.55"
"266","Rasmus Dahlin","BUF","D","73","51.966666666667","0.71187214611872","0","1.15","0","1.15","1.15","50.00","3.46","0.00","0","4.62","3.46","1.15","1.15","2.31","0","2.31","1.15","1.15","0","0","1.15","2.31","0","3.46","0","3.46","0","0","-"
"292","Drew Helleson","ANA","D","56","55.433333333333","0.98988095238095","0","1.08","0","1.08","1.08","50.00","1.08","0.00","0","1.08","1.08","0","0","0","0","2.16","1.08","1.08","0","0","0","2.16","4.33","4.33","0","6.49","0","0","-"
"8","Erik Johnson","COL, PHI","D","36","61.35","1.7041666666667","0","0.98","0","0.98","0.98","inf","0.98","0.00","0","0.98","0.98","0","0","0.98","0","0","0","0","0","0","0","0.98","2.93","3.91","0","2.93","0","0","-"
"333","Emil Lilleberg","T.B","D","76","61.466666666667","0.80877192982456","0","0.98","0","0.98","0.98","25.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0.98","0","4.88","1.95","6.83","0","0","-"
"118","Connor Clifton","BUF","D","73","200.43333333333","2.7456621004566","0","0.9","0","0.9","0.9","75.00","2.1","0.00","0.08","2.69","2.39","0.6","0.3","0.6","0.3","1.2","0.6","0.6","0","0","0.6","1.8","0.9","8.08","1.5","9.28","0","0","-"
"147","Aaron Ekblad","FLA","D","56","136.58333333333","2.4389880952381","0","0.88","0","0.88","0.88","33.33","2.64","0.00","0.09","3.08","2.64","0.88","0.44","0.44","0.44","1.76","0.88","0.88","0","0","0.88","1.76","1.76","4.83","0","3.08","0","0","-"
"313","Jake Sanderson","OTT","D","80","207.81666666667","2.5977083333333","0","1.15","0.29","0.87","1.15","133.33","2.31","0.00","0.04","2.6","2.6","0.58","0","1.15","0","0.58","0.29","0.29","0","0","0.29","2.02","1.15","1.73","1.44","8.08","0","0","-"
"323","Artem Zub","OTT","D","56","141.08333333333","2.5193452380952","0","0.85","0","0.85","0.85","100.00","1.28","0.00","0.08","1.28","1.28","0.43","0.43","0.43","0","0","0","0","0","0","0.85","1.7","1.7","0","0.43","10.21","0","0","-"
"209","Adam Fox","NYR","D","74","149.81666666667","2.0245495495495","0.4","0.8","0","0.8","1.2","50.00","5.61","7.14","0.31","6.41","5.61","2","0.4","1.2","0.4","2.4","1.2","1.2","0","0","0.4","1.2","1.6","2.4","0.4","5.21","0","0","-"
"116","MacKenzie Weegar","CGY","D","81","152.45","1.8820987654321","0","0.79","0","0.79","0.79","40.00","2.76","0.00","0.01","4.33","2.76","0.79","0","0.79","0","0.79","0.39","0.39","0","0","0.39","0.39","0","6.69","1.18","11.02","0","0.39","0.00"
"225","Mathieu Olivier","CBJ","R","82","76.233333333333","0.92967479674797","0.79","0.79","0","0.79","1.57","66.67","1.57","50.00","0.28","4.72","3.94","2.36","0.79","0.79","0.79","0","0","0","0","0","0","0","0.79","1.57","0.79","4.72","1.57","1.57","39.35"
"110","Jaccob Slavin","CAR","D","80","236.05","2.950625","0","0.76","0","0.76","0.76","60.00","0.76","0.00","0.03","1.53","1.27","0.25","0","0.76","0","0","0","0","0","0","0.25","1.27","2.03","2.03","1.27","6.35","0","0","-"
"120","Pavel Buchnevich","STL","L","76","81.033333333333","1.0662280701754","0","1.48","0.74","0.74","1.48","100.00","2.22","0.00","0.09","4.44","3.7","0.74","0.74","0.74","0","0","0","0","0","0","0","1.48","0","2.22","0","2.96","1.48","3.7","21.16"
"29","Kyle Palmieri","NYI","C","82","85.933333333333","1.0479674796748","0","0.7","0","0.7","0.7","33.33","1.4","0.00","0.21","3.49","2.09","2.09","0.7","0","0","0","0","0","0","0","0","0.7","1.4","0","0","0.7","2.09","0","69.82"
