"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"129","Jarred Tinordi","CHI","D","52","710.66666666667","13.666666666667","-7.12","8.09","-6.46","-4.03","6.89","-6.29","-3.17","3.19","-5.53","-0.19","1.49","-12.50","-0.2","0.31","-4.94","-3.52","4.63","-7.27","-1.21","1.34","-5.73","-0.2","0.77","-15.26","-3.08","4.38","-8.33","0","1.13","-20.83","-11.72","7.08","-10.17","0.01","-0.18","3.70","7.20","88.25","0.954","2.7","10.89","9.29","54.62","22.54","8.61","16.38","20.94","29.14"
"146","Nick Seeler","PHI","D","71","1025.4666666667","14.443192488263","9.96","8.04","0.54","7.8","2.99","2.26","6.32","1.37","3.46","0.56","-0.13","6.63","0.43","0.02","3.72","3.17","2.61","0.39","1.9","0.42","2.86","0.61","-0.07","12.14","1.7","2.91","-1.32","0.01","-0.02","0.77","7.92","6.05","0.61","-0.08","-0.07","-0.90","7.89","90.45","0.983","7.02","10.3","7.55","58.92","48.19","19.43","16.44","15.91","54.97"
"519","Timothy Liljegren","TOR","D","55","887.66666666667","16.139393939394","1.98","7.93","-2.49","4.08","4.06","-0.14","3.2","3.51","-0.63","-0.25","-0.05","-1.73","0.33","0.08","2.27","3.96","1.86","1.72","2.35","-0.49","5.86","0.25","-0.56","16.61","2.14","3.13","-1.11","-0.71","0.32","-22.47","1.62","8.88","-3.76","0.05","0.39","-10.82","7.93","91.99","0.999","11.29","12.98","6.96","49.75","61.85","23.05","17.51","15.88","59.20"
"203","Matt Grzelcyk","BOS","D","63","991.28333333333","15.734656084656","-0.3","7.91","-3.28","0.27","7.28","-3.88","-0.95","4.91","-4.90","-0.56","-0.54","1.68","-0.03","0.43","-4.44","0.78","4.8","-3.43","-0.16","2.93","-6.34","-0.06","-0.52","11.01","1.25","2.49","-1.24","-0.31","-0.07","-7.49","4.53","5.21","0.17","-0.38","0.05","-20.71","8.91","94.83","1.037","10.11","13.56","7.93","52.54","56.04","20.28","18.64","17.73","53.34"
"152","Jean-Gabriel Pageau","NYI","C","82","968.96666666667","11.816666666667","-7.49","7.73","-6.17","-7.4","3.75","-6.62","-6.65","1.62","-7.30","-0.45","0.43","-9.29","-0.35","0.05","-3.91","-4.53","2.11","-6.15","-0.48","0.51","-2.19","0.16","0.03","2.46","-5.39","2.13","-9.10","-0.61","0.23","-22.30","-6.22","12.81","-8.65","-0.22","0.33","-21.21","8.70","91.75","1.004","8.24","14.12","16.04","48.92","33.93","14.37","19.57","27.06","34.68"
"156","Brandon Saad","STL","L","82","1063.5","12.969512195122","1.32","7.66","-2.29","2.4","5.64","-1.43","2.07","4.87","-1.81","0.51","0.57","-0.01","0.15","0.21","-0.24","1.96","3.97","-1.26","0.47","0.9","-0.52","0.17","0.38","-2.88","1.99","4.09","-1.91","0.21","-0.32","12.96","-0.07","6.97","-3.10","0.27","0.64","-10.05","9.22","91.75","1.010","7.9","11.9","8.29","43.5","48.78","15.46","16.64","19.58","44.12"
"31","Jamie Benn","DAL","L","82","905.2","11.039024390244","5.15","7.55","-1.26","3.13","4.54","-1.05","2.78","3.6","-0.99","-0.28","-0.01","-2.44","0.63","0.35","1.62","3.28","2.97","-0.29","1.88","1.13","0.92","0.11","-0.11","4.07","1.87","2.45","-1.09","-0.46","-0.12","-5.66","7.08","6.88","-0.20","-0.08","0.28","-17.16","8.10","92.02","1.001","12.66","13.46","11.07","51.04","53.35","23.33","19.95","22.01","51.46"
"469","Brandon Duhaime","COL, MIN","R","80","703.56666666667","8.7945833333333","-4.68","7.52","-5.06","-5.24","5.81","-6.52","-3.02","4.56","-6.46","-0.63","0.22","-8.26","-0.49","0.19","-7.26","-4.19","2.52","-6.29","-2.52","0.75","-7.94","-0.6","-0.2","-8.28","-2.22","2.35","-5.27","-0.23","0.35","-12.32","-2.02","11.28","-6.08","0.2","0.23","2.00","8.25","91.01","0.993","6.91","14.07","10.57","52.7","39.51","13.99","18.68","21.15","39.81"
"75","Matt Duchene","DAL","C","80","1075.65","13.445625","-4.19","7.5","-4.90","-0.84","7.64","-5.04","-0.82","5.95","-5.92","0.18","-0.53","7.24","-0.11","0.46","-5.83","0.31","5.46","-5.07","-1.05","1.78","-6.77","0.47","-0.09","9.36","1.81","4.91","-4.03","-0.23","-0.4","7.14","-2.94","3.49","-3.09","-0.18","-0.2","2.78","10.15","93.62","1.038","10.93","12.89","7.36","41.78","59.76","20.3","17.96","19.13","51.49"
"194","Mike Matheson","MTL","D","82","1425.3166666667","17.381910569106","-3.19","7.49","-4.25","-1.18","2.55","-2.14","-0.35","0.85","-1.01","-0.6","0.03","-6.67","-0.16","0.1","-2.38","-0.74","4.02","-3.88","-1.19","-0.01","-2.79","-0.41","-0.07","-6.75","0.6","5.37","-4.39","-0.08","0.23","-6.42","-2.83","10.68","-6.53","-0.12","-0.09","-2.12","7.79","92.01","0.998","6.48","12","11.03","36.03","37.02","16.59","18.82","22.69","42.23"
"133","Jani Hakanpää","DAL","D","64","954.71666666667","14.917447916667","-9.34","7.46","-7.05","-6.73","3.26","-5.88","-3.16","3.04","-5.35","-0.03","0.55","-5.42","-0.5","0.06","-5.46","-3.87","3.77","-7.14","-3.31","-0.06","-7.48","-0.11","0.22","-5.62","-0.74","5.1","-6.98","0.08","0.29","-5.50","-18.1","4.22","-11.03","0.03","0.16","-5.85","10.49","90.25","1.007","3.9","13.01","9.8","52.98","28.44","11.12","20.3","21.24","34.37"
"699","Lukas Reichel","CHI","L","65","770.76666666667","11.857948717949","-1.58","7.39","-3.45","-0.59","6.23","-3.54","0.55","5.45","-3.40","-0.74","0.47","-13.67","-0.22","0.5","-6.50","-2.34","4.27","-5.66","-1.01","0.65","-3.97","-0.33","0.66","-16.54","-1.76","4.83","-6.94","-0.53","0.2","-23.33","3.84","5.02","-0.07","-0.03","-0.5","15.08","5.15","91.10","0.963","8.8","9.96","5.22","47.95","62.78","19.07","15.8","16.74","53.26"
"326","Louie Belpedio","PHI","D","12","148.61666666667","12.384722222222","-8.92","7.34","-6.94","-6.46","2.62","-5.62","-3.65","-4.06","0.63","0.32","-2.1","25.00","-0.63","0.52","-12.02","-2.82","7.04","-9.17","-3.07","1.22","-10.25","-0.4","-0.23","-1.19","0.33","7.75","-8.23","-0.27","-1.92","58.82","-8.77","-9.05","-0.26","1.33","-0.62","60.00","13.24","95.16","1.084","7.27","13.73","7.27","53.29","50.00","16.96","18.97","13.32","56.00"
