"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"32","Nick Bonino","NYR","C","45","444.3","9.8733333333333","-18.69","18.98","-15.98","-13.14","6.77","-12.31","-8.42","3.21","-10.44","-1.73","0.1","-23.35","-1.03","0.38","-14.96","-10.79","6.59","-16.33","-5.46","2.35","-18.59","-0.64","-0.75","-2.01","-7.1","5.65","-14.91","-1.11","0.52","-47.22","-16.29","22.84","-19.56","-0.36","0.67","-42.86","4.62","91.11","0.957","6.89","11.75","12.69","54.42","35.17","12.56","15.8","23.63","34.70"
"242","Josh Brown","ARI","D","51","638.55","12.520588235294","-4.2","16.02","-8.00","-1.83","11.41","-7.08","0.93","7.76","-5.06","0.28","0.64","-3.42","0.07","0.76","-5.71","-0.5","8.72","-7.44","0.17","3.98","-7.39","-0.26","0.51","-14.36","-0.9","6.32","-7.46","0.37","0.37","0.00","-3.76","10.5","-6.71","0.37","-0.22","18.28","11.46","91.49","1.030","7.99","11.18","9.68","59.67","45.21","16.44","17.48","21.52","43.32"
"59","Travis Hamonic","OTT","D","48","628.9","13.102083333333","-10.04","14.85","-10.04","-6.83","9.57","-9.42","-5.36","7.16","-10.08","-0.71","0.36","-9.10","-0.46","0.73","-10.66","-5.67","6.64","-10.73","-0.79","2.74","-7.12","-0.52","-0.16","-5.84","-6.51","5.19","-13.57","-0.31","0.39","-14.25","-6","11.07","-8.42","0.06","0.33","-8.33","8.96","90.19","0.991","9.25","13.26","9.16","52.85","50.26","19.65","19.75","18.6","51.37"
"676","Louis Crevier","CHI","D","24","345.81666666667","14.409027777778","-3.92","14.63","-7.01","-6.19","6.71","-7.66","-5.23","6.29","-9.64","-0.6","0.41","-10.82","-0.75","0.74","-15.18","-2.11","6.99","-6.99","-3.38","5.96","-17.74","-0.52","0.5","-16.41","1.7","1.38","0.98","-0.15","-0.51","-1.05","-6.65","14.78","-10.11","0.04","0.43","-3.33","5.00","89.59","0.946","2.78","10.24","9.89","57.08","21.92","12.67","15.09","25.16","33.49"
"46","Alec Martinez","VGK","D","55","915.93333333333","16.653333333333","0.31","14.06","-5.06","-1.44","5.9","-4.13","-0.42","4.01","-3.62","0.33","0.69","-3.43","-0.28","0.42","-6.95","-0.77","6.55","-6.17","-1.14","1.79","-6.78","0.13","0.17","-1.52","0.49","6.35","-5.80","0.14","-0.03","3.33","-0.07","9.92","-4.41","0.13","0.79","-12.57","9.84","90.80","1.006","7.8","13.1","8.97","42.91","46.48","17.36","17.88","18.41","48.53"
"497","Cody Glass","NSH","C","41","436.01666666667","10.634552845528","-1.82","12.11","-5.71","-3.95","8.05","-6.90","-0.8","5.68","-5.28","-0.87","0.77","-16.01","-0.46","0.84","-12.11","-2.89","7.21","-8.84","-3.35","2.51","-13.09","-0.89","0.49","-26.39","0.61","6.26","-6.27","0.09","0.14","-1.35","4.82","7.01","-1.18","-0.06","0.3","-11.43","6.33","90.57","0.969","7.98","13.76","8.53","52.84","48.33","19.27","19.95","18.71","50.72"
"404","Noel Acciari","PIT","C","55","568.68333333333","10.339696969697","-21.97","12.08","-14.15","-15.44","6.15","-12.54","-10.65","2.79","-11.32","-1.28","0","-13.29","-1.27","0.32","-15.53","-13.86","1.83","-14.97","-5.44","1.11","-14.52","-0.57","-0.29","-6.84","-11.23","0.97","-15.37","-0.61","-0.28","-12.24","-22.75","26.16","-22.88","-0.36","0.76","-32.59","7.39","91.75","0.991","3.06","12.13","23.32","50.01","11.60","6.54","16.88","38.93","14.39"
"158","Matt Nieto","PIT","L","22","198.63333333333","9.0287878787879","-19.07","11.93","-12.54","-14.72","6.03","-11.57","-8.48","4.07","-9.96","-0.67","-1.19","10.42","-1.32","0.24","-14.77","-13.8","-0.46","-12.36","-5.67","-0.81","-10.28","-0.44","-0.67","6.08","-10.83","0.46","-13.69","-0.2","-0.82","45.00","-23.03","21.63","-21.43","-0.12","0.14","-10.26","8.99","96.49","1.055","3.32","12.08","16.92","49.84","16.42","6.34","15.1","31.11","16.94"
"487","Mason Shaw","MIN","C","20","161.91666666667","8.0958333333333","-11.63","11.82","-10.38","-8.07","6.63","-9.25","-6.45","3.94","-9.60","-0.39","-0.32","-0.82","-0.67","0.04","-8.47","-7.63","1.25","-9.94","-3.83","0.85","-13.29","-0.2","0.47","-14.81","-5.07","0.54","-7.80","-0.07","-1.06","50.00","-11.88","10.56","-11.13","-0.2","0.01","-8.33","8.06","93.90","1.020","4.45","7.78","8.52","55.58","34.29","8.15","12.6","16.3","33.33"
"191","Scott Laughton","PHI","C","82","973.71666666667","11.874593495935","-8.15","11.81","-8.11","-4.24","8.69","-7.68","-2.68","6.67","-8.12","-0.21","0.68","-7.88","-0.5","0.59","-10.91","-5.39","5.87","-10.43","-2.52","3.23","-12.82","-0.42","0.3","-13.91","-3.84","3.52","-8.78","0.45","0.39","1.90","-8.3","6.56","-7.14","-0.17","0.12","-12.76","7.64","89.53","0.972","9.55","12.82","7.46","50.53","56.16","17.25","19.96","17.93","49.04"
"180","Barclay Goodrow","NYR","C","80","822.08333333333","10.276041666667","-19.23","11.51","-13.37","-14.83","5.27","-12.50","-10.27","1.72","-11.04","-1.24","0.25","-16.97","-0.73","0.35","-11.08","-8.4","2.6","-10.61","-3.17","1.12","-10.17","-0.56","0.03","-15.19","-6.97","1.98","-10.90","-0.95","-0.05","-28.10","-23.83","22.03","-23.20","0.05","0.37","-14.96","7.05","91.37","0.984","5.55","15.33","17.08","45.83","24.52","9.56","20.65","30.07","24.13"
"350","Frank Vatrano","ANA","R","82","1050.3833333333","12.809552845528","2.45","11.13","-3.23","2.38","9.17","-3.44","3.46","6.81","-2.16","0.95","1.51","-1.55","0.23","0.45","-1.54","2.78","4.83","-1.23","1.79","2.18","0.10","0.31","0.27","1.92","1.31","3.53","-2.20","0.12","1.13","-14.91","4.32","10.99","-2.59","0.8","0.56","16.88","9.36","89.09","0.985","10.8","10.97","9.43","43.47","53.39","19.54","16.74","20.68","48.58"
"250","Miles Wood","COL","L","74","891.23333333333","12.043693693694","4.2","11.04","-2.91","0.81","7.41","-3.78","0.77","5.27","-3.76","-0.93","0.43","-12.38","0.28","0.58","-2.94","0.69","6.09","-5.01","1.45","2.97","-3.60","0.04","0.88","-12.87","-1.01","4.16","-6.05","-1.17","-0.5","-7.22","-3.74","8.4","-5.75","-0.14","-0.11","-2.05","7.23","91.39","0.986","6.87","13.87","9.43","52.17","42.15","12.12","19.32","20.67","36.96"
"478","Michael Carcone","ARI","L","74","783.61666666667","10.589414414414","1.66","10.91","-3.60","-2.29","6.21","-4.82","-0.96","3.46","-3.68","0.4","0.36","0.42","-0.17","0.52","-6.30","-2.64","6.98","-8.19","-0.78","3.09","-8.00","0.03","-0.02","0.88","-2.47","5.18","-8.32","-0.36","0.69","-19.85","6.06","3.74","1.39","0.92","-0.21","36.76","11.08","91.06","1.021","9.26","13.71","8.88","50.53","51.05","17.3","18.3","16.92","50.56"
"226","Vinnie Hinostroza","PIT","C","14","122.11666666667","8.722619047619","-6.07","10.9","-6.61","0.82","4.26","-1.77","3.57","1.51","1.37","-1.05","0.48","-18.60","-0.7","0.63","-11.19","-8.92","7.26","-13.62","-3.79","3.58","-14.15","-0.06","0.54","-8.99","-6.84","4.9","-13.16","-0.59","0.22","-57.14","-4.49","10.37","-7.15","-0.79","-0.32","-71.43","4.00","92.54","0.965","2.46","13.76","11.79","58.96","17.24","5.9","17.69","16.21","26.67"
"87","Tyson Barrie","NSH","D","41","603.31666666667","14.715040650407","-4.95","10.87","-6.57","-4.21","8.26","-7.22","-1.89","6.44","-6.59","-0.15","-0.09","-0.72","-0.23","0.56","-7.35","-3.56","6.02","-8.45","-0.79","2.26","-6.63","0.33","0.39","-2.17","-3.7","5.01","-9.73","-0.29","-0.6","9.84","-2.71","3.34","-3.12","-0.39","-0.04","-30.00","8.63","92.76","1.014","8.25","10.24","5.47","47.84","60.14","18.1","17.6","15.71","53.53"
"368","Oliver Kylington","CGY","D","33","526.46666666667","15.953535353535","-2.76","10.82","-5.43","-1.15","8.06","-5.28","-0.82","4.85","-4.71","-0.15","0.48","-5.71","0.23","0.44","-2.10","1.95","3.04","-1.05","0.89","0.79","0.30","-0.19","-0.08","-1.91","1.41","2.99","-1.93","0.4","0.64","0.84","-1.98","4.06","-2.81","-0.38","0.11","-14.17","8.05","90.53","0.986","7.75","11.74","5.93","59.15","56.67","19.94","17.66","14.7","57.57"
"94","David Savard","MTL","D","60","982.13333333333","16.368888888889","-0.8","10.17","-4.13","-0.2","7.16","-3.99","-0.17","5.86","-4.82","0.63","0.94","-3.23","0.04","0.44","-3.32","2.82","5.61","-1.63","1.72","1.93","0.01","0.67","-0.1","12.64","1.46","4.9","-2.80","0.09","1.08","-18.98","-3.74","5.47","-4.64","-0.19","0.34","-26.67","11.47","90.91","1.024","7.21","10.87","8.92","38.18","44.70","18.57","18.27","19.67","48.56"
"639","Adam Beckman","MIN","L","11","103.13333333333","9.3757575757576","-17","10.07","-12.45","-11.07","6.8","-11.30","-9.89","1.26","-11.04","-1.85","-0.37","-27.37","-1.33","0.64","-23.61","-8.84","8.79","-17.83","-8.82","6","-39.09","-1.48","-0.01","-45.83","-0.02","3.73","-4.16","-0.12","0.06","-5.56","-18.07","4.62","-12.86","-0.39","-0.58","-40.00","2.94","92.31","0.952","5.24","15.13","8.14","45.38","39.13","9.31","17.45","16.29","36.36"
"196","Cody Ceci","EDM","D","79","1326.7","16.793670886076","-3.69","10.03","-6.01","-3.1","8.89","-7.23","-3.25","4.73","-6.77","-0.32","0.27","-5.59","-0.19","0.45","-5.89","-2.31","4.2","-5.76","-1.06","2.45","-7.44","-0.65","0.28","-14.60","-1.66","2.34","-4.58","0.47","-0.09","14.48","-4.62","9.29","-7.38","-0.03","0.08","-6.67","8.73","91.70","1.004","7.55","13.34","7.15","39.71","51.38","17.05","20.31","17.46","49.41"
"309","Tony DeAngelo","CAR","D","31","347.3","11.203225806452","-2.39","9.94","-5.51","-0.1","8.87","-5.77","1.51","7.94","-6.11","-0.56","1.45","-21.81","-0.27","0.77","-10.57","-4.16","7.62","-11.25","-1.03","3.74","-11.77","-0.14","0.81","-21.11","-4.17","5.17","-10.86","0","0.62","-11.78","6.73","1.36","1.60","-0.6","0.27","-45.24","5.61","90.06","0.957","11.4","9.85","5.01","47.34","69.47","23.32","16.93","16.07","59.21"
"615","Jake Christiansen","CBJ","D","12","156.55","13.045833333333","-10.31","9.56","-8.27","-7.86","6.78","-8.70","-8.07","-0.19","-8.13","-0.21","0.4","-5.31","-1.03","0.06","-13.61","-6.29","1.7","-8.25","-2.88","0.87","-10.23","-0.18","-0.19","-0.62","-4.54","1.1","-7.01","0.49","0.12","12.73","-6.83","11.43","-8.40","-0.58","0.72","-60.00","9.80","90.22","1.000","4.98","8.43","4.98","50.59","50.00","16.86","14.56","14.95","53.01"
"16","T.J. Oshie","WSH","R","52","683.91666666667","13.152243589744","-2.11","9.48","-4.71","-2.2","6.5","-5.15","-2.32","4.28","-5.84","-0.45","0.21","-7.78","-0.13","0.54","-6.30","2.02","4.62","-2.24","0.45","0.26","0.47","-0.17","0.09","-4.90","2.09","5.82","-4.08","-0.02","0.09","-3.85","-0.12","-0.69","0.26","-0.38","0.08","-31.16","7.27","92.03","0.993","14.48","13.69","6.76","45.18","68.18","24.21","18.77","14.65","62.30"
"311","Robby Fabbri","DET","C","68","716.8","10.541176470588","-1.6","9.43","-4.23","-0.74","8.21","-4.70","-0.6","6.9","-5.70","-0.39","0.53","-8.21","0.12","0.42","-2.39","0.18","4.69","-3.56","0.79","0.75","0.58","0.09","0","1.74","-0.82","5.26","-6.01","-0.7","0.52","-25.75","-4.46","4.45","-4.36","0.07","0.2","-7.38","9.03","91.10","1.001","7.87","11.05","8.2","49.39","48.96","13.39","16.07","17.16","43.84"
"128","Tyler Seguin","DAL","C","68","876.23333333333","12.885784313725","0.25","9.1","-3.73","0.84","8.52","-4.54","0.3","5.89","-4.82","0.59","-0.09","5.70","0.26","0.62","-3.91","3.68","6.47","-3.09","0.59","2.91","-5.76","0.75","0.29","6.75","4.12","4.76","-1.37","-0.43","-0.48","5.96","-1.38","4.94","-3.06","0.23","-0.03","11.64","11.06","92.74","1.038","10.61","12.6","7.74","44.65","57.84","21.09","18.21","19.79","51.59"
"187","Phillip Di Giuseppe","VAN","L","51","544.75","10.68137254902","-8.43","9.01","-7.73","-6.07","8.13","-8.77","-4.07","5.8","-9.00","-1.45","0.25","-17.75","-0.5","0.55","-10.53","-7.38","4.92","-12.00","-4.08","2.28","-14.70","-0.96","0.12","-19.14","-4.4","3.52","-10.05","-0.32","-0.13","-3.97","-0.62","5.18","-2.94","-0.36","0.32","-34.85","7.48","93.03","1.005","9.58","14.65","8.26","53.31","53.70","17.07","19.39","16.19","51.32"
"552","Trey Fix-Wolansky","CBJ","R","11","114.5","10.409090909091","8.47","8.78","0.10","7.29","2.29","2.87","9.4","-2.7","9.00","1.67","-0.2","19.44","0.16","0.6","-2.62","-0.18","5.49","-3.86","1.12","4.56","-3.83","0.9","-1.22","37.27","-1.74","1.23","-2.87","1.56","-0.37","41.67","9.44","-4.9","6.68","-0.58","1.88","-60.00","8.33","90.91","0.992","13.62","9.96","6.81","49.78","66.67","23.06","16.24","14.15","61.97"
"571","Filip Zadina","S.J","R","72","847.21666666667","11.766898148148","2.94","8.76","-1.76","0.74","7.96","-3.41","0.98","5.8","-3.20","0.04","1.31","-7.34","0.12","0.43","-2.07","1.78","5.77","-2.30","0.87","1.91","-1.27","-0.1","0.69","-10.56","1.22","5.14","-2.99","0.42","0.48","3.42","-1.08","6.34","-3.24","-0.25","0.38","-22.45","6.50","88.43","0.949","5.67","11.26","8.29","48.44","40.61","14.94","16.86","18.55","44.61"
"166","Mark Scheifele","WPG","C","74","1192.5166666667","16.11509009009","-0.78","8.73","-4.05","-0.29","9.37","-5.66","-0.51","6.49","-5.95","0.29","0.69","-6.28","0.08","1.03","-9.08","1.2","7.78","-6.13","0.38","5.24","-10.36","0.16","0.8","-14.12","1.09","3.4","-2.89","0.29","-0.09","8.59","4.16","1.11","1.43","-0.13","-0.06","-1.54","9.93","93.08","1.030","13.64","10.57","6.59","36.43","67.41","24.45","14.59","15.45","61.29"
"770","Jiri Smejkal","OTT","L","20","164.31666666667","8.2158333333333","-11.8","8.64","-8.46","-5.71","-0.15","-3.44","-8.35","0.68","-8.89","-1.29","-0.17","-20.40","-0.51","-0.24","-3.63","-8.07","-0.47","-7.94","-5.6","-0.76","-16.50","-1.17","-0.3","-45.45","-3.3","0.38","-4.15","-0.34","-0.55","5.56","-9.29","6","-7.68","0.19","0.8","-5.00","3.51","91.57","0.951","8.76","8.76","6.57","58.42","57.14","14.24","13.15","14.97","48.75"
"200","Jacob Trouba","NYR","D","69","1189.95","17.245652173913","-1.36","8.6","-4.10","-3.34","3.56","-4.01","-1.75","2.51","-3.60","-0.37","0.3","-6.67","-0.17","-0.01","-1.58","-0.67","2.75","-3.05","-0.52","0.53","-2.32","-0.01","0.19","-3.43","-0.19","2.96","-3.57","-0.01","0.09","-2.39","-3.96","7.57","-5.75","-0.5","0.06","-21.49","7.61","90.95","0.986","6.55","15.68","6.66","41.04","49.62","17.65","22.94","18.05","49.44"
"722","Ilya Solovyov","CGY","D","10","143.56666666667","14.356666666667","-13.63","8.57","-9.16","-9.39","0.5","-5.54","-4.7","-1.34","-2.61","-1.72","-0.32","-21.90","-0.76","0.07","-8.00","-12.03","2.45","-13.81","-2.43","2.94","-11.14","-0.78","-0.04","-21.18","-12.8","-0.65","-15.83","-0.68","-0.81","-33.33","-5.12","8.27","-6.47","-0.63","0.47","-29.17","2.94","89.23","0.922","6.27","10.87","5.85","56.84","51.72","17.13","19.22","17.13","50.00"
"353","Kyle Connor","WPG","L","65","999.61666666667","15.378717948718","-1.33","8.56","-4.21","0.08","7.58","-4.35","0.33","5.43","-4.26","0.07","0.9","-9.87","0.04","0.85","-7.55","1.86","6.7","-4.38","0.35","4.22","-7.91","-0.11","0.81","-16.60","2.01","3.31","-1.57","0.31","-0.02","8.49","2.96","1.2","0.82","-0.08","0.15","-15.00","8.60","92.11","1.007","14.23","9.72","6.36","37.93","69.10","25.03","14.11","15.49","61.78"
"407","Will Borgen","SEA","D","82","1293.05","15.768902439024","-4.75","8.46","-5.60","-0.75","4.82","-3.28","-0.2","3.32","-3.07","0.18","0.82","-6.83","0.03","0.29","-2.62","-2.22","4.92","-6.77","1.58","1.34","0.46","0.03","0.38","-6.88","-5.07","4.78","-11.47","0.25","0.23","1.32","-8.58","13.23","-10.43","-0.07","0.39","-20.63","8.15","91.01","0.992","3.67","11.41","11.97","52.81","23.44","13.13","17.22","24.55","34.85"
"300","Haydn Fleury","T.B","D","24","354.11666666667","14.754861111111","-7.16","8.41","-6.50","-6.28","2.88","-5.65","-4.69","1.04","-5.37","0.09","-1.14","12.57","-0.52","-0.34","-2.65","-2.76","3.22","-5.38","-2.05","-1.67","-1.21","0.17","-0.92","26.28","-0.95","6.52","-7.96","-0.3","-0.24","0.00","-8.7","8.5","-8.78","0.22","0.05","7.14","12.23","93.89","1.061","5.76","16.44","9.49","48.63","37.78","12.54","21.69","19.49","39.15"
"170","Jamie Oleksiak","SEA","D","82","1314.6833333333","16.032723577236","-1.77","8.28","-4.27","1.09","4.5","-1.99","1.56","2.87","-1.13","0.26","0.62","-3.88","0.18","0.29","-1.12","-0.43","4.54","-4.76","1.79","1.62","0.26","0.41","0.14","5.98","-2.96","3.88","-7.97","0.05","0.2","-3.93","-7.4","13.03","-9.75","-0.28","0.47","-32.85","8.01","91.36","0.994","4.24","11.36","12.09","50.25","25.98","13.19","17.11","24.92","34.61"
"496","Jaret Anderson-Dolan","L.A, NSH","C","31","321.88333333333","10.383333333333","-9.19","8.27","-7.32","-8.09","6.77","-8.68","-3.69","6.32","-8.50","-0.5","0.47","-9.96","-0.31","0.37","-6.69","-4.59","4.38","-8.40","-0.36","1.52","-4.37","-0.59","0.65","-25.75","-5.64","3.82","-11.32","0.49","0.44","5.00","-7.71","6.52","-6.98","-0.4","-0.74","52.63","6.45","90.64","0.971","10.81","11.93","5.41","48.84","66.67","18.08","16.96","14.35","55.75"
"273","Darnell Nurse","EDM","D","81","1416.7","17.49012345679","1","8.17","-3.38","-0.32","6.98","-4.57","-0.66","5.06","-5.07","-0.57","0.41","-9.28","-0.18","0.37","-5.04","-0.56","4.09","-4.31","-1","1.53","-5.28","-0.75","0.27","-16.07","0.58","3.4","-3.43","0.37","0.12","6.84","-2.69","6.93","-5.16","-0.13","0.06","-8.97","7.82","91.55","0.994","7.79","13.34","7.5","36.97","50.97","17.41","19.4","17.53","49.82"
"462","Jacob Moverare","L.A","D","24","234.18333333333","9.7576388888889","-1.89","8.17","-4.43","-0.51","4.05","-2.93","-2.59","4.46","-6.52","-0.58","1.57","-24.84","0.47","0.3","1.00","1.93","2.56","-0.84","0.66","1.99","-3.67","-0.42","1.27","-34.80","1.68","0.77","1.01","-0.44","0.68","-44.23","-4.51","8.52","-6.55","0.26","-0.29","18.75","8.49","90.09","0.986","3.59","15.37","8.45","45.09","29.79","16.14","23.32","19.47","45.32"
