"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"286","Alex Iafallo","WPG","L","82","109.48333333333","1.335162601626","0","0.55","0.55","0","0.55","100.00","3.29","0.00","0.25","6.03","6.03","1.1","1.1","1.1","0","1.1","0.55","0.55","0","0","0.55","0.55","2.74","0","1.1","5.48","0.55","0","54.80"
"287","David Kampf","TOR","C","78","191.58333333333","2.4561965811966","0","0","0","0","0","0.00","1.25","0.00","0.18","1.88","1.88","0.63","0.63","0","0","0.63","0.31","0.31","0","0","0","0.94","1.57","1.88","2.82","3.44","41.34","48.54","14.40"
"288","Neal Pionk","WPG","D","82","132.4","1.6146341463415","0","0","0","0","0","0.00","0.45","0.00","0","0.45","0.45","0","0","0.45","0","0","0","0","0","0","0","3.17","0.91","9.06","1.36","8.61","0","0","-"
"290","Eetu Luostarinen","FLA","C","82","213.35","2.6018292682927","0","0.28","0.28","0","0.28","33.33","2.25","0.00","0.37","4.78","3.94","2.53","0.84","1.97","0.28","1.12","0.56","0.56","0","0","0.56","1.41","4.5","3.09","1.41","5.62","2.25","1.41","17.31"
"291","Fabian Zetterlund","S.J","L","82","58.033333333333","0.70772357723577","1.03","0","0","0","1.03","100.00","4.14","25.00","0.48","6.2","6.2","5.17","1.03","1.03","0","0","0","0","0","0","0","0","1.03","0","1.03","1.03","1.03","1.03","51.69"
"292","Johnathan Kovacevic","MTL","D","62","140.33333333333","2.2634408602151","0","0","0","0","0","0.00","0.86","0.00","0.05","1.28","0.86","0.86","0.43","0","0","0.86","0.43","0.43","0","0","0.86","0.86","0.43","2.14","1.28","6.84","0","0","-"
"293","Noah Cates","PHI","L","59","89.383333333333","1.5149717514124","0","1.34","1.34","0","1.34","100.00","1.34","0.00","0.03","2.69","2.01","0","0","0","0.67","0","0","0","0","0","1.34","0","4.03","0.67","1.34","4.7","8.73","17.45","22.38"
"294","Alexey Toropchenko","STL","R","82","85.15","1.0384146341463","1.41","0","0","0","1.41","66.67","6.34","22.22","0.53","7.05","7.05","4.23","1.41","0.7","0","0","0","0","0","0","0","0","0","1.41","2.11","3.52","0","0.7","0.00"
"295","Morgan Barron","WPG","C","80","114.18333333333","1.4272916666667","0","0","0","0","0","-","6.31","0.00","0.31","6.31","6.31","2.1","1.05","1.58","0","0","0","0","0","0","0","0.53","4.2","2.1","0","5.25","3.68","3.68","26.27"
"297","Sean Durzi","ARI","D","76","94.683333333333","1.2458333333333","0","0","0","0","0","0.00","1.9","0.00","0","1.9","1.9","0","0","1.9","0","1.27","0.63","0.63","0","0","0","1.27","0","0","1.27","8.87","0","0","-"
"298","Parker Kelly","OTT","L","80","177","2.2125","0.68","0.34","0.34","0","1.02","60.00","4.07","16.67","0.48","5.76","5.08","3.39","1.36","1.36","0","0.68","0.34","0.34","0","0","0.68","0.34","2.71","1.36","1.02","6.44","1.02","2.71","9.24"
"299","Pius Suter","VAN","C","67","87.9","1.3119402985075","0","0","0","0","0","-","1.37","0.00","0.01","1.37","1.37","0","0","0.68","0","0","0","0","0","0","0.68","0","2.73","0.68","0","1.37","8.19","6.83","37.23"
"300","Zach Whitecloud","VGK","D","61","92.65","1.5188524590164","0","0.65","0.65","0","0.65","inf","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0.65","1.94","1.3","3.89","0","10.36","0","0","-"
"302","Ryan McLeod","EDM","C","81","100.28333333333","1.2380658436214","0","1.2","1.2","0","1.2","100.00","2.39","0.00","0.24","4.19","2.99","1.2","0.6","0.6","0","0","0","0","0","0","1.79","4.19","4.19","0","3.59","3.59","8.97","20.34","18.32"
"303","Isac Lundestrom","ANA","C","46","93.816666666667","2.0394927536232","0.64","0","0","0","0.64","50.00","3.2","20.00","0.39","3.84","3.84","3.2","1.92","0.64","0","0","0","0","0","0","0.64","0.64","5.12","0.64","1.28","7.03","20.47","37.73","22.49"
"304","Mattias Samuelsson","BUF","D","41","115.53333333333","2.8178861788618","0","0","0","0","0","0.00","1.56","0.00","0.07","1.56","1.56","0.52","0.52","0","0","0","0","0","0","0","1.04","0","0.52","9.35","1.04","15.06","0","0","-"
"305","Joe Veleno","DET","C","80","67.016666666667","0.83770833333333","0","0.9","0.9","0","0.9","100.00","0.9","0.00","0.12","1.79","1.79","1.79","0","0","0","0","0","0","0","0","0","0","1.79","0","0","3.58","8.95","13.43","35.81"
