"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"370","Tage Thompson","BUF","C","79","5.2666666666667","0.066666666666667","0","11.39","0","11.39","11.39","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.78","125.32","175.27"
"342","Adam Fox","NYR","D","52","41.983333333333","0.80737179487179","0","1.43","0","1.43","1.43","100.00","1.43","0.00","0","1.43","1.43","0","0","1.43","0","0","0","0","0","0","0","2.86","0","0","0","2.86","0","0","-"
"175","Alexander Kerfoot","UTA","C","29","42.683333333333","1.4718390804598","0","1.41","0","1.41","1.41","50.00","1.41","0.00","0","1.41","1.41","0","0","1.41","0","5.62","2.81","2.81","0","0","1.41","2.81","2.81","1.41","4.22","4.22","7.03","16.87","41.34"
"558","Max Crozier","T.B","D","34","46.633333333333","1.371568627451","0","1.29","0","1.29","1.29","50.00","1.29","0.00","0","1.29","1.29","0","0","0","0","2.57","1.29","1.29","0","0","1.29","0","0","2.57","1.29","2.57","0","0","-"
"607","Yan Kuznetsov","CGY","D","55","98.5","1.7909090909091","0","1.22","0","1.22","1.22","40.00","0.61","0.00","0.05","1.22","1.22","0","0","0","0","1.22","0.61","0.61","0","0","0.61","0.61","1.22","2.44","0.61","6.09","0","0","-"
"35","Adam Henrique","EDM","C","61","101.75","1.6680327868852","0","1.18","0","1.18","1.18","100.00","3.54","0.00","0.45","5.31","5.31","4.13","1.18","1.18","0","3.54","1.77","1.77","0","0","0","1.77","0.59","0.59","0","4.13","41.87","40.69","29.91"
"168","Jaccob Slavin","CAR","D","38","104.98333333333","2.7627192982456","0","1.14","0","1.14","1.14","66.67","1.71","0.00","0.06","2.29","1.71","0.57","0","0","0","0","0","0","0","0","0","1.71","2.86","1.14","1.71","7.43","0","0","-"
"742","Leo Carlsson","ANA","C","66","61.833333333333","0.93686868686869","1.94","0.97","0","0.97","2.91","100.00","5.82","33.33","0.48","6.79","6.79","4.85","0.97","0","0","0","0","0","0","0","0.97","1.94","0.97","0","0","2.91","26.2","51.43","32.75"
"287","Sebastian Aho","CAR","C","78","130.93333333333","1.6786324786325","0.92","1.83","0.92","0.92","2.75","66.67","8.25","11.11","1.29","11","10.08","10.54","5.04","0.92","1.37","0","0","0","0","0","1.37","5.04","2.75","0.92","1.83","0.92","11.46","13.75","20.83"
"764","Nikolas Matinpalo","OTT","D","46","67.15","1.4597826086957","0","0.89","0","0.89","0.89","33.33","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0.89","0.89","0.89","0","0.89","6.25","0","0","-"
"211","Rasmus Ristolainen","PHI","D","41","70.283333333333","1.7142276422764","0","0.85","0","0.85","0.85","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1.71","1.71","0","0","7.68","0","0","-"
"330","Mason Appleton","DET","C","65","80.95","1.2453846153846","0","0.74","0","0.74","0.74","100.00","2.96","0.00","0.28","4.45","3.71","1.48","1.48","0.74","0","0","0","0","0","0","0.74","0","0","2.22","0","5.19","0.74","0","74.12"
"278","Connor McDavid","EDM","C","78","83.633333333333","1.0722222222222","0.72","0.72","0","0.72","1.43","66.67","7.89","9.09","0.77","10.04","9.33","6.46","3.59","0.72","0","0","0","0","0","0","2.15","3.59","0.72","0.72","0","0.72","12.91","13.63","34.90"
"99","Dylan DeMelo","WPG","D","77","169.91666666667","2.20670995671","0","0.71","0","0.71","0.71","200.00","0.35","0.00","0","0.35","0.35","0","0","0","0","0","0","0","0","0","0.71","0","0.35","2.47","0.35","5.3","0","0","-"
"25","Drew Doughty","L.A","D","67","87.866666666667","1.3114427860697","0","0.68","0","0.68","0.68","50.00","0.68","0.00","0.03","0.68","0.68","0","0","0","0","0","0","0","0","0","0.68","2.05","0.68","0","0.68","5.46","0","0","-"
"80","Cam Fowler","STL","D","77","88.75","1.1525974025974","0","0.68","0","0.68","0.68","100.00","1.35","0.00","0.06","1.35","1.35","0.68","0","0","0.68","0","0","0","0","0","0.68","0.68","0","0","0.68","6.08","0","0","-"
"300","Zach Werenski","CBJ","D","71","89.95","1.2669014084507","0","0.67","0","0.67","0.67","50.00","3.34","0.00","0.28","4","3.34","3.34","0.67","0","0.67","0","0","0","0","0","0","1.33","2","0","0.67","2","0","0","-"
"304","Thomas Chabot","OTT","D","55","89.266666666667","1.6230303030303","0.67","0.67","0","0.67","1.34","100.00","3.36","20.00","0.11","3.36","3.36","1.34","0","2.02","0","0","0","0","0","0","0","1.34","3.36","2.02","2.02","8.07","0","0","-"
"528","Drew Helleson","ANA","D","58","89.133333333333","1.5367816091954","0","1.35","0.67","0.67","1.35","66.67","0.67","0.00","0.01","1.35","1.35","0","0","0","0","0","0","0","0","0","0.67","1.35","0","4.04","0.67","6.06","0","0","-"
"296","Parker Wotherspoon","PIT","D","78","185.71666666667","2.3809829059829","0","0.65","0","0.65","0.65","50.00","2.26","0.00","0.01","2.26","2.26","0","0","0.97","0","5.82","1.62","1.29","0","0.32","1.94","1.62","0.65","6.78","0.65","7.43","0","0","-"
"54","Brian Dumoulin","L.A","D","77","109","1.4155844155844","0","0.55","0","0.55","0.55","25.00","2.2","0.00","0.12","2.75","2.75","1.65","0.55","1.1","0","0","0","0","0","0","0","1.65","1.1","1.65","0","4.4","0","0","-"
"210","Darnell Nurse","EDM","D","78","112.9","1.4474358974359","0","1.06","0.53","0.53","1.06","66.67","1.06","0.00","0.04","2.66","2.13","0","0","0.53","0","0","0","0","0","0","0","1.59","0.53","2.13","2.66","15.94","0","0","-"
"74","Justin Faulk","DET, STL","D","74","114.68333333333","1.5497747747748","0","0.52","0","0.52","0.52","33.33","1.57","0.00","0.03","2.09","2.09","0","0","0.52","0","0","0","0","0","0","0.52","0.52","1.05","0.52","0","3.66","0","0","-"
"154","Radek Faksa","DAL","C","56","122.8","2.1928571428571","0.49","0.98","0.49","0.49","1.47","100.00","2.44","20.00","0.27","2.44","2.44","1.47","0.98","0","0.49","1.95","0.98","0.98","0","0","0","0.49","0.49","1.95","0","5.37","29.8","29.8","24.43"
"391","Nicolas Hague","NSH","D","62","128.65","2.075","0","0.47","0","0.47","0.47","50.00","1.87","0.00","0.08","2.8","2.33","0.47","0","0.47","0.47","1.87","0.93","0.93","0","0","0","0.93","0","0.47","0.93","0.93","0","0","-"
"196","Jason Dickinson","CHI, EDM","C","63","132.73333333333","2.1068783068783","0.45","0.45","0","0.45","0.9","100.00","2.26","20.00","0.35","4.52","3.62","2.71","1.36","0","0","0","0","0","0","0","1.36","1.81","0.9","0","0.45","3.62","26.22","40.23","17.84"
"460","K'Andre Miller","CAR","D","70","132.06666666667","1.8866666666667","0.45","0.91","0.45","0.45","1.36","60.00","1.36","33.33","0.1","2.73","1.82","0.91","0.45","0.45","0","0.91","0.45","0.45","0","0","0.45","1.82","1.36","3.18","0.45","4.54","0","0","-"
"276","Jonas Siegenthaler","N.J","D","78","137.46666666667","1.7623931623932","0","0.87","0.44","0.44","0.87","200.00","0.44","0.00","0","0.44","0.44","0","0","0","0","0","0","0","0","0","0","3.06","0","1.75","1.31","6.55","0","0","-"
"545","Jackson LaCombe","ANA","D","78","136.7","1.7525641025641","0.44","0.44","0","0.44","0.88","200.00","2.19","20.00","0.59","3.95","3.07","3.07","2.63","0","0.88","0","0","0","0","0","0.44","2.19","1.32","2.63","1.32","7.9","0","0","-"
"159","Chandler Stephenson","SEA","C","75","138.33333333333","1.8444444444444","0","0.87","0.43","0.43","0.87","100.00","2.17","0.00","0.17","2.6","2.17","1.3","0.87","1.73","0","0","0","0","0","0","0","0.43","2.17","0","0","4.34","32.53","47.28","17.68"
"564","Louis Crevier","CHI","D","74","141","1.9054054054054","0.43","0.43","0","0.43","0.85","66.67","2.13","20.00","0.11","2.55","2.13","0.85","0.43","0.85","0","0","0","0","0","0","0","1.28","1.28","7.23","1.7","4.68","0","0","-"
"283","Erik Cernak","T.B","D","57","145.35","2.55","0","0.41","0","0.41","0.41","33.33","0.83","0.00","0.01","1.24","0.83","0.41","0","0","0","1.65","0.83","0.83","0","0","0.41","1.24","0.83","4.13","0.83","12.38","0","0","-"
"441","Sean Walker","CAR","D","78","146.26666666667","1.8752136752137","0","0.82","0.41","0.41","0.82","33.33","1.23","0.00","0.08","2.46","1.64","0.82","0","0","0","0.82","0.41","0.41","0","0","0","2.05","0.41","6.56","1.64","6.97","0","0","-"
"640","Owen Power","BUF","D","78","145.36666666667","1.8636752136752","0","1.24","0.83","0.41","1.24","50.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1.24","0.41","1.24","0.41","4.13","0","0","-"
