"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"295","Kevin Labanc","CBJ","R","34","332.03333333333","9.7656862745098","0.36","1.63","0.36","1.26","1.99","84.62","5.6","6.45","0.42","15.54","9.58","5.78","2.17","0.54","0.9","1.81","0.9","0.9","0","0","0.36","2.35","1.08","4.88","3.61","2.53","0","0.54","0.00"
"666","Nils Aman","VAN","C","19","193.48333333333","10.183333333333","0.31","1.55","0.31","1.24","1.86","85.71","2.48","12.50","0.43","6.2","4.03","4.65","2.17","0","0.93","0.62","0.31","0.31","0","0","0.31","0.93","0.93","6.82","4.96","0.62","8.06","14.26","11.20"
"554","John Ludvig","COL","D","8","101.11666666667","12.639583333333","0","1.19","0","1.19","1.19","100.00","5.34","0.00","0.14","7.71","5.93","1.78","0.59","0","0","3.56","1.78","1.78","0","0","0.59","2.97","0.59","9.49","4.75","3.56","0","0","-"
"757","Oliver Moore","CHI","C","9","110.85","12.316666666667","0","2.17","1.08","1.08","2.17","80.00","4.87","0.00","0.19","7.58","5.95","1.08","0.54","0","0","2.17","1.08","1.08","0","0","0.54","5.95","0.54","3.25","8.66","1.08","5.41","7.58","22.55"
"453","Robert Thomas","STL","C","70","1032.6","14.751428571429","0.7","2.09","1.1","0.99","2.79","81.36","6.1","11.43","0.7","12.78","9.53","7.79","2.96","0.29","1.34","1.16","0.58","0.58","0","0","0.64","4.53","1.05","0.64","3.66","2.27","29.63","24.69","3.17"
"647","Hendrix Lapierre","WSH","C","27","244.45","9.0537037037037","0","1.72","0.74","0.98","1.72","100.00","4.17","0.00","0.6","8.84","6.63","5.4","2.95","0","0.74","0.98","0.49","0.49","0","0","1.23","3.93","1.23","3.19","5.89","3.44","9.57","14.48","9.77"
"106","Tyler Seguin","DAL","C","20","248.4","12.42","0.97","2.42","1.45","0.97","3.38","77.78","7.73","12.50","1.22","15.7","11.11","10.87","4.35","0.48","0.72","0.48","0.24","0.24","0","0","0.24","2.42","0.97","0.97","1.69","1.45","16.91","14.49","13.01"
"155","Yanni Gourde","SEA, T.B","C","57","794.01666666667","13.930116959064","0.38","1.66","0.76","0.91","2.04","75.00","4.91","7.69","0.71","10.2","8.31","5.21","3.1","0.53","1.13","3.17","1.06","0.76","0.3","0","0.83","2.64","1.13","7.93","4.91","2.04","17.83","17","3.87"
"385","Clayton Keller","UTA","R","81","1166.9166666667","14.406378600823","0.72","1.59","0.72","0.87","2.31","83.33","7.87","9.15","0.87","15.89","11.77","7.71","3.96","0.41","1.59","1.23","0.57","0.57","0","0","1.13","3.09","1.18","0.57","3.29","1.39","0.41","0.51","2.29"
"675","Scott Morrow","CAR","D","14","209.8","14.985714285714","0.29","1.43","0.57","0.86","1.72","42.86","6.29","4.55","0.34","16.87","9.72","6.29","0.57","1.14","1.43","0","0","0","0","0","0.29","5.72","1.43","0.86","4.86","4.29","0","0","-"
