"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"157","Jack Eichel","VGK","C","77","213.23333333333","2.7692640692641","1.41","8.16","2.53","5.63","9.57","72.34","16.04","8.77","1.43","23.64","17.45","9","1.97","0.28","1.41","0.56","0.28","0.28","0","0","0","3.38","0","0.28","1.97","0.56","7.88","5.91","16.08"
"197","Jesper Bratt","N.J","L","81","230.61666666667","2.8471193415638","1.04","7.81","2.6","5.2","8.85","68.00","8.85","11.76","1.32","15.61","11.71","10.15","3.38","0.26","2.34","1.04","0.52","0.52","0","0","0","2.34","0.78","1.04","1.3","0","0","0","-"
"91","Shayne Gostisbehere","CAR","D","70","239.6","3.4228571428571","1","5.76","1.5","4.26","6.76","67.50","9.52","10.53","0.85","24.54","15.03","7.76","0","0","2.5","1","0.5","0.5","0","0","0","2.5","2","0.25","0","1.75","0","0","-"
"78","Vladislav Namestnikov","WPG","C","78","99.616666666667","1.2771367521368","1.2","5.42","1.2","4.22","6.63","61.11","8.43","14.29","1.98","13.85","12.05","10.24","6.63","0","4.22","0","0","0","0","0","0","0.6","0","0.6","4.82","0","16.86","13.85","33.07"
"309","Luke Hughes","N.J","D","71","116.8","1.6450704225352","0","8.22","4.11","4.11","8.22","88.89","9.25","0.00","0.8","25.17","12.33","12.84","1.54","0.51","0.51","0","0","0","0","0","0","4.11","1.03","1.03","1.03","1.03","0","0","-"
"277","Lucas Raymond","DET","L","82","252.63333333333","3.0808943089431","1.9","6.89","2.85","4.04","8.79","72.55","10.45","18.18","1.3","18.76","14.01","13.06","1.9","0","2.14","0.47","0.24","0.24","0","0","0","2.37","0.71","0.47","1.66","0.24","0","0","-"
"81","Morgan Rielly","TOR","D","82","151.73333333333","1.850406504065","0.4","5.14","1.19","3.95","5.54","56.00","5.93","6.67","0.54","15.42","9.49","6.33","0.4","0","1.58","0.79","0.4","0.4","0","0","0","1.19","0.4","0","0.4","0","0","0","-"
"18","Drew Doughty","L.A","D","30","77.316666666667","2.5772222222222","0","4.66","0.78","3.88","4.66","75.00","10.09","0.00","0.9","20.95","12.42","8.54","0.78","0","1.55","0","0","0","0","0","0","0","0.78","0","0.78","0","0","0","-"
"169","Zach Werenski","CBJ","D","81","217.65","2.687037037037","1.38","5.51","1.65","3.86","6.89","78.13","13.23","10.42","0.9","31.98","17.64","11.58","0.28","0","1.1","1.1","0.55","0.55","0","0","0","1.1","1.38","0.28","1.1","0.28","0","0","-"
"32","Victor Hedman","T.B","D","79","235.73333333333","2.9839662447257","1.02","5.85","2.04","3.82","6.87","64.29","10.94","9.30","1.26","31.82","20.11","10.94","0.76","0.25","2.04","1.02","0.51","0.51","0","0","0","2.55","0.25","0.25","0","1.02","0","0","-"
"233","Evan Bouchard","EDM","D","82","269.15","3.2823170731707","0.67","5.13","1.34","3.79","5.8","60.47","10.25","6.52","0.94","22.52","13.82","8.03","0","0","1.34","1.34","0.67","0.67","0","0","0.22","2.45","1.34","0","1.11","0.67","0","0","-"
"302","Mason Lohrei","BOS","D","77","163.68333333333","2.1257575757576","0.37","5.5","1.83","3.67","5.86","72.73","6.96","5.26","0.56","16.5","10.26","4.4","0.73","0","1.1","0.73","0.37","0.37","0","0","0","2.93","1.47","0.73","0.37","1.1","0","0","-"
"164","Dylan Strome","WSH","C","82","246.3","3.0036585365854","2.19","6.09","2.44","3.65","8.28","82.93","9.01","24.32","1.53","16.57","13.15","10.96","5.36","0","1.46","0.97","0.49","0.49","0","0","0.49","3.9","0.49","0.24","1.46","0","39.22","29.96","13.81"
"325","Lane Hutson","MTL","D","82","230.71666666667","2.8136178861789","0.26","6.5","2.86","3.64","6.76","76.47","2.6","10.00","0.48","10.14","5.98","4.94","0.78","0.26","1.3","0.52","0.26","0.26","0","0","0.52","1.56","1.3","0.26","2.34","0.52","0","0","-"
"260","Alex Vlasic","CHI","D","82","116.68333333333","1.4229674796748","0.51","5.66","2.06","3.6","6.17","80.00","8.74","5.88","0.46","11.31","10.28","1.54","0","0.51","1.03","0","0","0","0","0","0","1.54","0.51","1.03","1.03","1.03","0","0","-"
