"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"89","Jonathan Huberdeau","CGY","C","81","220.3","2.7197530864198","115.21","17.7","86.68","85.25","14.98","85.05","57.47","10.89","84.06","8.72","2.18","80.00","9.58","1.29","88.11","68.36","9.53","87.76","29.41","5.99","83.08","4.36","1.36","76.19","51.93","4.72","91.67","2.91","1.09","72.73","113.69","8.65","92.93","3.15","0","100.00","15.17","80.00","0.952","36.77","4.63","0.82","10.35","97.83","62.64","8.17","2.72","95.83"
"315","Ridly Greig","OTT","C","72","61.066666666667","0.84814814814815","82.53","17.69","82.35","64.85","16.7","79.52","37.34","13.76","73.08","4.91","2.95","62.50","6.07","1.98","75.39","46.18","10.81","81.03","15.72","5.9","72.73","0.98","1.97","33.33","40.61","6.55","86.11","1.31","0","100.00","70.96","4.26","94.34","4.26","0","100.00","13.16","78.57","0.917","16.7","7.86","0","70.74","100.00","28.49","11.79","1.97","93.55"
"302","Thomas Harley","DAL","D","79","98.666666666667","1.2489451476793","100.34","17.64","85.05","75.41","15.2","83.22","54.12","11.55","82.41","7.91","0","100.00","8.7","0.9","90.63","62.03","8.51","87.93","32.23","4.26","88.33","4.86","0","100.00","39.73","5.68","87.50","3.24","0","100.00","86.08","7.03","92.45","0.88","0","100.00","14.61","100.00","1.146","15.81","7.3","1.22","62.03","92.86","35.88","12.16","3.04","92.19"
"40","Kyle Palmieri","NYI","C","82","225.58333333333","2.7510162601626","110.11","17.55","86.25","78.73","15.16","83.85","57.98","12.77","81.95","9.31","0.53","94.59","8.75","1.21","87.90","68.36","9.04","88.32","26.07","2.39","91.59","5.32","0.27","95.24","56.39","8.87","86.41","4.26","0.35","92.31","102.58","4.99","95.36","1.15","0","100.00","16.06","95.83","1.119","32.72","3.99","1.06","8.78","96.85","57.72","8.51","1.86","96.88"
"117","Erik Gustafsson","NYR","D","76","99.133333333333","1.3043859649123","105.92","17.55","85.78","77.47","13.32","85.33","50.24","10.89","82.18","7.87","1.82","81.25","7.29","1.63","81.73","49.63","8.47","85.42","22.39","4.84","82.22","4.24","0","100.00","36.31","4.84","88.24","2.42","0","100.00","114.53","6.99","94.24","2.62","0.87","75.00","15.66","83.33","0.990","29.05","8.47","0.61","38.13","97.96","44.79","12.71","3.03","93.67"
"253","Timothy Liljegren","TOR","D","55","92.566666666667","1.6830303030303","110.84","17.5","86.36","76.49","16.2","82.52","54.45","10.37","84.00","7.13","1.94","78.57","7.17","1.01","87.67","64.17","9.72","86.84","25.93","3.89","86.96","1.94","0.65","75.00","50.99","7.78","86.76","5.19","1.73","75.00","98.31","9.36","91.30","1.87","0","100.00","13.10","81.25","0.943","21.39","14.26","1.94","35","91.67","46.67","18.15","3.89","92.31"
"29","Erik Karlsson","PIT","D","82","286.58333333333","3.494918699187","126.04","17.38","87.88","90.03","15.91","84.98","62.18","11.93","83.90","6.49","1.26","83.78","10.56","1.06","90.89","73.49","8.37","89.77","32.66","3.14","91.23","4.19","1.05","80.00","54.43","6.98","88.64","1.67","0.28","85.71","122.18","6.65","94.84","1.51","0","100.00","10.44","89.47","0.999","24.5","6.49","0.21","8.37","99.15","59.67","9.84","2.09","96.61"
"68","Jaden Schwartz","SEA","C","62","145.35","2.3443548387097","101.55","17.34","85.42","71.41","13.62","83.98","47.06","11.15","80.85","8.26","1.65","83.33","6.87","0.97","87.59","59.03","7.84","88.27","23.53","4.13","85.07","3.72","1.24","75.00","47.33","4.95","90.53","5.5","0.55","90.91","101.96","10.14","90.96","0.6","0","100.00","17.54","85.19","1.027","33.85","4.54","0.83","21.05","97.62","56.97","7.43","1.65","97.18"
"240","Casey Mittelstadt","BUF, COL","C","80","190.71666666667","2.3839583333333","101.62","17.3","85.45","77.39","14.79","83.96","59.77","11.64","83.70","6.61","0.94","87.50","6.96","1.37","83.53","50.02","8.49","85.48","18.25","2.52","87.88","1.89","0","100.00","42.37","7.97","84.17","2.52","0.84","75.00","117.7","5.45","95.57","4.09","0","100.00","11.05","91.89","1.029","33.03","3.46","0","15.1","100.00","60.72","6.29","1.26","97.97"
"53","Mattias Ekholm","EDM","D","79","69.4","0.87848101265823","89.91","17.29","83.87","65.71","14.7","81.72","47.55","11.24","80.88","4.32","1.73","71.43","7.63","0.64","92.23","52.74","7.78","87.14","25.94","0.86","96.77","1.73","0.86","66.67","35.73","9.22","79.49","0","1.15","0.00","78.67","13.74","85.14","3.75","0","100.00","9.09","84.62","0.937","21.61","9.51","5.19","61.38","80.65","38.04","14.7","6.05","86.27"
"105","Tanner Pearson","MTL","L","54","65.983333333333","1.2219135802469","74.56","17.28","81.19","54.56","15.46","77.92","34.55","14.55","70.37","4.55","1.82","71.43","5.02","0.82","85.95","38.19","7.27","84.00","18.19","4.55","80.00","3.64","1.82","66.67","26.67","3.64","88.00","0","0","-","66.99","6.57","91.07","1.31","0","100.00","13.16","87.50","1.007","19.1","6.37","1.82","57.29","91.30","27.28","8.18","1.82","93.75"
"355","Juraj Slafkovsky","MTL","L","82","243.38333333333","2.9680894308943","91.95","17.26","84.20","68.53","14.54","82.49","49.3","12.82","79.37","7.64","2.22","77.50","7.25","1.28","84.96","51.77","8.38","86.07","19.72","5.18","79.21","4.19","1.73","70.83","42.73","4.27","90.91","2.3","0.33","87.50","95.79","7.83","92.44","2.49","0.36","87.50","15.50","82.69","0.982","27.12","3.45","0.49","18","98.21","48.57","5.92","1.73","96.57"
"199","Nicolas Roy","VGK","C","70","115.21666666667","1.6459523809524","82.8","17.19","82.81","58.85","15.1","79.58","44.26","11.98","78.70","5.73","0.52","91.67","6.12","0.96","86.41","43.74","8.85","83.17","22.91","4.17","84.62","2.6","0.52","83.33","27.77","6.25","81.63","2.78","0","100.00","69.96","12.04","85.32","1.5","0","100.00","12.94","95.65","1.086","18.23","8.33","4.69","53.12","79.55","28.12","10.94","6.77","80.60"
"341","William Eklund","S.J","L","80","216.38333333333","2.7047916666667","100.93","17.19","85.45","70.15","14.97","82.41","46.31","12.76","78.40","7.76","1.66","82.35","8.07","1.05","88.51","59.06","7.21","89.12","23.57","2.5","90.43","3.6","0.28","92.86","47.32","6.29","88.28","4.44","1.11","80.00","104.94","8.01","92.91","1.2","0","100.00","16.77","86.96","1.037","32.17","3.88","0.28","5.27","99.15","59.89","5.82","1.94","96.86"
"9","Anze Kopitar","L.A","C","81","248.45","3.0672839506173","102.88","17.15","85.71","75.11","14.49","83.83","49.51","10.63","82.33","9.42","1.45","86.67","8.05","1.4","85.20","54.34","7.49","87.89","21.73","3.38","86.54","3.62","0.97","78.95","43.47","5.47","88.82","4.83","0.64","88.24","113.72","5.58","95.32","3.14","0","100.00","19.02","86.36","1.054","27.77","2.9","0","7.73","100.00","57.72","5.55","0.97","98.35"
"124","Jake Guentzel","CAR, PIT","C, L","67","241.7","3.6074626865672","129.83","17.13","88.34","90.61","16.38","84.69","63.8","13.41","82.64","7.7","0.5","93.94","10.35","0.97","91.43","75.71","7.7","90.77","32.77","2.73","92.31","3.97","0.5","88.89","57.26","6.62","89.64","2.98","0","100.00","128.01","5.38","95.97","2.15","0","100.00","12.06","96.30","1.084","26.31","4.96","0","5.21","100.00","60.82","10.67","1.74","97.22"
"143","Darnell Nurse","EDM","D","81","84.083333333333","1.0380658436214","87.06","17.13","83.56","62.08","14.27","81.31","44.24","10.7","80.52","4.28","1.43","75.00","7.03","0.6","92.13","48.52","6.42","88.31","23.55","0.71","97.06","1.43","0.71","66.67","33.3","7.61","81.40","0","0.95","0.00","80.4","17.52","82.11","4.12","0","100.00","9.68","86.67","0.963","17.84","5.71","5","67.08","78.13","34.97","9.99","6.42","84.48"
"86","William Karlsson","VGK","C","70","179.98333333333","2.5711904761905","112.34","17","86.86","81.34","14","85.31","60.01","11.67","83.72","7.67","1.67","82.14","8.47","0.96","89.80","60.34","7.67","88.73","27","3.67","88.04","3.67","1","78.57","44.45","5.33","89.29","2.22","0.44","83.33","118.46","6.74","94.62","3.37","0","100.00","12.78","85.71","0.985","35","6","0.67","16.33","98.13","59.67","9.67","1","98.35"
"310","Dmitri Voronkov","CBJ","L","75","148.5","1.98","113.13","16.97","86.96","77.58","14.95","83.84","52.93","10.1","83.97","8.08","0.81","90.91","7.14","1.05","87.19","55.76","6.46","89.61","21.01","3.23","86.67","3.64","0.4","90.00","46.33","4.31","91.49","5.39","0","100.00","116.72","7","94.34","0.58","0.58","50.00","15.27","92.00","1.073","34.34","3.64","0.81","25.45","97.70","54.14","6.46","1.62","97.10"
"158","Kevin Fiala","L.A","L","82","258.4","3.1512195121951","103.33","16.95","85.91","76.16","14.4","84.10","50.39","10.91","82.20","9.52","1.39","87.23","8.12","1.15","87.56","54.33","7.66","87.64","21.83","3.72","85.45","3.72","0.93","80.00","43.34","5.26","89.17","4.95","0.62","88.89","113.03","5.37","95.47","3.02","0","100.00","18.89","87.23","1.061","27.17","3.25","0","7.66","100.00","56.66","5.8","0.93","98.39"
"75","Bryan Rust","PIT","R","62","152.38333333333","2.4577956989247","123.24","16.93","87.92","86.62","15.75","84.62","63","11.42","84.66","5.51","2.76","66.67","9.37","1.23","88.42","71.66","8.27","89.66","30.32","3.94","88.51","3.54","2.36","60.00","55.12","5.77","90.52","1.57","0","100.00","114.32","7.39","93.93","1.14","0.57","66.67","8.75","75.86","0.846","29.92","5.91","0","18.9","100.00","58.27","9.45","2.36","96.10"
"82","Jean-Gabriel Pageau","NYI","C","82","124.7","1.5207317073171","93.83","16.84","84.78","66.88","14.43","82.25","44.27","9.14","82.88","3.85","0.48","88.89","5.64","1.13","83.36","38.97","8.66","81.82","17.8","3.37","84.09","0.48","0.48","50.00","28.23","7.06","80.00","1.92","0","100.00","105.64","9.04","92.12","2.78","0","100.00","8.70","94.74","1.034","28.87","7.7","4.81","39.94","85.71","40.9","12.99","7.22","85.00"
"168","Ivan Barbashev","VGK","C","82","153.31666666667","1.8697154471545","88.44","16.83","84.01","66.53","15.26","81.34","49.31","13.31","78.75","6.65","1.17","85.00","6.42","1.15","84.82","46.96","8.22","85.11","21.92","4.3","83.58","3.13","0.78","80.00","33.39","5.22","86.49","1.57","0","100.00","85.36","8.48","90.96","3.39","0","100.00","13.49","91.18","1.047","20.35","5.87","3.52","39.13","85.25","36.79","10.57","4.3","89.52"
"178","Darren Raddysh","T.B","D","82","60.616666666667","0.73922764227642","87.1","16.83","83.81","62.36","12.87","82.89","41.57","9.9","80.77","8.91","0","100.00","6.7","0.95","87.57","45.53","5.94","88.46","21.78","0.99","95.65","2.97","0","100.00","31.67","6.6","82.76","5.28","0","100.00","75.78","11.44","86.89","2.86","0","100.00","21.43","100.00","1.214","15.84","10.89","2.97","63.35","84.21","29.69","13.86","4.95","85.71"
