"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"601","Jonatan Berggren","DET","R","12","120.65","10.054166666667","0.99","1.99","0.5","1.49","2.98","75.00","6.96","14.29","0.48","9.95","8.45","4.97","1.99","0","0.99","0.99","0.5","0.5","0","0","2.49","0","1.49","0.99","4.48","3.48","0","0","-"
"673","Marc Del Gaizo","NSH","D","9","131.26666666667","14.585185185185","0","1.37","0","1.37","1.37","37.50","3.2","0.00","0.1","10.97","5.03","2.74","0","0.46","0","0.91","0.46","0.46","0","0","0.91","1.83","1.83","8.68","5.49","4.11","0","0","-"
"744","James Malatesta","CBJ","L","11","107.51666666667","9.7742424242424","1.12","1.12","0","1.12","2.23","100.00","6.14","18.18","0.49","11.72","10.04","6.14","2.79","0.56","0.56","2.79","0.56","0","0.56","0","1.67","1.12","0.56","22.88","5.58","1.12","0","0.56","0.00"
"755","Tristan Luneau","ANA","D","7","114.55","16.364285714286","0.52","1.05","0","1.05","1.57","60.00","4.71","11.11","0.2","8.38","6.29","1.57","0.52","0","1.05","2.1","0.52","0.52","0","0","0.52","1.05","0","4.71","3.14","2.1","0","0","-"
"653","Jakob Pelletier","CGY","L","13","116.55","8.9653846153846","0.51","1.03","0","1.03","1.54","60.00","4.63","11.11","0.48","9.27","5.66","4.12","2.57","0.51","0.51","1.03","0.51","0.51","0","0","0","1.54","2.57","4.12","2.57","1.54","2.06","2.06","25.74"
"192","Mark Jankowski","NSH","C","32","353.15","11.0359375","1.02","1.19","0.17","1.02","2.21","72.22","7.48","13.64","0.98","14.27","11.55","12.06","4.59","0.17","0.68","1.36","0.68","0.68","0","0","0.34","1.7","2.89","1.36","4.08","1.87","11.04","11.21","8.43"
"357","Connor McDavid","EDM","C","76","1233.25","16.226973684211","0.92","2.58","1.56","1.02","3.5","80.00","8.56","10.80","0.93","14.98","11.87","9.2","3.89","0.49","1.75","0.88","0.44","0.44","0","0","1.7","3.31","2.77","5.35","5.21","1.75","19.8","18.44","2.52"
"447","Josh Mahura","FLA","D","30","354.63333333333","11.821111111111","0","1.35","0.34","1.02","1.35","61.54","4.06","0.00","0.16","7.78","5.41","2.2","0.34","0","0","3.38","1.69","1.69","0","0","1.35","1.02","0.51","5.92","10.15","4.4","0","0","-"
"715","Marat Khusnutdinov","MIN","C","16","179.45","11.215625","0","1","0","1","1","75.00","1.67","0.00","0.23","5.68","4.01","3.01","1.34","0.67","0","2.01","1","1","0","0","1","1.34","2.01","5.35","4.01","3.01","15.05","16.38","16.01"
"630","Alex Turcotte","L.A","C","20","181.91666666667","9.0958333333333","0.33","0.99","0","0.99","1.32","44.44","4.62","7.14","0.69","10.55","8.25","5.61","3.63","0","0.66","1.98","0.99","0.99","0","0","0.99","0.33","1.98","2.31","11.87","3.3","6.93","6.93","16.49"
