"Player","Season","Team","Position","GP","TOI","Opp #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60","RAPM_CF/60","RAPM_CA/60","RAPM_xGF/60","RAPM_xGA/60","Off_GAR/60","Def_GAR/60","Off_xGAR/60","Def_xGAR/60"
"Brandon Duhaime","25-26","WSH","R",62,600.68,624,14.09,28.11,0.25,0.008,0.17,0.17,0.19,-0.06,0.004,-0.005,0.14,0.02,0.15,0.02
"Brandon Hagel","25-26","T.B","L",53,760.28,588,14.63,29.24,0.62,0.024,0.22,0.22,0.48,-0.15,0.024,-0.001,0.21,0.01,0.2,0.02
"Brandon Montour","25-26","SEA","D",41,788,496,14.42,28.73,0.17,0.014,0.2,0.21,0.17,0,0.012,-0.002,0.18,0.02,0.19,0.02
"Brandon Saad","25-26","VGK","L",41,518.8,493,14.25,28.58,0.62,0.012,0.17,0.16,0.5,-0.11,0.01,-0.002,0.15,0.02,0.15,0.01
"Brandon Tanev","25-26","UTA","L",45,410.18,549,13.8,27.64,0.11,0.008,0.19,0.18,0.1,-0.01,-0.002,-0.01,0.16,0.04,0.15,0.03
"Brandt Clarke","25-26","L.A","D",59,1002.33,608,14.34,28.66,0.3,0.014,0.2,0.19,0.22,-0.08,0.01,-0.004,0.17,0.02,0.16,0.02
"Brayden McNabb","25-26","VGK","D",40,720.33,488,14.76,29.64,0.82,0.023,0.22,0.21,0.66,-0.16,0.022,0,0.21,0.01,0.2,0.01
"Brayden Pachal","25-26","CGY","D",26,325.68,364,13.79,27.67,-0.19,-0.005,0.15,0.14,-0.21,-0.02,-0.005,0,0.13,0.01,0.12,0.02
"Brayden Point","25-26","T.B","C",40,545.35,494,14.53,29.06,0.74,0.023,0.21,0.2,0.51,-0.22,0.019,-0.004,0.19,0.02,0.18,0.02
"Brayden Schenn","25-26","STL","C",59,837.6,607,14.43,28.82,0.5,0.019,0.2,0.2,0.26,-0.24,0.01,-0.01,0.17,0.03,0.17,0.03
"Brendan Gallagher","25-26","MTL","R",59,652.3,602,14.01,27.99,0.29,0.013,0.18,0.17,0.16,-0.12,0.003,-0.01,0.15,0.04,0.13,0.03
"Brendan Gaunce","25-26","CBJ","C",25,249.03,326,13.67,27.3,0.46,0.022,0.18,0.17,0.37,-0.09,0.012,-0.01,0.15,0.03,0.15,0.02
"Brendan Smith","25-26","CBJ","D",15,155.07,236,13.93,27.73,0.93,0.039,0.18,0.19,0.7,-0.23,0.023,-0.017,0.13,0.05,0.16,0.04
"Brenden Dillon","25-26","N.J","D",60,917.98,613,14.23,28.43,0.48,0.018,0.2,0.2,0.37,-0.12,0.019,0.001,0.19,0.02,0.19,0.02
"Brennan Othmann","25-26","NYR","L",17,161.03,240,13.71,27.45,0,0.003,0.18,0.18,0.01,0.01,-0.004,-0.007,0.15,0.03,0.14,0.03
"Brent Burns","25-26","COL","D",58,924.03,593,14.39,28.8,0.38,0.013,0.19,0.19,0.3,-0.07,0.01,-0.003,0.17,0.02,0.17,0.02
"Brett Berard","25-26","NYR","L",13,136.67,231,13.72,27.49,0.6,0.025,0.2,0.23,0.36,-0.24,0.015,-0.009,0.17,0.03,0.2,0.03
"Brett Howden","25-26","VGK","C",39,519.73,468,14.41,28.88,0.53,0.017,0.2,0.19,0.36,-0.17,0.014,-0.003,0.18,0.02,0.17,0.02
"Brett Kulak","25-26","EDM","D",31,500.05,436,14.05,28.06,0.01,0.002,0.17,0.16,0.06,0.05,-0.001,-0.003,0.15,0.03,0.15,0.01
"Brett Kulak","25-26","PIT","D",25,467.67,340,14.49,28.86,0.51,0.011,0.18,0.18,0.36,-0.15,0.011,0,0.17,0.01,0.16,0.02
"Brett Pesce","25-26","N.J","D",36,621.97,429,14.5,28.86,0.52,0.02,0.22,0.21,0.42,-0.1,0.022,0.003,0.21,0.02,0.2,0.01
"Brian Dumoulin","25-26","L.A","D",59,979.7,608,14.29,28.56,0.31,0.014,0.19,0.18,0.26,-0.06,0.011,-0.003,0.17,0.02,0.16,0.02
"Brian Halonen","25-26","N.J","L",9,67.22,161,13.56,27.09,0.15,0.014,0.2,0.15,0.25,0.09,0.004,-0.01,0.16,0.04,0.13,0.02
"Brock Boeser","25-26","VAN","R",52,723.6,603,14.61,29.17,0.42,0.02,0.22,0.21,0.33,-0.09,0.016,-0.004,0.19,0.03,0.19,0.02
"Brock Faber","25-26","MIN","D",60,1249.45,619,14.67,29.34,0.57,0.02,0.21,0.21,0.46,-0.11,0.023,0.003,0.2,0.01,0.2,0.01
"Brock Nelson","25-26","COL","C",58,799.95,591,14.61,29.25,0.51,0.018,0.22,0.21,0.39,-0.12,0.016,-0.001,0.2,0.02,0.19,0.02
"Bryan Rust","25-26","PIT","R",51,755.8,549,14.94,29.78,0.65,0.025,0.22,0.22,0.5,-0.16,0.023,-0.003,0.2,0.02,0.2,0.02
"Cale Fleury","25-26","SEA","D",17,276.25,243,14.42,28.79,0.13,-0.006,0.14,0.14,0.19,0.06,-0.002,0.004,0.13,0,0.13,0.01
"Cale Makar","25-26","COL","D",58,1050.25,593,14.71,29.44,0.6,0.02,0.21,0.21,0.44,-0.16,0.017,-0.003,0.19,0.02,0.19,0.02
"Caleb Jones","25-26","PIT","D",7,107.05,109,14.08,28.4,0.26,-0.01,0.15,0.1,0.22,-0.04,-0.015,-0.005,0.13,0.02,0.09,0.02
"Calle Jarnkrok","25-26","TOR","C",38,359.02,498,14.21,28.35,0.18,0.013,0.18,0.16,0.09,-0.1,0.008,-0.005,0.15,0.03,0.14,0.03
"Calum Ritchie","25-26","NYI","C",43,450.45,514,13.97,27.88,0.23,0.006,0.16,0.15,0.18,-0.05,-0.002,-0.009,0.12,0.04,0.12,0.03
"Cam Fowler","25-26","STL","D",59,1052.63,608,14.37,28.68,0.39,0.014,0.19,0.18,0.22,-0.17,0.007,-0.006,0.17,0.02,0.16,0.02
"Cam York","25-26","PHI","D",52,906.38,582,14.53,29.02,0.46,0.02,0.21,0.2,0.38,-0.08,0.022,0.001,0.2,0.01,0.19,0.01
"Carl Grundstrom","25-26","PHI","R",30,329.02,399,14.06,28.03,0.41,0.015,0.19,0.2,0.33,-0.08,0.014,-0.001,0.18,0.01,0.19,0.01
"Carson Soucy","25-26","NYI","D",8,109.43,127,13.78,27.42,-0.04,0.009,0.17,0.16,0.21,0.25,0.006,-0.003,0.15,0.02,0.14,0.01
"Carson Soucy","25-26","NYR","D",46,705.65,561,14.32,28.65,0.7,0.028,0.22,0.22,0.48,-0.22,0.022,-0.006,0.19,0.03,0.19,0.03
"Carter Verhaeghe","25-26","FLA","C",58,822.8,609,14.56,29.14,0.66,0.03,0.24,0.22,0.43,-0.23,0.024,-0.006,0.21,0.03,0.19,0.03
"Casey Cizikas","25-26","NYI","C",59,592.45,612,13.81,27.58,0.25,0.01,0.16,0.16,0.18,-0.07,0.005,-0.005,0.13,0.03,0.13,0.02
"Casey Mittelstadt","25-26","BOS","C",49,640.75,550,14.53,29.06,0.38,0.019,0.2,0.2,0.34,-0.04,0.018,-0.001,0.18,0.02,0.19,0.01
"Chandler Stephenson","25-26","SEA","C",57,798.42,575,14.85,29.64,0.27,0.014,0.23,0.22,0.34,0.06,0.021,0.006,0.22,0.01,0.21,0.01
"Charle-Edouard D'astous","25-26","T.B","D",46,778.17,522,14.3,28.58,0.32,0.01,0.18,0.18,0.23,-0.09,0.007,-0.003,0.17,0.02,0.16,0.02
"Charles-Alexis Legault","25-26","CAR","D",8,101.57,144,13.8,27.56,-0.14,-0.002,0.17,0.13,0.03,0.17,-0.012,-0.01,0.14,0.02,0.11,0.02
"Charlie Coyle","25-26","CBJ","C",58,778.97,626,14.61,29.15,0.5,0.022,0.21,0.21,0.5,0,0.026,0.004,0.2,0.01,0.2,0.01
"Charlie McAvoy","25-26","BOS","D",47,818.37,533,14.56,29.14,0.5,0.022,0.21,0.21,0.35,-0.14,0.018,-0.004,0.19,0.02,0.19,0.02
"Chris Kreider","25-26","ANA","L",52,663.12,571,14.6,29.1,0.41,0.014,0.21,0.21,0.28,-0.13,0.009,-0.004,0.18,0.02,0.18,0.02
"Chris Tanev","25-26","TOR","D",11,170.45,165,14.67,29.22,0.35,0.017,0.22,0.2,0.28,-0.07,0.007,-0.01,0.17,0.05,0.16,0.04
"Christian Dvorak","25-26","PHI","C",58,824.38,608,14.6,29.22,0.81,0.03,0.24,0.23,0.58,-0.23,0.027,-0.004,0.22,0.02,0.21,0.02
"Claude Giroux","25-26","OTT","R",59,723.38,624,14.66,29.27,0.38,0.011,0.21,0.21,0.36,-0.02,0.015,0.004,0.2,0.01,0.2,0.01
"Clayton Keller","25-26","UTA","R",59,882.58,622,14.7,29.44,0.65,0.025,0.22,0.21,0.42,-0.22,0.015,-0.01,0.18,0.03,0.18,0.03
"Cody Ceci","25-26","L.A","D",59,905.43,608,14.32,28.62,0.27,0.013,0.19,0.18,0.22,-0.05,0.009,-0.003,0.17,0.02,0.16,0.02
"Cody Glass","25-26","N.J","C",48,597.98,525,14.3,28.44,0.34,0.013,0.21,0.2,0.31,-0.03,0.016,0.003,0.19,0.01,0.19,0.01
"Cole Caufield","25-26","MTL","R",59,854.48,596,15.01,29.98,0.66,0.029,0.25,0.24,0.44,-0.22,0.023,-0.006,0.23,0.03,0.22,0.03
"Cole Koepke","25-26","WPG","L",42,341.62,518,13.86,27.69,0.12,0.007,0.14,0.15,0.07,-0.06,0.001,-0.006,0.11,0.03,0.13,0.03
"Cole Perfetti","25-26","WPG","C",44,538.83,526,14.17,28.31,0.31,0.016,0.19,0.19,0.25,-0.06,0.015,-0.001,0.17,0.02,0.17,0.02
"Cole Reinhardt","25-26","VGK","L",41,395.53,528,13.77,27.51,0.05,-0.01,0.13,0.11,0.09,0.04,-0.012,-0.002,0.12,0.01,0.1,0.01
"Cole Schwindt","25-26","FLA","R",22,175.38,298,13.59,27.21,0.15,0.007,0.17,0.17,0,-0.16,-0.002,-0.01,0.13,0.04,0.14,0.03
"Cole Sillinger","25-26","CBJ","C",57,787.22,627,14.49,28.92,0.43,0.017,0.21,0.2,0.43,0,0.019,0.002,0.2,0.01,0.19,0.01
"Cole Smith","25-26","NSH","R",40,476.75,522,14.42,28.73,0.28,0.014,0.22,0.21,0.26,-0.02,0.014,0,0.21,0.01,0.2,0.01
"Colin Blackwell","25-26","DAL","C",48,451.5,573,13.85,27.74,0.14,0.002,0.13,0.14,0.17,0.03,0.004,0.003,0.12,0,0.13,0.01
"Colin Miller","25-26","WPG","D",15,193.27,255,14.04,27.99,0.72,0.035,0.19,0.19,0.56,-0.15,0.022,-0.013,0.14,0.04,0.15,0.03
"Collin Graf","25-26","S.J","R",56,718.1,555,14.53,28.97,0.53,0.018,0.2,0.2,0.47,-0.06,0.017,-0.001,0.18,0.02,0.18,0.01
"Colton Dach","25-26","CHI","C",53,566.45,613,13.98,27.95,0.17,0.009,0.18,0.17,0.18,0.01,0.002,-0.006,0.15,0.03,0.14,0.02
"Colton Parayko","25-26","STL","D",58,1105.78,603,14.66,29.27,0.44,0.02,0.21,0.21,0.35,-0.08,0.018,-0.002,0.19,0.02,0.2,0.01
"Colton Sissons","25-26","VGK","C",43,432.15,510,13.88,27.85,0.18,-0.004,0.15,0.13,0.15,-0.03,-0.006,-0.002,0.13,0.02,0.12,0.01
"Colton White","25-26","N.J","D",23,278.28,319,14.13,28.17,0.33,0.009,0.18,0.18,0.22,-0.1,0.012,0.003,0.17,0.01,0.16,0.01
"Connor Bedard","25-26","CHI","C",46,767.73,553,14.74,29.5,0.67,0.024,0.22,0.21,0.6,-0.07,0.022,-0.002,0.2,0.02,0.19,0.02
"Connor Brown","25-26","N.J","R",53,710.18,548,14.25,28.46,0.51,0.021,0.23,0.22,0.42,-0.09,0.019,-0.002,0.21,0.02,0.2,0.02
"Connor Clifton","25-26","PIT","D",28,409.85,396,14.17,28.33,0.44,0.018,0.18,0.17,0.39,-0.05,0.015,-0.003,0.16,0.02,0.15,0.02
"Connor Dewar","25-26","PIT","C",58,623.22,584,14.21,28.32,0.23,0.009,0.18,0.17,0.23,0,0.009,0,0.16,0.02,0.15,0.02
