"Player","Season","Team","Position","GP","TOI","Opp #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60","RAPM_CF/60","RAPM_CA/60","RAPM_xGF/60","RAPM_xGA/60","Off_GAR/60","Def_GAR/60","Off_xGAR/60","Def_xGAR/60"
"A.J. Greer","25-26","FLA","L",59,662.87,612,13.99,27.98,0.37,0.015,0.2,0.18,0.23,-0.14,0.007,-0.008,0.17,0.03,0.15,0.03
"Aaron Ekblad","25-26","FLA","D",57,965.68,590,14.75,29.51,0.63,0.023,0.25,0.24,0.51,-0.12,0.025,0.002,0.24,0.01,0.22,0.01
"Aatu Raty","25-26","VAN","C",45,498.92,570,14.05,28.01,0.12,0.016,0.2,0.18,0.19,0.07,0.012,-0.005,0.17,0.03,0.16,0.02
"Adam Boqvist","25-26","NYI","D",20,240.43,314,13.85,27.66,-0.16,-0.008,0.13,0.12,-0.15,0.01,-0.013,-0.005,0.1,0.03,0.1,0.02
"Adam Edstrom","25-26","NYR","C",24,227.17,373,13.84,27.67,0.25,0.009,0.17,0.17,0.27,0.02,0.014,0.005,0.17,0.01,0.17,0
"Adam Engstrom","25-26","MTL","D",11,136.78,165,13.55,27.13,1.12,0.041,0.19,0.2,0.42,-0.69,0.009,-0.031,0.1,0.08,0.11,0.08
"Adam Erne","25-26","DAL","L",26,243.23,358,13.89,27.79,0.49,0.02,0.18,0.17,0.32,-0.17,0.016,-0.004,0.15,0.02,0.15,0.02
"Adam Fantilli","25-26","CBJ","C",58,908.72,628,14.49,28.92,0.67,0.023,0.21,0.2,0.41,-0.26,0.014,-0.008,0.18,0.03,0.17,0.03
"Adam Fox","25-26","NYR","D",32,611.67,455,14.49,28.95,0.58,0.022,0.21,0.21,0.46,-0.12,0.025,0.003,0.2,0.01,0.2,0.01
"Adam Gaudette","25-26","S.J","R",45,462.47,520,14.04,27.98,0.11,0.002,0.18,0.17,0.13,0.03,0.001,-0.001,0.16,0.02,0.15,0.02
"Adam Ginning","25-26","PHI","D",5,66.52,73,13.87,28.31,1.1,0.02,0.13,0.13,0.64,-0.46,0.019,-0.002,0.14,-0.01,0.12,0.01
"Adam Henrique","25-26","EDM","C",46,515.52,592,13.97,27.89,-0.07,-0.002,0.16,0.15,0.08,0.15,-0.003,-0.001,0.14,0.02,0.14,0.01
"Adam Klapka","25-26","CGY","R",57,563.22,610,13.86,27.64,-0.13,-0.002,0.16,0.16,-0.1,0.03,-0.004,-0.002,0.14,0.02,0.14,0.02
"Adam Larsson","25-26","SEA","D",59,1095.4,600,14.67,29.26,0.28,0.013,0.21,0.21,0.31,0.03,0.018,0.004,0.2,0.01,0.2,0.01
"Adam Lowry","25-26","WPG","C",46,564.07,546,14.53,29.03,0.52,0.026,0.21,0.22,0.49,-0.03,0.029,0.003,0.19,0.01,0.21,0.01
"Adam Pelech","25-26","NYI","D",60,1068.85,614,14.54,29.02,0.52,0.02,0.22,0.21,0.42,-0.1,0.018,-0.002,0.19,0.02,0.19,0.02
"Adam Wilsby","25-26","NSH","D",45,696.75,545,14.52,28.98,0.36,0.014,0.19,0.18,0.38,0.02,0.016,0.003,0.18,0.01,0.18,0.01
"Adrian Kempe","25-26","L.A","R",59,870.43,607,14.67,29.31,0.51,0.026,0.22,0.22,0.35,-0.16,0.019,-0.006,0.2,0.03,0.19,0.03
"Albert Johansson","25-26","DET","D",60,874.28,609,14.22,28.43,0.44,0.014,0.2,0.2,0.36,-0.08,0.011,-0.003,0.18,0.02,0.18,0.02
"Alec Regula","25-26","EDM","D",29,393.5,439,14.12,28.17,0.18,0.005,0.16,0.17,0.19,0.01,0.004,0,0.15,0.01,0.15,0.01
"Alex Carrier","25-26","MTL","D",59,937.83,602,14.3,28.6,0.44,0.018,0.2,0.19,0.26,-0.19,0.009,-0.009,0.17,0.03,0.16,0.03
"Alex Debrincat","25-26","DET","R",60,844.55,607,14.59,29.15,0.62,0.019,0.23,0.22,0.48,-0.14,0.018,0,0.21,0.02,0.2,0.02
"Alex Holtz","25-26","VGK","R",28,305.63,365,14.09,28.33,0.53,0.015,0.19,0.18,0.44,-0.09,0.009,-0.006,0.17,0.02,0.16,0.02
"Alex Iafallo","25-26","WPG","L",58,701.52,610,14.43,28.82,0.37,0.021,0.2,0.2,0.32,-0.05,0.018,-0.003,0.17,0.02,0.18,0.02
"Alex Kerfoot","25-26","UTA","C",11,100.5,167,14.06,28.17,0.82,0.04,0.23,0.2,0.51,-0.3,0.019,-0.021,0.17,0.06,0.15,0.05
"Alex Killorn","25-26","ANA","L",58,725.68,599,14.41,28.74,0.34,0.008,0.18,0.18,0.29,-0.05,0.006,-0.002,0.16,0.02,0.16,0.02
"Alex Laferriere","25-26","L.A","R",59,823.08,608,14.63,29.22,0.44,0.019,0.21,0.21,0.34,-0.1,0.019,-0.001,0.2,0.02,0.19,0.02
"Alex Newhook","25-26","MTL","C",19,229.7,324,14.32,28.57,-0.06,-0.009,0.17,0.13,-0.03,0.03,-0.011,-0.002,0.14,0.03,0.11,0.02
"Alex Nikishin","25-26","CAR","D",58,899.65,618,14.02,28.02,0.15,0.007,0.17,0.16,0.09,-0.06,-0.005,-0.011,0.13,0.03,0.13,0.03
"Alex Ovechkin","25-26","WSH","L",62,774.33,625,14.3,28.56,0.36,0.012,0.17,0.18,0.21,-0.15,0.004,-0.008,0.15,0.03,0.15,0.03
"Alex Petrovic","25-26","DAL","D",51,761.53,594,14.1,28.19,0.22,0.008,0.16,0.16,0.2,-0.01,0.007,-0.002,0.14,0.02,0.14,0.02
"Alex Romanov","25-26","NYI","D",15,252.7,254,14.28,28.44,0.76,0.031,0.19,0.19,0.61,-0.14,0.027,-0.003,0.17,0.02,0.17,0.01
"Alex Steeves","25-26","BOS","C",38,393.18,488,14.26,28.42,0.08,0.005,0.18,0.17,0.03,-0.05,-0.002,-0.007,0.15,0.03,0.15,0.02
"Alex Texier","25-26","MTL","L",31,409.9,416,14.56,29.16,0.82,0.039,0.23,0.23,0.49,-0.33,0.027,-0.012,0.19,0.03,0.19,0.04
"Alex Texier","25-26","STL","L",8,75.6,142,13.94,27.85,-0.26,-0.021,0.07,0.05,-0.03,0.23,-0.012,0.009,0.08,-0.01,0.07,-0.02
"Alex Tuch","25-26","BUF","R",59,840.5,599,14.6,29.23,0.82,0.03,0.21,0.23,0.53,-0.29,0.021,-0.009,0.18,0.03,0.2,0.03
"Alex Turcotte","25-26","L.A","C",52,551.23,563,13.89,27.78,-0.06,-0.002,0.15,0.14,0,0.06,-0.004,-0.002,0.14,0.02,0.13,0.02
"Alex Vlasic","25-26","CHI","D",58,1029.32,632,14.86,29.67,0.54,0.024,0.24,0.23,0.51,-0.02,0.027,0.004,0.22,0.02,0.22,0.01
"Alex Wennberg","25-26","S.J","C",57,812.33,555,14.76,29.41,0.52,0.018,0.21,0.21,0.5,-0.02,0.018,0.001,0.2,0.01,0.19,0.01
"Alexei Toropchenko","25-26","STL","R",43,442,521,14.14,28.17,0.28,0.019,0.18,0.19,0.21,-0.07,0.014,-0.004,0.16,0.02,0.17,0.02
"Alexis Lafrenière","25-26","NYR","L",59,857.28,592,14.55,29.1,0.75,0.025,0.22,0.22,0.5,-0.24,0.025,0,0.21,0.02,0.21,0.02
"Aliaksei Protas","25-26","WSH","C",59,904.85,618,14.77,29.5,0.72,0.025,0.21,0.22,0.51,-0.21,0.021,-0.004,0.18,0.02,0.2,0.02
"Anders Lee","25-26","NYI","L",60,773.7,613,14.47,28.89,0.51,0.017,0.21,0.21,0.46,-0.05,0.018,0,0.19,0.02,0.19,0.02
"Andre Burakovsky","25-26","CHI","L",53,750.83,583,14.57,29.12,0.48,0.018,0.21,0.2,0.38,-0.1,0.016,-0.002,0.19,0.02,0.18,0.02
"Andre Lee","25-26","L.A","L",7,71.87,109,13.8,27.45,-0.13,0.017,0.2,0.21,-0.18,-0.05,0.009,-0.008,0.16,0.04,0.17,0.03
"Andrei Kuzmenko","25-26","L.A","L",52,606.32,562,14.16,28.32,0.19,0.01,0.18,0.16,0.1,-0.09,0.003,-0.007,0.15,0.03,0.14,0.03
"Andrei Svechnikov","25-26","CAR","R",59,791.72,617,14.83,29.69,0.44,0.02,0.23,0.22,0.39,-0.05,0.021,0.001,0.21,0.01,0.2,0.01
"Andrew Copp","25-26","DET","C",60,779.45,609,14.41,28.8,0.59,0.017,0.22,0.21,0.45,-0.14,0.016,-0.001,0.2,0.02,0.19,0.02
"Andrew Mangiapane","25-26","EDM","L",52,620.28,607,14.33,28.6,0.06,0.005,0.17,0.16,0.15,0.09,0.003,-0.001,0.14,0.02,0.14,0.01
"Andrew Peeke","25-26","BOS","D",56,934.92,598,14.3,28.61,0.42,0.017,0.19,0.19,0.28,-0.14,0.012,-0.005,0.17,0.02,0.17,0.02
"Angus Crookshank","25-26","N.J","C",8,68.82,126,13.71,27.28,0.38,0.01,0.19,0.18,0.13,-0.25,-0.004,-0.014,0.16,0.04,0.14,0.04
"Anthony Beauvillier","25-26","WSH","L",62,863.98,625,14.33,28.63,0.42,0.014,0.18,0.18,0.27,-0.15,0.01,-0.004,0.16,0.02,0.16,0.02
"Anthony Cirelli","25-26","T.B","C",50,630.63,563,14.65,29.26,0.63,0.025,0.21,0.21,0.48,-0.15,0.023,-0.002,0.19,0.02,0.19,0.02
"Anthony Duclair","25-26","NYI","L",54,631.82,566,14.26,28.49,0.36,0.014,0.18,0.18,0.23,-0.12,0.008,-0.005,0.15,0.03,0.15,0.02
"Anthony Mantha","25-26","PIT","R",58,720.33,584,14.23,28.39,0.08,0,0.18,0.16,0.17,0.09,0.004,0.003,0.17,0.01,0.16,0.01
"Anton Lundell","25-26","FLA","C",56,755.53,602,14.89,29.78,0.77,0.027,0.25,0.25,0.61,-0.16,0.031,0.003,0.24,0.01,0.24,0.01
"Anze Kopitar","25-26","L.A","C",44,604.75,515,14.59,29.2,0.56,0.022,0.21,0.21,0.4,-0.16,0.016,-0.006,0.19,0.02,0.19,0.03
"Arber Xhekaj","25-26","MTL","D",51,560.93,564,13.72,27.4,0.28,0.008,0.16,0.15,0.04,-0.23,-0.011,-0.018,0.11,0.05,0.1,0.05
"Arseny Gritsyuk","25-26","N.J","R",56,762.45,606,14.37,28.73,0.45,0.018,0.22,0.22,0.38,-0.07,0.02,0.002,0.21,0.01,0.2,0.01
"Arshdeep Bains","25-26","VAN","L",28,243.6,384,14.07,28.07,0.33,0.019,0.18,0.17,0.33,0,0.015,-0.005,0.15,0.03,0.15,0.02
"Artem Zub","25-26","OTT","D",58,972.13,625,14.71,29.38,0.46,0.016,0.22,0.22,0.44,-0.02,0.019,0.003,0.21,0.01,0.21,0.01
"Artemi Panarin","25-26","NYR","L",52,864.52,586,14.58,29.19,0.73,0.022,0.22,0.22,0.53,-0.21,0.022,0,0.21,0.01,0.21,0.02
"Artturi Lehkonen","25-26","COL","L",58,850.37,592,14.8,29.63,0.6,0.017,0.21,0.21,0.44,-0.16,0.016,-0.002,0.19,0.02,0.19,0.02
"Artyom Levshunov","25-26","CHI","D",54,844.38,591,14.32,28.64,0.42,0.016,0.19,0.18,0.33,-0.09,0.01,-0.005,0.17,0.02,0.16,0.02
"Auston Matthews","25-26","TOR","C",54,869.73,585,14.91,29.83,0.9,0.035,0.24,0.26,0.63,-0.27,0.033,-0.002,0.23,0.02,0.24,0.02
"Axel Sandin-Pellikka","25-26","DET","D",60,858.77,609,14.22,28.41,0.37,0.008,0.19,0.19,0.31,-0.07,0.008,0,0.17,0.02,0.17,0.02
"Barclay Goodrow","25-26","S.J","C",57,527.38,557,13.79,27.51,0.38,0.011,0.15,0.15,0.31,-0.07,0.003,-0.007,0.12,0.03,0.12,0.03
"Barrett Hayton","25-26","UTA","C",54,695.15,611,14.49,28.99,0.35,0.013,0.19,0.2,0.3,-0.05,0.01,-0.003,0.17,0.02,0.18,0.02
"Beck Malenstyn","25-26","BUF","L",59,549.82,600,14,27.98,0.26,0.011,0.17,0.17,0.25,-0.01,0.007,-0.004,0.14,0.03,0.15,0.02
"Beckett Sennecke","25-26","ANA","R",58,856.97,599,14.5,28.92,0.4,0.011,0.19,0.19,0.31,-0.1,0.008,-0.003,0.17,0.02,0.17,0.02
"Ben Chiarot","25-26","DET","D",60,1118.58,609,14.44,28.85,0.58,0.018,0.21,0.21,0.47,-0.11,0.019,0.001,0.2,0.02,0.19,0.02
"Ben Hutton","25-26","VGK","D",51,735.7,552,13.92,27.86,0.19,0.004,0.16,0.15,0.14,-0.05,-0.005,-0.008,0.13,0.03,0.13,0.03
"Ben Jones","25-26","MIN","C",26,215.05,435,13.82,27.58,0.52,0.016,0.15,0.15,0.3,-0.22,0.009,-0.007,0.13,0.03,0.13,0.02
"Ben Kindel","25-26","PIT","C",55,693.87,579,14.14,28.21,0.18,0.003,0.17,0.16,0.18,0,0.003,0,0.15,0.02,0.14,0.02
"Ben Meyers","25-26","SEA","C",34,346.63,459,14.07,28.13,0.14,0,0.13,0.15,0.2,0.06,0.002,0.002,0.13,0.01,0.14,0.01
"Berkly Catton","25-26","SEA","C",43,490.57,497,14.14,28.23,-0.11,-0.003,0.14,0.15,-0.08,0.03,0,0.003,0.13,0.01,0.14,0.01
"Blake Coleman","25-26","CGY","L",46,616.02,511,14.59,29.13,0.17,0.009,0.2,0.21,0.12,-0.05,0.01,0.001,0.19,0.01,0.19,0.01
"Blake Lizotte","25-26","PIT","C",48,527.62,535,14.16,28.18,0.15,0.005,0.16,0.15,0.16,0.01,0.003,-0.002,0.14,0.03,0.13,0.02
"Bo Horvat","25-26","NYI","C",46,643.23,528,14.89,29.74,0.77,0.035,0.25,0.26,0.54,-0.23,0.028,-0.008,0.22,0.03,0.23,0.03
"Bobby Brink","25-26","PHI","R",53,686.73,585,14.33,28.68,0.5,0.019,0.2,0.2,0.38,-0.11,0.019,0,0.19,0.01,0.19,0.01
"Bobby McMann","25-26","TOR","C",59,821.93,614,14.46,28.89,0.54,0.022,0.2,0.2,0.43,-0.11,0.02,-0.003,0.18,0.02,0.18,0.02
"Boone Jenner","25-26","CBJ","C",44,588.42,501,14.48,28.92,0.45,0.018,0.2,0.2,0.41,-0.04,0.018,0,0.19,0.01,0.18,0.02
"Bowen Byram","25-26","BUF","D",60,1122.78,603,14.4,28.83,0.57,0.022,0.2,0.21,0.4,-0.17,0.016,-0.005,0.18,0.03,0.18,0.03
"Brad Marchand","25-26","FLA","L",48,598.17,572,14.7,29.36,0.71,0.03,0.23,0.23,0.51,-0.2,0.026,-0.003,0.21,0.02,0.21,0.02
"Braden Schneider","25-26","NYR","D",59,1035.6,598,14.36,28.73,0.57,0.021,0.22,0.21,0.41,-0.15,0.021,0,0.21,0.02,0.2,0.02
"Bradly Nadeau","25-26","CAR","L",8,80.48,143,13.46,26.96,-0.37,-0.013,0.08,0.07,-0.25,0.12,-0.021,-0.008,0.08,0,0.07,0.01
"Brady Skjei","25-26","NSH","D",59,1044.77,612,14.72,29.43,0.56,0.024,0.23,0.22,0.46,-0.1,0.022,-0.002,0.22,0.02,0.21,0.02
"Brady Tkachuk","25-26","OTT","L",39,500.88,469,14.53,29.01,0.57,0.029,0.21,0.2,0.38,-0.19,0.018,-0.011,0.18,0.04,0.17,0.03
"Braeden Bowman","25-26","VGK","R",43,541.48,503,14.41,28.77,0.06,0.002,0.18,0.18,0.16,0.1,0.004,0.002,0.17,0.01,0.17,0.01
"Brandon Carlo","25-26","TOR","D",37,616.17,468,14.48,28.95,0.58,0.02,0.21,0.2,0.46,-0.11,0.014,-0.006,0.18,0.03,0.17,0.03
