"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"238","Dylan Larkin","DET","C","71","108.36666666667","1.5262910798122","13.84","124.58","10.00","11.63","90.25","11.41","9.41","53.15","15.04","0.55","7.75","6.67","1.01","9.41","9.67","7.75","73.64","9.52","3.32","23.81","12.24","0","3.32","0.00","5.91","66.44","8.16","0.74","3.69","16.67","5.6","127.96","4.19","0","2.4","0.00","5.88","85.42","0.913","0.55","6.64","63.12","29.9","0.87","0.55","7.75","79.73","0.69"
"102","Vincent Trocheck","NYR","C","64","129.83333333333","2.0286458333333","13.86","124.31","10.03","12.48","100.28","11.07","9.24","70.24","11.63","0.92","9.24","9.09","0.92","11.03","7.70","5.08","76.71","6.21","4.16","38.36","9.78","0.92","6.01","13.33","1.23","51.14","2.35","0","3.08","0.00","8.01","122.16","6.15","0","1.34","0.00","10.00","86.84","0.968","1.39","7.39","49.91","32.81","2.70","2.31","9.24","68.4","3.27"
"124","Jamie Oleksiak","SEA","D","74","126.46666666667","1.709009009009","5.22","124.3","4.03","3.8","93.94","3.88","3.32","66.42","4.76","0","11.86","0.00","0.17","10.3","1.67","0.95","74.01","1.27","0.47","33.68","1.39","0","6.17","0.00","0.63","53.77","1.16","0","4.43","0.00","4.11","113.76","3.49","0","3.43","0.00","0.00","82.14","0.821","0.47","5.69","30.84","44.12","1.52","1.42","7.12","52.66","2.63"
"132","Colin Miller","WPG","D","15","0.96666666666667","0.064444444444444","62.07","124.14","33.33","62.07","124.14","33.33","0","124.14","0.00","0","0","-","9.5","10.16","48.32","62.07","124.14","33.33","62.07","0","100.00","0","0","-","0","165.52","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","186.21","-","0","0","0","-"
"557","Dmitri Voronkov","CBJ","L","63","0.48333333333333","0.0076719576719577","248.28","124.14","66.67","124.14","124.14","50.00","0","0","-","0","0","-","1.86","12.68","12.78","0","124.14","0.00","0","124.14","0.00","0","0","-","0","0","-","0","0","-","537.93","0","100.00","0","0","-","-","-","-","248.28","0","0","248.28","100.00","124.14","0","0","100.00"
"191","Andrew Copp","DET","C","75","109.25","1.4566666666667","10.43","124.12","7.76","9.34","91.72","9.24","7.69","56.57","11.97","0","8.24","0.00","0.47","9.93","4.52","3.84","69.75","5.22","1.1","28.01","3.77","0","5.49","0.00","3.66","55.65","6.17","0","0.73","0.00","8.73","128.51","6.36","0","3.17","0.00","0.00","85.44","0.854","2.2","6.59","54.92","36.8","3.85","2.2","8.79","60.96","3.48"
"72","Charlie Coyle","CBJ","C","78","160.46666666667","2.057264957265","13.46","123.76","9.81","11.22","98.71","10.20","8.97","64.31","12.24","1.12","11.22","9.09","0.71","11.74","5.71","8.97","76.65","10.48","2.99","38.89","7.14","0","4.86","0.00","7.98","50.35","13.68","1.5","4.99","23.08","3.24","134.48","2.35","0","3.78","0.00","12.50","82.56","0.951","1.12","7.1","53.47","12.34","2.05","0.75","9.72","86","0.86"
"471","Ty Dellandrea","S.J","C","44","118.35","2.6897727272727","9.63","123.7","7.22","8.62","87.2","8.99","6.08","55.77","9.84","1.01","8.11","11.11","0.79","9.41","7.76","5.07","71.48","6.62","2.53","32.95","7.14","0.51","4.06","11.11","3.38","51.37","6.17","0.68","3.38","16.67","5.13","123.02","4.00","0","2.2","0.00","16.67","85.45","1.021","1.52","5.58","53.23","22.31","2.78","1.52","7.1","64.39","2.31"
"524","John Beecher","BOS, CGY","C","34","54.383333333333","1.5995098039216","11.03","123.57","8.20","11.03","94.88","10.42","7.72","62.89","10.94","3.31","5.52","37.50","0.9","10.46","7.94","6.62","76.13","8.00","4.41","30.89","12.50","2.21","3.31","40.00","2.94","60.31","4.65","0","2.94","0.00","4.78","87.65","5.17","1.59","0","100.00","42.86","91.23","1.341","1.1","8.83","18.76","62.89","5.56","4.41","11.03","28.69","13.33"
"392","Conor Timmins","BUF","D","37","111.96666666667","3.0261261261261","9.65","123.25","7.26","8.04","90.56","8.15","6.97","62.7","10.00","0.54","7.5","6.67","0.42","9.42","4.30","3.75","65.38","5.43","0.54","28.4","1.85","0","2.68","0.00","4.29","49.3","8.00","0.71","4.29","14.29","6.19","149.39","3.98","0","2.32","0.00","7.69","88.03","0.957","0","8.57","40.73","18.22","0.00","1.07","12.33","72.88","1.45"
"190","Nick Paul","T.B","L","47","19.966666666667","0.42482269503546","3.01","123.21","2.38","3.01","93.16","3.13","0","63.11","0.00","0","6.01","0.00","0.09","12.94","0.71","0","75.13","0.00","0","39.07","0.00","0","3.01","0.00","0","48.08","0.00","0","4.01","0.00","4.34","130.22","3.23","0","0","-","-","90.48","0.90","0","6.01","78.13","45.08","0.00","0","12.02","84.14","0.00"
"37","Jared Spurgeon","MIN","D","77","137.53333333333","1.7861471861472","7.85","123.02","6.00","6.98","94.23","6.90","6.54","65.87","9.04","0.44","6.54","6.25","0.32","10.97","2.87","1.31","73.29","1.75","0.87","33.59","2.53","0","3.05","0.00","0.58","52.93","1.09","0.58","2.91","16.67","5.04","100.19","4.79","0","1.89","0.00","6.67","90.07","0.967","0","3.49","23.12","48.86","0.00","3.05","8.29","39.26","7.22"
"508","Nico Sturm","MIN","C","46","82.983333333333","1.8039855072464","14.46","122.92","10.53","14.46","97.61","12.90","13.01","73.03","15.13","0.72","7.95","8.33","1.26","12.13","9.44","5.06","81.7","5.83","2.89","39.04","6.90","0","5.78","0.00","2.89","56.88","4.84","0.96","2.89","25.00","4.18","97.13","4.12","0","0","-","5.56","89.11","0.947","0.72","6.51","42.66","34.71","1.67","2.89","10.12","58.57","4.71"
"374","Brandon Duhaime","WSH","L, R","78","90.916666666667","1.1655982905983","7.92","122.75","6.06","7.26","93.71","7.19","7.26","60.05","10.78","0.66","10.56","5.88","0.36","9.71","3.55","1.98","62.69","3.06","1.32","27.06","4.65","0.66","5.94","10.00","0.88","47.52","1.82","0","3.52","0.00","1.91","123.92","1.52","0","2.86","0.00","9.09","82.42","0.915","1.32","7.92","29.04","62.03","4.35","1.98","11.22","38.28","4.92"
"58","Nicolas Deslauriers","CAR, PHI","L","27","1.4666666666667","0.054320987654321","0","122.73","0.00","0","81.82","0.00","0","0","-","0","0","-","0","2.74","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","118.18","0.00","0","0","-","-","-","-","0","0","0","122.73","-","0","0","40.91","0.00"
"362","Noah Gregor","FLA","L","33","6.3666666666667","0.19292929292929","28.27","122.51","18.75","28.27","103.66","21.43","9.42","65.97","12.50","0","0","-","1.07","7.57","12.42","0","56.54","0.00","0","18.85","0.00","0","0","-","0","50.26","0.00","0","0","-","40.84","122.51","25.00","0","0","-","0.00","100.00","1.000","0","18.85","28.27","56.54","0.00","0","18.85","37.7","0.00"
"576","Justin Sourdif","WSH","C, R","74","10.35","0.13986486486486","28.99","121.74","19.23","23.19","81.16","22.22","11.59","46.38","20.00","0","0","-","1","11.14","8.26","11.59","57.97","16.67","5.8","40.58","12.50","0","0","-","7.73","23.19","25.00","0","0","-","25.12","92.11","21.43","0","0","-","0.00","100.00","1.000","0","0","34.78","104.35","0.00","5.8","0","40.58","12.50"
"245","Jared McCann","SEA","L","50","5.4333333333333","0.10866666666667","0","121.47","0.00","0","99.39","0.00","0","44.17","0.00","0","11.04","0.00","0","9.34","0.00","0","22.09","0.00","0","11.04","0.00","0","0","-","0","14.72","0.00","0","0","-","0","143.56","0.00","0","15.95","0.00","-","75.00","0.75","11.04","33.13","11.04","132.52","50.00","11.04","33.13","22.09","33.33"
"222","Dakota Mermis","TOR","D","11","6.9166666666667","0.62878787878788","8.67","121.45","6.67","8.67","112.77","7.14","8.67","86.75","9.09","0","0","-","0.08","14.28","0.57","0","78.07","0.00","0","26.02","0.00","0","0","-","0","69.4","0.00","0","0","-","0","75.18","0.00","0","0","-","0.00","100.00","1.000","0","0","17.35","104.1","0.00","0","0","17.35","0.00"
"373","Troy Stecher","EDM, TOR","D","60","113.13333333333","1.8855555555556","9.55","121.45","7.29","9.02","96.52","8.54","8.49","65.23","11.51","0.53","3.71","12.50","0.51","11.25","4.38","4.77","73.72","6.08","1.06","36.59","2.82","0","2.12","0.00","4.95","49.5","9.09","0.71","1.41","33.33","4.6","94.99","4.62","0","0.77","0.00","6.25","94.31","1.006","1.59","4.24","32.35","39.25","4.69","2.65","6.89","45.08","5.56"
"476","Bo Groulx","TOR","C","12","35.583333333333","2.9652777777778","15.18","121.41","11.11","13.49","89.37","13.11","11.8","59.02","16.67","3.37","3.37","50.00","0.94","9.18","9.27","6.74","72.51","8.51","1.69","23.61","6.67","1.69","1.69","50.00","6.74","65.2","9.38","2.25","0","100.00","7.31","141.26","4.92","0","2.44","0.00","28.57","94.29","1.229","3.37","5.06","42.15","32.04","7.41","5.06","6.74","64.07","7.32"
"63","Nic Dowd","VGK, WSH","C","71","163.13333333333","2.2976525821596","9.56","121.37","7.30","8.09","90.48","8.21","7.72","59.58","11.48","0.37","8.09","4.35","0.29","9.71","2.91","1.47","62.16","2.31","0.37","23.54","1.54","0","2.94","0.00","1.47","51.49","2.78","0.49","2.45","16.67","4.25","142.91","2.89","0","4.78","0.00","4.76","86.42","0.912","1.47","7.36","51.49","32.73","2.78","1.47","9.93","71.72","2.01"
"331","Steven Lorentz","TOR","C","66","146.46666666667","2.2191919191919","15.16","121.26","11.11","13.93","98.32","12.41","11.88","64.72","15.51","1.23","7.37","14.29","1.07","11.58","8.46","8.19","73.33","10.05","3.28","37.28","8.08","0","4.1","0.00","6.55","48.07","12.00","1.09","3.28","25.00","4.73","106.51","4.26","0.59","1.18","33.33","10.34","88.61","0.990","0.82","7.37","48.34","36.05","1.67","0.82","9.42","60.63","1.33"
"27","Zach Bogosian","MIN","D","41","31.183333333333","0.76056910569106","7.7","121.22","5.97","7.7","96.21","7.41","5.77","71.19","7.50","0","7.7","0.00","1.83","10.83","14.49","3.85","67.34","5.41","1.92","23.09","7.69","0","1.92","0.00","2.57","59.01","4.17","0","5.13","0.00","0","88.94","0.00","0","2.78","0.00","0.00","89.19","0.892","0","7.7","15.39","63.5","0.00","0","13.47","28.86","0.00"
"117","Adam Larsson","SEA","D","77","196.3","2.5493506493506","6.11","121.04","4.81","5.5","90.17","5.75","5.5","57.77","8.70","0.31","11.92","2.50","0.2","9.97","1.94","1.22","73.36","1.64","0.31","27.2","1.11","0","5.5","0.00","1.22","61.54","1.95","0","4.08","0.00","2.21","138.63","1.57","0","4.86","0.00","5.56","79.37","0.849","0","5.2","42.79","13.14","0.00","0.61","7.34","76.41","0.79"
"68","Calle Jarnkrok","TOR","C","52","112.7","2.1673076923077","9.05","120.85","6.97","7.99","98.49","7.50","6.92","63.89","9.77","0.53","6.39","7.69","0.39","11.25","3.36","3.73","70.81","5.00","0.53","31.94","1.64","0","2.13","0.00","4.26","51.82","7.59","0.71","2.84","20.00","8.46","118.43","6.67","0","3.08","0.00","7.69","90.00","0.977","2.13","4.79","38.86","40.99","5.19","3.19","6.39","54.84","5.50"
"439","Morgan Barron","WPG","C","65","121.71666666667","1.8725641025641","15.28","120.77","11.23","15.28","93.66","14.03","12.82","54.22","19.12","0.99","7.89","11.11","1.11","11.45","8.82","8.87","70.49","11.18","5.42","32.04","14.47","0.99","4.44","18.18","4.6","51.27","8.24","0","2.63","0.00","2.14","138.85","1.52","0","2.14","0.00","7.69","85.45","0.931","0.49","9.37","63.59","16.27","0.77","1.48","10.84","85.28","1.70"
"340","Luke Kunin","FLA","C","58","59.15","1.0198275862069","10.14","120.71","7.75","9.13","89.26","9.28","7.1","66.95","9.59","0","8.11","0.00","0.63","9.02","6.57","5.07","55.79","8.33","3.04","21.3","12.50","0","3.04","0.00","2.7","45.98","5.56","0","2.7","0.00","4.4","131.87","3.23","0","4.4","0.00","0.00","87.88","0.879","1.01","9.13","39.56","30.43","2.50","1.01","11.16","52.75","1.89"
"53","Dmitry Orlov","S.J","D","76","64.8","0.85263157894737","6.48","120.37","5.11","6.48","91.67","6.60","5.56","58.33","8.70","0","8.33","0.00","0.72","11.05","6.11","5.56","74.07","6.98","3.7","35.19","9.52","0","4.63","0.00","2.47","51.85","4.55","0","3.7","0.00","1.34","102.98","1.28","0","1.34","0.00","0.00","85.71","0.857","0.93","2.78","28.7","53.7","3.13","0.93","4.63","46.3","1.96"
"114","Ryan Nugent-Hopkins","EDM","C","68","93.383333333333","1.3732843137255","16.71","120.15","12.21","15.42","93.16","14.20","10.28","70.03","12.80","0.64","12.21","5.00","1.14","10.71","9.58","9","80.96","10.00","4.5","27.63","14.00","0.64","7.71","7.69","6","71.1","7.78","0","4.28","0.00","9.28","93.74","9.01","0","1.86","0.00","6.25","82.57","0.888","1.93","7.71","39.19","65.54","4.69","1.93","10.92","48.19","3.85"
"210","Darnell Nurse","EDM","D","78","112.9","1.4474358974359","18.6","120.11","13.41","17.01","88.75","16.08","13.29","63.77","17.24","1.59","10.63","13.04","1.69","10.24","14.20","11.16","77.06","12.65","4.78","27.1","15.00","0.53","4.78","10.00","8.5","66.61","11.32","0.71","5.67","11.11","5.37","92.12","5.51","0","2.3","0.00","12.00","83.33","0.953","1.06","5.85","29.76","62.71","3.45","2.13","9.03","40.39","5.00"
"19","David Perron","DET, OTT","L","61","1","0.016393442622951","0","120","0.00","0","120","0.00","0","120","0.00","0","60","0.00","0","11.24","0.00","0","60","0.00","0","60","0.00","0","0","-","0","0","-","0","0","-","0","86.67","0.00","0","86.67","0.00","-","50.00","0.50","0","60","0","300","-","0","60","0","-"
"649","Matthew Knies","TOR","L","74","80","1.0810810810811","17.25","120","12.57","16.5","98.25","14.38","13.5","66.75","16.82","1.5","6.75","18.18","1.19","10.3","10.34","8.25","70.5","10.48","3.75","24.75","13.16","0.75","1.5","33.33","6","61","8.96","1","5","16.67","9.75","101.83","8.74","0","2.17","0.00","11.11","89.89","1.010","3.75","6","32.25","56.25","10.42","4.5","7.5","42.75","9.52"
"578","Jack Finley","STL, T.B","C","41","25.666666666667","0.6260162601626","11.69","119.22","8.93","11.69","109.87","9.62","11.69","72.47","13.89","2.34","9.35","20.00","0.4","12.35","3.17","2.34","79.48","2.86","2.34","28.05","7.69","2.34","4.68","33.33","0","68.57","0.00","0","3.12","0.00","0","91.17","0.00","0","3.38","0.00","20.00","87.10","1.071","0","7.01","39.74","58.44","0.00","2.34","14.03","53.77","4.17"
"617","Ethan Cardwell","S.J","R","7","2.5166666666667","0.35952380952381","23.84","119.21","16.67","23.84","119.21","16.67","23.84","119.21","16.67","0","0","-","0.54","16.49","3.14","0","95.36","0.00","0","71.52","0.00","0","0","-","0","31.79","0.00","0","0","-","34.44","34.44","50.00","0","0","-","0.00","100.00","1.000","0","0","0","143.05","-","0","0","0","-"
"85","Erik Gudbranson","CBJ","D","33","90.183333333333","2.7328282828283","11.31","119.09","8.67","9.98","96.47","9.38","8.65","60.54","12.50","1.33","9.98","11.76","0.55","11.99","4.38","5.99","76.51","7.26","2","43.25","4.41","0","3.99","0.00","5.32","44.35","10.71","1.77","5.32","25.00","3.84","109.55","3.39","0","2.88","0.00","15.38","83.52","0.989","1.33","3.33","37.26","11.98","3.45","1.33","10.64","63.2","2.06"
