"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"103","Chandler Stephenson","SEA","C","78","155.2","1.9897435897436","11.21","138.02","7.51","10.82","100.13","9.76","9.28","63.02","12.83","0.77","6.96","10.00","0.57","10.12","5.31","4.25","68.81","5.82","1.93","30.15","6.02","0","3.09","0.00","3.09","51.55","5.66","0.52","2.06","20.00","2.79","144.63","1.89","0.56","3.35","14.29","8.33","88.96","0.973","1.93","5.41","44.46","25.52","4.17","1.93","8.51","64.95","2.89"
"56","Cam Fowler","ANA, STL","D","68","78.183333333333","1.1497549019608","10.74","137.37","7.25","9.98","106.67","8.55","6.91","77.51","8.18","0","13.05","0.00","1.03","12.93","7.35","6.91","84.42","7.56","4.6","41.44","10.00","0","6.14","0.00","3.07","57.3","5.08","0","7.16","0.00","2.22","123.04","1.77","0","2.22","0.00","0.00","83.17","0.832","0.77","3.84","44.51","33.77","1.69","0.77","7.67","59.86","1.27"
"206","Brandon Tanev","SEA, WPG","L","79","154.33333333333","1.9535864978903","8.94","132.96","6.30","8.16","99.14","7.61","7.78","59.09","11.63","0","7.39","0.00","0.39","9.6","3.89","1.94","64.92","2.91","1.56","29.16","5.06","0","3.11","0.00","0.52","47.69","1.08","0","3.63","0.00","3.93","144.88","2.64","0","2.25","0.00","0.00","87.50","0.875","1.17","8.94","43.93","26.83","2.59","1.94","10.89","63.76","2.96"
"188","Joel Eriksson Ek","MIN","C","46","82.683333333333","1.7974637681159","11.61","131.34","8.12","10.88","106.67","9.26","10.88","78.37","12.20","0","11.61","0.00","0.35","9.93","3.39","2.9","63.13","4.40","0.73","26.85","2.63","0","4.35","0.00","2.9","48.38","5.66","0","3.87","0.00","6.29","171.9","3.53","0","6.29","0.00","0.00","85.19","0.852","0.73","7.26","51.52","16.69","1.39","2.18","8.71","84.18","2.52"
"232","Michael Rasmussen","DET","C","77","64.033333333333","0.83160173160173","14.06","131.18","9.68","13.12","94.64","12.17","9.37","60.91","13.33","0","11.24","0.00","0.87","10.46","7.67","5.62","74.96","6.98","2.81","28.11","9.09","0","6.56","0.00","3.75","62.47","5.66","0","2.5","0.00","6.77","106.92","5.95","0","4.06","0.00","0.00","81.54","0.815","0","8.43","33.73","63.72","0.00","2.81","8.43","35.61","7.32"
"79","Jamie Oleksiak","SEA","D","82","217.81666666667","2.6563008130081","14.32","128.36","10.04","13.22","97.24","11.97","11.57","61.43","15.85","0.55","8.54","6.06","0.57","9.81","5.51","4.13","67.49","5.77","1.93","29.2","6.19","0","3.58","0.00","2.94","51.05","5.44","0.73","3.67","16.67","4.38","140.85","3.01","0","3.18","0.00","4.76","86.10","0.909","0","5.78","34.43","7.16","0.00","1.65","10.19","69.97","2.31"
"76","Adam Larsson","SEA","D","82","219.5","2.6768292682927","15.31","127.38","10.73","14.49","97.04","12.99","12.57","62.32","16.79","0.82","8.75","8.57","0.64","9.59","6.26","4.92","63.42","7.20","2.19","29.52","6.90","0","3.28","0.00","3.64","45.19","7.46","0.73","4.01","15.38","4.34","143.33","2.94","0.39","3.55","10.00","6.52","85.96","0.925","0","5.74","32.8","10.66","0.00","1.91","10.39","68.88","2.70"
"14","Mikael Backlund","CGY","C","76","174.88333333333","2.3010964912281","14.41","126.26","10.24","12.35","94.01","11.61","9.95","68.96","12.61","1.03","10.64","8.82","1.03","9.93","9.42","6.52","72.73","8.23","2.4","31.56","7.07","1.03","4.46","18.75","5.49","54.89","9.09","0","4.12","0.00","8.42","153.13","5.21","0","4.46","0.00","10.34","84.58","0.949","1.03","7.89","58.67","14.75","1.72","1.37","12.35","87.14","1.55"
"50","Justin Holl","DET","D","73","87.433333333333","1.1977168949772","7.55","125.58","5.67","6.18","84.41","6.82","5.49","58.33","8.60","0.69","8.92","7.14","0.4","9.21","4.19","3.43","60.39","5.38","0","26.08","0.00","0","5.49","0.00","4.57","45.75","9.09","0.91","1.83","33.33","2.97","117.96","2.46","0","2.97","0.00","12.50","84.71","0.972","0.69","2.74","36.37","46.66","1.85","2.74","3.43","42.55","6.06"
"69","Jean-Gabriel Pageau","NYI","C","79","135.56666666667","1.7160337552743","18.59","125.25","12.92","17.26","97.81","15.00","15.05","64.62","18.89","2.21","10.62","17.24","1.14","10.21","10.08","9.74","60.19","13.92","3.98","25.23","13.64","0.89","3.1","22.22","7.67","46.62","14.13","1.77","4.13","30.00","8.31","141.28","5.56","0","6.39","0.00","14.71","83.56","0.983","0.44","10.18","50.9","34.96","0.86","3.1","14.61","67.72","4.38"
