"Player","Season","Team","Position","GP","TOI","Opp #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60","RAPM_CF/60","RAPM_CA/60","RAPM_xGF/60","RAPM_xGA/60","Off_GAR/60","Def_GAR/60","Off_xGAR/60","Def_xGAR/60"
"A.J. Greer","23-24","CGY","L",59,494.87,597,13.83,27.88,0.25,0.01,0.16,0.15,0.06,-0.19,-0.004,-0.014,0.13,0.03,0.12,0.03
"Aaron Ekblad","23-24","FLA","D",51,819.1,593,14.56,29.3,0.75,0.029,0.21,0.23,0.63,-0.12,0.027,-0.002,0.2,0.01,0.2,0.02
"Adam Beckman","23-24","MIN","L",11,103.13,182,13.76,27.85,0.53,0.019,0.21,0.16,0.5,-0.03,0.013,-0.006,0.18,0.03,0.15,0.02
"Adam Boqvist","23-24","CBJ","D",35,552.55,444,14.38,28.97,0.68,0.022,0.2,0.19,0.48,-0.19,0.02,-0.002,0.19,0.01,0.18,0.02
"Adam Edstrom","23-24","NYR","C",11,91.48,178,14.09,28.38,0.41,0.027,0.18,0.19,0.49,0.07,0.021,-0.005,0.18,0.01,0.18,0.02
"Adam Erne","23-24","EDM","L",24,180.63,370,13.63,27.58,0.07,-0.001,0.14,0.13,0.13,0.06,-0.006,-0.005,0.12,0.01,0.11,0.02
"Adam Fantilli","23-24","CBJ","C",49,641.83,533,14.32,28.82,0.64,0.024,0.2,0.19,0.48,-0.16,0.019,-0.006,0.19,0.01,0.17,0.02
"Adam Fox","23-24","NYR","D",72,1273.5,649,14.41,28.98,0.72,0.028,0.19,0.2,0.56,-0.16,0.024,-0.004,0.18,0.01,0.18,0.02
"Adam Ginning","23-24","PHI","D",9,119.2,147,13.85,27.93,0.91,0.019,0.16,0.18,0.67,-0.24,0.022,0.002,0.17,-0.02,0.17,0.01
"Adam Henrique","23-24","ANA","C",60,734.38,627,14.4,29,0.76,0.03,0.21,0.2,0.65,-0.11,0.03,0,0.2,0.01,0.19,0.01
"Adam Henrique","23-24","EDM","C",22,289.12,326,14.41,29.02,0.78,0.022,0.25,0.23,0.64,-0.13,0.02,-0.002,0.22,0.02,0.21,0.02
"Adam Larsson","23-24","SEA","D",81,1574.27,684,14.41,29.04,0.6,0.021,0.19,0.19,0.49,-0.12,0.021,0,0.18,0.01,0.18,0.01
"Adam Lowry","23-24","WPG","C",81,1063,684,14.38,28.97,0.84,0.031,0.21,0.21,0.63,-0.2,0.024,-0.007,0.18,0.02,0.18,0.02
"Adam Pelech","23-24","NYI","D",58,1001.65,627,14.58,29.36,0.78,0.021,0.21,0.21,0.64,-0.15,0.024,0.002,0.2,0,0.2,0.01
"Adam Ruzicka","23-24","CGY","C",39,330.17,496,13.87,28,0.39,0.016,0.18,0.17,0.23,-0.16,0.001,-0.015,0.15,0.03,0.14,0.03
"Adrian Kempe","23-24","L.A","R",77,1037.38,664,14.65,29.49,0.66,0.028,0.21,0.21,0.53,-0.13,0.025,-0.003,0.2,0.01,0.2,0.02
"Akil Thomas","23-24","L.A","C",7,59.1,104,13.78,27.98,-0.44,-0.02,0.15,0.11,-0.47,-0.03,-0.037,-0.017,0.09,0.06,0.07,0.03
"Alec Martinez","23-24","VGK","D",55,926.42,580,14.43,29.1,0.94,0.034,0.21,0.21,0.66,-0.28,0.029,-0.006,0.19,0.02,0.19,0.02
"Aleksander Barkov","23-24","FLA","C",73,977.6,653,14.75,29.64,0.89,0.034,0.23,0.23,0.69,-0.2,0.03,-0.003,0.21,0.01,0.21,0.02
