"Player","Season","Team","Position","GP","TOI","Opp #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60","RAPM_CF/60","RAPM_CA/60","RAPM_xGF/60","RAPM_xGA/60","Off_GAR/60","Def_GAR/60","Off_xGAR/60","Def_xGAR/60"
"Alex Alexeyev","23-24","WSH","D",39,510.07,470,13.87,27.95,0.46,0.013,0.18,0.18,0.22,-0.24,0,-0.013,0.15,0.03,0.15,0.04
"Alex Barabanov","23-24","S.J","L",46,625.93,525,14.27,28.76,0.72,0.025,0.21,0.2,0.56,-0.16,0.018,-0.007,0.18,0.02,0.17,0.02
"Alex Barre-Boulet","23-24","T.B","C",36,365.7,445,14.25,28.63,0.64,0.022,0.18,0.18,0.55,-0.09,0.022,0,0.17,0.01,0.17,0.01
"Alex Carrier","23-24","NSH","D",73,1166.13,665,14.49,29.19,0.64,0.025,0.2,0.21,0.5,-0.13,0.022,-0.003,0.18,0.01,0.19,0.02
"Alex Debrincat","23-24","DET","R",82,1188.55,690,14.56,29.28,0.95,0.036,0.21,0.21,0.69,-0.26,0.027,-0.009,0.19,0.02,0.18,0.03
"Alex Goligoski","23-24","MIN","D",36,499.7,462,13.96,28.15,0.54,0.015,0.17,0.16,0.36,-0.17,0.009,-0.007,0.15,0.02,0.14,0.02
"Alex Holtz","23-24","N.J","R",82,840.85,682,13.97,28.09,0.31,0.01,0.17,0.16,0.3,-0.01,0.007,-0.003,0.15,0.02,0.15,0.01
"Alex Iafallo","23-24","WPG","L",82,988.15,685,14.19,28.59,0.51,0.02,0.19,0.19,0.38,-0.13,0.013,-0.007,0.17,0.02,0.16,0.02
"Alex Kerfoot","23-24","ARI","C",82,1038.17,682,14.22,28.67,0.63,0.025,0.19,0.19,0.45,-0.17,0.017,-0.008,0.17,0.02,0.17,0.02
"Alex Killorn","23-24","ANA","C/L",63,923.7,625,14.42,29.04,0.93,0.038,0.22,0.21,0.62,-0.31,0.024,-0.014,0.18,0.03,0.18,0.03
"Alex Laferriere","23-24","L.A","R",81,1005.28,669,14.1,28.4,0.27,0.012,0.17,0.16,0.23,-0.04,0.008,-0.004,0.16,0.01,0.15,0.01
"Alex Newhook","23-24","MTL","C",55,740.97,615,14.31,28.83,0.66,0.024,0.19,0.2,0.47,-0.18,0.019,-0.005,0.18,0.01,0.18,0.02
"Alex Nylander","23-24","CBJ","L",23,330.23,310,14.25,28.73,1.12,0.04,0.2,0.21,0.87,-0.25,0.03,-0.01,0.18,0.02,0.18,0.03
"Alex Nylander","23-24","PIT","L",5,57.73,90,14.13,28.32,0.34,-0.009,0.14,0.14,0.24,-0.1,0,0.009,0.16,-0.02,0.15,0
"Alex Ovechkin","23-24","WSH","L",79,1122.45,661,14.41,29.02,0.92,0.035,0.21,0.22,0.67,-0.25,0.024,-0.011,0.19,0.02,0.19,0.03
"Alex Pietrangelo","23-24","VGK","D",64,1130.52,639,14.56,29.33,0.95,0.032,0.21,0.21,0.71,-0.24,0.03,-0.003,0.2,0.01,0.19,0.02
"Alex Romanov","23-24","NYI","D",81,1498.9,676,14.33,28.87,0.82,0.026,0.18,0.19,0.61,-0.21,0.022,-0.004,0.17,0.01,0.18,0.02
"Alex Texier","23-24","CBJ","C",78,991.15,669,14.27,28.76,0.86,0.029,0.2,0.2,0.62,-0.24,0.023,-0.007,0.18,0.02,0.18,0.02
"Alex Tuch","23-24","BUF","R",75,1089.58,665,14.61,29.43,1.05,0.042,0.22,0.23,0.8,-0.25,0.033,-0.009,0.2,0.02,0.2,0.03
"Alex Turcotte","23-24","L.A","C",20,181.8,254,13.85,27.91,0.62,0.025,0.19,0.17,0.25,-0.37,0.009,-0.017,0.16,0.03,0.14,0.03
"Alex Vlasic","23-24","CHI","D",76,1360.93,666,14.55,29.3,0.9,0.038,0.23,0.23,0.72,-0.18,0.031,-0.007,0.21,0.03,0.21,0.02
"Alex Wennberg","23-24","NYR","C",19,249.37,275,14.3,28.76,0.63,0.03,0.19,0.21,0.61,-0.03,0.031,0.001,0.18,0.01,0.2,0.02
"Alex Wennberg","23-24","SEA","C",60,830.55,611,14.57,29.38,0.87,0.033,0.22,0.22,0.71,-0.17,0.034,0.001,0.21,0,0.21,0.01
"Alexei Toropchenko","23-24","STL","R",82,922.28,680,13.92,28.05,0.48,0.019,0.17,0.17,0.31,-0.17,0.007,-0.011,0.15,0.03,0.15,0.03
"Alexis Lafrenière","23-24","NYR","L",82,1270.88,679,14.4,28.98,0.71,0.028,0.19,0.2,0.55,-0.16,0.022,-0.005,0.18,0.01,0.18,0.02
"Aliaksei Protas","23-24","WSH","C",78,973.58,666,14.18,28.56,0.72,0.023,0.19,0.2,0.53,-0.19,0.017,-0.006,0.18,0.02,0.18,0.02
"Anders Lee","23-24","NYI","L",81,1089.72,676,14.46,29.12,0.94,0.033,0.2,0.21,0.69,-0.26,0.025,-0.007,0.19,0.02,0.19,0.02
"Andre Burakovsky","23-24","SEA","L",49,590.42,557,14.32,28.82,0.27,0.014,0.18,0.18,0.28,0.01,0.013,-0.001,0.17,0.01,0.17,0.01
"Andreas Athanasiou","23-24","CHI","C",28,333.25,404,13.86,28,0.37,0.015,0.16,0.15,0.27,-0.1,0.005,-0.01,0.13,0.03,0.12,0.03
"Andreas Englund","23-24","L.A","D",82,1000.75,676,13.84,27.87,0.18,0.007,0.16,0.15,0.11,-0.07,-0.002,-0.009,0.14,0.02,0.13,0.02
"Andrei Kuzmenko","23-24","CGY","L",29,363.6,414,14.25,28.69,0.35,0.008,0.17,0.16,0.15,-0.2,0.006,-0.002,0.16,0.01,0.15,0.01
"Andrei Kuzmenko","23-24","VAN","L",43,460.12,516,14.24,28.68,0.4,0.014,0.16,0.16,0.4,0,0.015,0,0.16,0,0.15,0.01
"Andrei Svechnikov","23-24","CAR","R",59,826.35,584,14.49,29.12,0.55,0.024,0.19,0.2,0.53,-0.03,0.026,0.001,0.18,0.01,0.19,0.01
"Andrew Cogliano","23-24","COL","C",75,618.37,672,13.82,27.83,0.17,0.002,0.13,0.14,0.14,-0.03,0.002,0,0.13,0.01,0.13,0.01
"Andrew Copp","23-24","DET","C",79,1018.03,683,14.35,28.89,0.69,0.021,0.18,0.18,0.59,-0.11,0.02,-0.001,0.17,0.01,0.17,0.01
"Andrew Mangiapane","23-24","CGY","L",75,1033.37,669,14.61,29.42,0.77,0.03,0.22,0.22,0.59,-0.18,0.027,-0.003,0.2,0.02,0.2,0.02
"Andrew Peeke","23-24","BOS","D",15,235.73,191,13.86,28,1.49,0.056,0.19,0.23,0.83,-0.66,0.025,-0.031,0.14,0.06,0.16,0.06
"Andrew Peeke","23-24","CBJ","D",23,319.93,301,14.25,28.6,1.18,0.053,0.22,0.22,0.69,-0.48,0.038,-0.015,0.2,0.03,0.19,0.03
"Angus Crookshank","23-24","OTT","L",13,127.72,213,14.36,28.89,0.59,0.026,0.2,0.21,0.43,-0.16,0.028,0.002,0.19,0.01,0.2,0.01
"Anthony Beauvillier","23-24","CHI","L",23,299.68,303,14.13,28.49,0.88,0.036,0.21,0.21,0.58,-0.29,0.024,-0.012,0.18,0.03,0.18,0.03
"Anthony Beauvillier","23-24","NSH","L",15,168,241,14.22,28.5,0.08,-0.013,0.14,0.16,0.3,0.22,-0.002,0.012,0.16,-0.02,0.17,-0.01
"Anthony Beauvillier","23-24","VAN","L",22,270,296,14.12,28.37,0.52,0.019,0.14,0.15,0.47,-0.05,0.019,0,0.14,0,0.14,0
"Anthony Cirelli","23-24","T.B","C",79,1126.95,691,14.57,29.33,0.83,0.031,0.22,0.22,0.73,-0.1,0.031,0,0.21,0.01,0.21,0.01
"Anthony Duclair","23-24","S.J","L",56,770.77,591,14.54,29.31,1.01,0.047,0.24,0.24,0.72,-0.29,0.035,-0.012,0.21,0.03,0.21,0.03
"Anthony Duclair","23-24","T.B","L",17,224.85,290,14.5,29.13,0.59,0.025,0.22,0.21,0.51,-0.08,0.021,-0.004,0.2,0.02,0.19,0.03
"Anthony Mantha","23-24","VGK","R",18,230.48,259,14.29,28.87,0.89,0.035,0.21,0.22,0.45,-0.44,0.017,-0.017,0.18,0.03,0.18,0.04
"Anthony Mantha","23-24","WSH","R",56,688.97,584,14.12,28.49,0.65,0.018,0.17,0.17,0.52,-0.13,0.013,-0.005,0.16,0.01,0.16,0.02
"Anthony Richard","23-24","BOS","C",9,95.12,144,14.13,28.27,0.98,0.032,0.17,0.17,0.53,-0.45,0.006,-0.026,0.13,0.04,0.13,0.04
"Anton Lundell","23-24","FLA","C",78,990.45,672,14.21,28.57,0.56,0.02,0.19,0.19,0.47,-0.09,0.018,-0.002,0.18,0.01,0.18,0.02
"Anze Kopitar","23-24","L.A","C",81,1133.22,674,14.63,29.47,0.79,0.034,0.22,0.22,0.6,-0.18,0.028,-0.005,0.2,0.02,0.2,0.02
"Arber Xhekaj","23-24","MTL","D",44,637.63,561,13.98,28.18,0.72,0.025,0.18,0.19,0.32,-0.4,0.01,-0.016,0.15,0.03,0.15,0.04
"Arshdeep Bains","23-24","VAN","L",8,87.98,144,14.32,28.85,0.58,0.044,0.27,0.23,0.53,-0.05,0.019,-0.025,0.21,0.06,0.19,0.04
"Artem Zub","23-24","OTT","D",69,1224.13,656,14.52,29.22,0.87,0.034,0.21,0.22,0.7,-0.17,0.031,-0.003,0.2,0.01,0.2,0.02
"Artemi Panarin","23-24","NYR","L",82,1299.62,681,14.4,28.99,0.72,0.029,0.19,0.2,0.56,-0.16,0.023,-0.006,0.18,0.01,0.18,0.02
"Arthur Kaliyev","23-24","L.A","R",51,522.97,532,13.89,27.97,0.18,0.007,0.16,0.15,0.19,0.01,0.003,-0.004,0.15,0.01,0.14,0.01
"Artturi Lehkonen","23-24","COL","L",45,604.25,516,14.42,29,0.85,0.034,0.2,0.21,0.57,-0.27,0.024,-0.011,0.18,0.03,0.19,0.03
"Austin Czarnik","23-24","DET","C",34,276.13,429,13.64,27.41,0.15,0.001,0.15,0.14,0.1,-0.05,-0.008,-0.009,0.13,0.03,0.12,0.03
"Austin Watson","23-24","T.B","L",33,235.97,422,13.16,26.63,0.49,0.014,0.14,0.15,0.22,-0.27,-0.007,-0.021,0.1,0.04,0.1,0.04
"Auston Matthews","23-24","TOR","C",81,1300.67,668,14.64,29.49,0.84,0.032,0.22,0.22,0.63,-0.21,0.024,-0.008,0.2,0.02,0.19,0.03
"Axel Jonsson-Fjallby","23-24","WPG","L",26,204.68,365,13.43,27.16,-0.37,-0.019,0.11,0.11,-0.23,0.14,-0.018,0,0.11,0,0.1,0.01
"Barclay Goodrow","23-24","NYR","C",80,828.48,679,14.22,28.62,0.7,0.024,0.19,0.2,0.55,-0.14,0.022,-0.002,0.17,0.01,0.18,0.01
"Barrett Hayton","23-24","ARI","C",33,420.25,436,14.46,29.14,0.57,0.024,0.19,0.19,0.37,-0.2,0.013,-0.011,0.16,0.03,0.16,0.03
"Beck Malenstyn","23-24","WSH","L",81,920.6,668,14.23,28.66,0.88,0.032,0.21,0.21,0.67,-0.21,0.025,-0.007,0.19,0.02,0.19,0.02
"Ben Chiarot","23-24","DET","D",77,1339.48,676,14.5,29.17,0.75,0.026,0.2,0.2,0.67,-0.08,0.028,0.002,0.19,0.01,0.19,0.01
"Ben Hutton","23-24","VGK","D",41,601.43,464,13.93,28.1,0.41,0.01,0.15,0.14,0.23,-0.18,0.001,-0.009,0.13,0.02,0.12,0.02
"Ben Meyers","23-24","ANA","C",14,135.02,201,13.8,27.67,0.01,-0.001,0.15,0.12,-0.13,-0.14,-0.024,-0.022,0.09,0.06,0.08,0.03
"Ben Meyers","23-24","COL","C",9,83.67,161,13.73,27.58,-0.6,-0.043,0.03,0.02,-0.2,0.4,-0.021,0.022,0.07,-0.04,0.05,-0.04
"Benoit-Olivier Groulx","23-24","ANA","C",45,473.72,551,14.04,28.31,0.51,0.019,0.18,0.17,0.3,-0.21,0.01,-0.009,0.15,0.03,0.15,0.02
"Blake Coleman","23-24","CGY","C",78,1112.97,666,14.59,29.37,0.75,0.03,0.21,0.21,0.61,-0.15,0.03,0,0.2,0.01,0.2,0.01
"Blake Lizotte","23-24","L.A","C",62,616.02,597,13.85,27.9,0.06,0.002,0.15,0.13,0.07,0,-0.004,-0.005,0.13,0.02,0.12,0.01
"Blake Wheeler","23-24","NYR","R",54,622.88,611,14.25,28.7,0.65,0.022,0.19,0.19,0.39,-0.26,0.013,-0.009,0.17,0.02,0.17,0.02
"Bo Horvat","23-24","NYI","C",81,1244.25,680,14.52,29.26,0.93,0.027,0.2,0.2,0.69,-0.24,0.023,-0.004,0.18,0.01,0.18,0.02
"Bobby Brink","23-24","PHI","R",57,645.73,622,14.1,28.38,0.49,0.013,0.17,0.18,0.39,-0.1,0.013,0,0.17,0,0.17,0.01
"Bobby McMann","23-24","TOR","C",56,582.43,576,14.04,28.26,0.55,0.017,0.17,0.18,0.43,-0.13,0.016,-0.001,0.16,0.01,0.16,0.01
"Boone Jenner","23-24","CBJ","C",58,849.9,613,14.66,29.53,0.77,0.026,0.21,0.21,0.65,-0.11,0.027,0.001,0.21,0,0.2,0.01
"Boris Katchouk","23-24","CHI","L",38,404.27,503,13.96,28.1,0.56,0.021,0.19,0.19,0.44,-0.13,0.012,-0.009,0.16,0.03,0.17,0.03
"Boris Katchouk","23-24","OTT","L",21,202.45,328,13.71,27.57,0.07,-0.005,0.13,0.14,0.08,0.01,-0.001,0.004,0.13,0,0.14,0
"Bowen Byram","23-24","BUF","D",18,328.17,274,14.34,28.86,1.06,0.054,0.25,0.26,0.71,-0.34,0.037,-0.017,0.21,0.04,0.22,0.04
"Bowen Byram","23-24","COL","D",55,983.57,557,14.17,28.56,0.27,0.004,0.14,0.14,0.24,-0.02,0.004,0.001,0.13,0.01,0.14,0.01
"Brad Marchand","23-24","BOS","L",82,1095.57,675,14.69,29.58,1.14,0.043,0.22,0.24,0.85,-0.28,0.037,-0.005,0.21,0.02,0.21,0.02
"Braden Schneider","23-24","NYR","D",82,1200.82,681,14.13,28.45,0.63,0.025,0.17,0.19,0.46,-0.17,0.018,-0.007,0.16,0.02,0.16,0.02
"Brady Skjei","23-24","CAR","D",80,1407.68,679,14.46,29.1,0.61,0.027,0.2,0.2,0.57,-0.04,0.027,0,0.19,0.01,0.19,0.01
"Brady Tkachuk","23-24","OTT","L",81,1221.52,680,14.61,29.41,0.94,0.039,0.22,0.23,0.72,-0.22,0.032,-0.007,0.2,0.02,0.21,0.02
"Brandon Biro","23-24","BUF","L",5,50.63,70,13.61,27.6,1.4,0.058,0.23,0.23,0.98,-0.42,0.028,-0.03,0.2,0.04,0.17,0.06
"Brandon Carlo","23-24","BOS","D",76,1249.42,659,14.44,29.06,0.87,0.03,0.2,0.21,0.69,-0.18,0.029,-0.001,0.19,0.01,0.19,0.01
"Brandon Duhaime","23-24","COL","R",18,183.35,246,13.96,28.08,0.87,0.038,0.19,0.21,0.5,-0.36,0.024,-0.014,0.16,0.03,0.18,0.03
"Brandon Duhaime","23-24","MIN","R",62,522.03,635,13.87,27.91,0.53,0.013,0.16,0.16,0.38,-0.15,0.011,-0.002,0.15,0.01,0.15,0.02
"Brandon Gignac","23-24","MTL","C",7,64.82,108,14.13,28.3,-0.18,-0.004,0.12,0.13,-0.06,0.12,-0.001,0.003,0.11,0.01,0.13,0
"Brandon Hagel","23-24","T.B","L",82,1254.27,693,14.67,29.54,0.91,0.036,0.23,0.23,0.76,-0.15,0.035,0,0.21,0.01,0.21,0.01
"Brandon Montour","23-24","FLA","D",66,1210.18,630,14.29,28.74,0.77,0.032,0.21,0.22,0.58,-0.18,0.025,-0.008,0.19,0.02,0.19,0.03
"Brandon Saad","23-24","STL","L",82,1080.97,680,14.27,28.77,0.71,0.027,0.19,0.2,0.51,-0.2,0.018,-0.009,0.17,0.02,0.18,0.02
"Brandon Tanev","23-24","SEA","L",66,761.75,637,14.31,28.81,0.29,0.013,0.18,0.18,0.35,0.07,0.016,0.003,0.18,0,0.18,0
"Brandt Clarke","23-24","L.A","D",16,189.35,254,14.15,28.58,0.48,0.014,0.19,0.19,0.29,-0.19,0.013,-0.001,0.18,0.01,0.18,0.01
"Brayden McNabb","23-24","VGK","D",82,1373.97,667,14.32,28.85,0.6,0.018,0.18,0.18,0.44,-0.15,0.016,-0.002,0.17,0.01,0.17,0.02
"Brayden Pachal","23-24","CGY","D",33,450.95,451,13.97,28.15,0.36,0.011,0.16,0.15,0.15,-0.21,0.003,-0.008,0.14,0.02,0.13,0.02
"Brayden Pachal","23-24","VGK","D",17,224.22,239,13.81,27.93,0.51,0.006,0.14,0.11,0.31,-0.2,-0.005,-0.011,0.12,0.02,0.09,0.02
"Brayden Point","23-24","T.B","C",81,1260.3,689,14.56,29.31,0.9,0.034,0.21,0.22,0.68,-0.22,0.029,-0.005,0.2,0.01,0.2,0.02
"Brayden Schenn","23-24","STL","C",82,1117.9,679,14.39,29.01,0.73,0.028,0.2,0.2,0.56,-0.18,0.018,-0.01,0.17,0.03,0.18,0.02
"Brendan Brisson","23-24","VGK","C",15,169.12,222,14.1,28.4,0.49,0.03,0.21,0.2,0.31,-0.18,0.024,-0.006,0.2,0.01,0.18,0.02
"Brendan Gallagher","23-24","MTL","R",77,929.73,668,14.22,28.65,0.75,0.026,0.19,0.2,0.57,-0.18,0.02,-0.007,0.17,0.02,0.18,0.02
"Brendan Gaunce","23-24","CBJ","C",24,265.68,361,13.98,28.11,0.68,0.019,0.17,0.17,0.55,-0.14,0.013,-0.006,0.15,0.01,0.16,0.01
"Brendan Lemieux","23-24","CAR","L",32,254.3,423,13.38,26.89,-0.19,-0.004,0.13,0.12,-0.21,-0.02,-0.019,-0.015,0.09,0.03,0.08,0.03
"Brendan Smith","23-24","N.J","D",63,821.82,617,14.23,28.65,0.53,0.022,0.19,0.19,0.47,-0.06,0.019,-0.004,0.18,0.01,0.17,0.02
"Brenden Dillon","23-24","WPG","D",77,1231.5,679,14.27,28.75,0.58,0.022,0.19,0.19,0.45,-0.14,0.016,-0.006,0.17,0.02,0.17,0.02
"Brent Burns","23-24","CAR","D",82,1314.68,688,14.41,28.99,0.57,0.025,0.19,0.21,0.51,-0.05,0.023,-0.001,0.18,0.01,0.19,0.02
"Brett Howden","23-24","VGK","C",72,844.45,628,14.09,28.41,0.55,0.015,0.18,0.17,0.39,-0.16,0.012,-0.004,0.16,0.02,0.15,0.02
"Brett Kulak","23-24","EDM","D",82,1174.3,674,13.99,28.2,0.45,0.015,0.18,0.17,0.37,-0.08,0.009,-0.006,0.16,0.02,0.15,0.02
"Brett Leason","23-24","ANA","R",68,709.92,627,14.17,28.48,0.51,0.024,0.19,0.17,0.43,-0.08,0.018,-0.006,0.17,0.02,0.16,0.02
"Brett Pesce","23-24","CAR","D",70,1226.62,651,14.51,29.21,0.64,0.03,0.2,0.21,0.59,-0.05,0.03,0.001,0.19,0.01,0.2,0.01
"Brian Dumoulin","23-24","SEA","D",80,1230.72,679,14.13,28.5,0.47,0.017,0.16,0.17,0.37,-0.1,0.014,-0.002,0.15,0.01,0.16,0.01
"Brock Boeser","23-24","VAN","R",81,1146.73,675,14.65,29.49,0.9,0.036,0.21,0.22,0.71,-0.19,0.029,-0.007,0.2,0.02,0.2,0.02
"Brock Faber","23-24","MIN","D",82,1548.67,671,14.49,29.19,0.78,0.024,0.2,0.2,0.59,-0.19,0.024,0,0.19,0.01,0.19,0.01
"Brock McGinn","23-24","ANA","L",24,232.2,334,14.1,28.44,1.01,0.036,0.21,0.21,0.73,-0.29,0.031,-0.005,0.2,0.01,0.19,0.02
"Brock Nelson","23-24","NYI","C",82,1173.55,679,14.34,28.89,0.82,0.026,0.18,0.19,0.62,-0.2,0.022,-0.004,0.17,0.01,0.17,0.02
"Bryan Rust","23-24","PIT","R",62,920.1,646,14.65,29.51,0.85,0.03,0.21,0.22,0.68,-0.16,0.027,-0.004,0.21,0.01,0.2,0.02
"Byron Froese","23-24","VGK","C",16,160.92,253,13.99,28.03,0.68,0.013,0.2,0.2,0.51,-0.18,0.011,-0.002,0.19,0.01,0.18,0.02
"Cal Clutterbuck","23-24","NYI","R",82,802.33,681,13.96,28.14,0.63,0.019,0.16,0.17,0.43,-0.2,0.014,-0.006,0.15,0.01,0.16,0.02
"Cal Foote","23-24","N.J","D",4,53.8,72,13.91,27.75,0.11,0.008,0.21,0.19,0.3,0.19,-0.001,-0.009,0.18,0.04,0.16,0.03
"Cale Makar","23-24","COL","D",77,1353.47,676,14.56,29.33,0.92,0.037,0.22,0.22,0.6,-0.32,0.025,-0.012,0.19,0.03,0.19,0.03
"Caleb Jones","23-24","COL","D",25,298.48,371,13.71,27.73,-0.06,-0.003,0.12,0.12,-0.08,-0.02,-0.011,-0.007,0.11,0.01,0.11,0.01
"Calen Addison","23-24","MIN","D",12,148.03,198,13.98,28.17,0.71,0.035,0.14,0.17,0.47,-0.24,0.023,-0.012,0.12,0.02,0.13,0.03
"Calen Addison","23-24","S.J","D",60,899.63,598,14.12,28.41,0.47,0.025,0.2,0.18,0.34,-0.12,0.013,-0.012,0.16,0.03,0.16,0.03
"Calle Jarnkrok","23-24","TOR","C",52,631.62,549,14.07,28.36,0.48,0.011,0.18,0.18,0.34,-0.13,0.008,-0.003,0.16,0.01,0.16,0.02
"Calle Rosen","23-24","STL","D",6,74.23,93,13.53,27.14,0.64,0.024,0.16,0.18,0.39,-0.25,0.016,-0.008,0.14,0.02,0.15,0.03
"Calvin De Haan","23-24","T.B","D",59,856.62,647,13.94,28.11,0.55,0.019,0.17,0.17,0.41,-0.14,0.012,-0.006,0.15,0.02,0.16,0.02
"Cam Atkinson","23-24","PHI","R",70,850.38,651,14.4,28.99,0.85,0.031,0.21,0.21,0.64,-0.21,0.024,-0.007,0.19,0.02,0.19,0.02
"Cam Fowler","23-24","ANA","D",81,1478.07,679,14.4,28.99,0.77,0.031,0.21,0.21,0.56,-0.21,0.023,-0.009,0.18,0.03,0.18,0.02
"Cam York","23-24","PHI","D",82,1457.58,677,14.41,29,0.84,0.027,0.2,0.21,0.64,-0.19,0.026,-0.002,0.19,0.01,0.19,0.02
"Carl Grundstrom","23-24","L.A","R",50,521.02,551,13.75,27.68,0.23,0.005,0.15,0.14,0.31,0.08,0.007,0.002,0.15,0,0.14,0
"Carson Meyer","23-24","CBJ","R",14,127.5,216,13.73,27.63,0.32,0.018,0.18,0.18,0.53,0.22,0.016,-0.002,0.17,0.01,0.17,0.01
"Carson Soucy","23-24","VAN","D",40,602.63,487,14.24,28.65,0.67,0.028,0.21,0.21,0.57,-0.1,0.026,-0.003,0.19,0.01,0.19,0.01
"Carter Verhaeghe","23-24","FLA","C",76,1071.33,680,14.55,29.26,0.74,0.03,0.22,0.22,0.58,-0.16,0.025,-0.006,0.2,0.02,0.2,0.02
"Casey Cizikas","23-24","NYI","C",70,811.08,646,14.11,28.43,0.69,0.017,0.17,0.18,0.51,-0.18,0.017,0.001,0.16,0,0.17,0.01
"Casey Mittelstadt","23-24","BUF","C",62,925.23,623,14.37,28.97,0.63,0.019,0.19,0.19,0.49,-0.14,0.016,-0.002,0.18,0.01,0.18,0.01
"Casey Mittelstadt","23-24","COL","C",18,244.9,246,14.31,28.77,0.95,0.045,0.22,0.24,0.64,-0.31,0.036,-0.009,0.19,0.03,0.21,0.03
"Chad Ruhwedel","23-24","NYR","D",5,63.12,90,13.82,28.04,1.19,0.04,0.23,0.24,0.67,-0.53,0.013,-0.026,0.18,0.05,0.17,0.06
"Chad Ruhwedel","23-24","PIT","D",47,493.72,523,13.86,27.91,0.44,0.015,0.15,0.16,0.3,-0.14,0.007,-0.009,0.14,0.02,0.14,0.02
"Chandler Stephenson","23-24","VGK","C",75,1009.6,650,14.46,29.15,0.82,0.027,0.21,0.21,0.63,-0.18,0.026,-0.001,0.2,0.01,0.19,0.01
"Charlie Coyle","23-24","BOS","C",82,1082.58,672,14.64,29.48,1.09,0.042,0.23,0.24,0.85,-0.25,0.037,-0.005,0.21,0.02,0.22,0.02
"Charlie McAvoy","23-24","BOS","D",74,1392.8,660,14.46,29.15,0.91,0.035,0.21,0.22,0.68,-0.23,0.028,-0.007,0.19,0.02,0.19,0.02
