"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"653","Fraser Minten","BOS","C","57","672.25","11.793859649123","0.89","0.98","0.54","0.45","1.87","60.00","5.53","16.13","0.69","11.6","8.48","7.23","3.57","0.45","1.07","1.25","0.62","0.62","0","0","0.71","2.05","1.43","8.75","5","2.86","20.89","21.15","4.43"
"520","Vasily Podkolzin","EDM","R","58","813.2","14.020689655172","0.89","0.96","0.52","0.44","1.84","54.35","5.9","15.00","0.67","9.81","8.19","6.27","3.39","0.22","0.89","3.25","0.81","0.52","0.15","0.15","0.66","2.51","0.66","11.88","4.21","1.84","0.96","2.14","2.28"
"698","Ryan Leonard","WSH","R","52","609.76666666667","11.726282051282","0.89","1.18","0.89","0.3","2.07","75.00","7.58","11.69","0.71","17.22","12.1","8.46","2.36","0.2","1.97","2.56","1.18","1.18","0","0","2.46","4.82","0.79","7.18","5.41","1.77","0.39","0.39","4.92"
"295","Anthony Beauvillier","WSH","L","59","808.65","13.70593220339","0.89","0.3","0.07","0.22","1.19","43.24","8.16","10.91","1.11","14.77","11.95","9.87","5.27","0.15","1.41","1.19","0.59","0.59","0","0","0.45","1.93","0.67","5.49","4.53","1.93","0.82","0.96","3.40"
"663","Reid Schaefer","NSH","L","27","270.48333333333","10.017901234568","0.89","0.44","0.22","0.22","1.33","120.00","5.1","17.39","0.7","11.31","8.21","6.43","4.21","0","0.89","2.88","1.11","0.89","0.22","0","1.33","2.22","0.44","15.08","5.1","4.44","0","0.22","0.00"
"27","Steven Stamkos","NSH","C","57","750.06666666667","13.159064327485","0.88","0.8","0.4","0.4","1.68","75.00","6","14.67","0.83","12.8","9.2","8.16","4.48","0.24","1.6","2.08","1.04","1.04","0","0","0.64","3.12","1.6","4.72","2.16","1.36","11.6","8.88","4.53"
"258","Dakota Joshua","TOR","C","36","406.9","11.302777777778","0.88","0.44","0.29","0.15","1.33","52.94","4.72","18.75","0.65","7.96","6.64","5.6","3.83","0","0.88","3.69","1.03","0.74","0.15","0.15","1.47","1.77","0.74","18.28","4.28","3.1","0.29","1.33","2.68"
"681","Sandis Vilmanis","FLA","L","14","137.6","9.8285714285714","0.87","0.87","0","0.87","1.74","66.67","4.36","20.00","0.55","8.28","7.85","4.8","1.74","0","0.87","1.74","0.87","0.87","0","0","1.74","3.49","1.74","12.21","9.59","1.31","1.31","0.44","32.70"
"280","Sebastian Aho","CAR","C","57","759.38333333333","13.322514619883","0.87","1.42","1.11","0.32","2.29","69.05","6.48","13.41","0.86","13.59","11.14","7.98","3.48","0.24","1.58","1.42","0.71","0.71","0","0","0.79","4.03","1.26","3.32","3.56","1.11","25.76","25.13","4.00"
"559","Anton Lundell","FLA","C","54","700.21666666667","12.966975308642","0.86","0.77","0.26","0.51","1.63","65.52","7.2","11.90","0.88","14.22","10.97","8.05","4.11","0","0.94","2.23","1.03","1.03","0","0","1.37","3.94","0.77","4.88","3.51","2.23","29.22","25.62","4.57"
"541","Dylan Holloway","STL","L","34","487.9","14.35","0.86","0.86","0.49","0.37","1.72","66.67","7.5","11.48","0.76","14.63","10.21","7.5","3.32","0.49","1.23","1.35","0.49","0.37","0.12","0","0.74","1.72","0.37","10.82","5.41","3.2","0.98","1.11","5.79"
"543","Marco Rossi","MIN, VAN","C","25","349.93333333333","13.997333333333","0.86","0.86","0.51","0.34","1.71","66.67","4.97","17.24","0.68","10.12","7.54","8.06","4.46","0.34","1.54","0.69","0.34","0.34","0","0","0.51","2.57","0.69","2.74","4.12","2.74","24.18","22.46","8.89"
"590","Emil Heineman","NYI","L","58","769.28333333333","13.263505747126","0.86","0.39","0.16","0.23","1.25","66.67","7.33","11.70","0.79","13.1","10.45","7.88","2.89","0.23","1.17","0.94","0.47","0.47","0","0","0.55","1.95","0.39","13.26","6.71","2.73","0.08","0.39","1.30"
"701","Calum Ritchie","NYI","C","41","419.25","10.225609756098","0.86","0.43","0.29","0.14","1.29","90.00","5.72","15.00","0.61","9.73","7.73","5.58","2.86","0.14","0.72","2.29","1.14","1.14","0","0","0.57","3.86","0.57","1.57","4.72","3.29","13.02","23.04","5.17"
"430","Kiefer Sherwood","S.J, VAN","L","45","558.58333333333","12.412962962963","0.86","0.21","0.21","0","1.07","45.45","8.06","10.67","0.75","17.83","14.29","7.52","3.12","0.75","1.29","1.72","0.86","0.86","0","0","1.5","4.62","1.61","21.59","4.94","1.61","0.97","1.18","4.83"
"180","Carter Verhaeghe","FLA","C","56","775.03333333333","13.839880952381","0.85","1.39","0.85","0.54","2.25","76.32","6.81","12.50","0.78","15.17","10.61","8.28","3.41","0.23","1.63","2.01","0.7","0.62","0","0.08","0.7","2.86","1.32","3.48","4.8","1.24","1.24","1.63","3.35"
"498","Bobby Brink","PHI","R","50","637.31666666667","12.746333333333","0.85","0.66","0.38","0.28","1.51","76.19","6.21","13.64","0.65","10.36","8.19","6.4","2.92","0","1.13","1.69","0.85","0.85","0","0","0.66","2.35","0.56","5.65","4.99","2.35","1.13","2.73","2.76"
"585","Bobby McMann","TOR","C","56","773.58333333333","13.813988095238","0.85","0.85","0.7","0.16","1.71","62.86","7.68","11.11","0.79","14.19","11.4","7.45","3.34","0.31","1.24","2.33","0.93","0.78","0.16","0","0.7","1.78","1.09","9.54","3.26","1.63","0.31","0.23","4.43"
"99","Vincent Trocheck","NYR","C","43","635.1","14.76976744186","0.85","0.85","0.76","0.09","1.7","64.29","4.91","17.31","0.72","11.05","8.41","7.18","3.5","0.19","1.04","1.7","0.85","0.85","0","0","1.04","3.78","1.13","11.9","3.97","2.83","25.6","19.65","5.34"
"68","Calle Jarnkrok","TOR","C","37","352.56666666667","9.5288288288288","0.85","0.17","0.17","0","1.02","66.67","4.94","17.24","0.41","7.83","6.98","3.74","2.04","0.17","0.51","0.68","0.34","0.34","0","0","0.17","1.87","0.68","3.91","3.57","1.02","1.53","1.02","10.21"
"301","Mitch Marner","VGK","R","57","784.7","13.766666666667","0.84","1.84","1.15","0.69","2.68","79.55","5.73","14.67","0.56","12","8.56","6.19","2.37","0.23","0.99","0.76","0.38","0.38","0","0","0.69","4.05","1.38","1.45","3.13","1.99","6.58","9.94","3.04"
"338","Alex DeBrincat","DET","R","58","784.61666666667","13.527873563218","0.84","1.22","0.54","0.69","2.06","75.00","10.32","8.15","1.08","20.8","15.29","10.02","3.14","0.46","1.91","0.61","0.31","0.31","0","0","0.46","3.67","1.76","1.99","3.29","1.76","0.69","1.3","2.65"
"527","Matias Maccelli","TOR","L","46","569.63333333333","12.383333333333","0.84","1.05","0.42","0.63","1.9","64.29","4.63","18.18","0.6","9.59","7.27","5.16","3.16","0.11","1.16","0.63","0.32","0.32","0","0","0.32","4","0.63","1.26","3.9","1.26","0.32","0.42","4.51"
"326","Mason Marchment","CBJ, SEA","L","43","640.33333333333","14.891472868217","0.84","0.84","0.47","0.37","1.69","72.00","5.43","15.52","0.71","12.65","9","6.93","2.44","0.09","1.22","3.75","1.5","1.41","0","0.09","1.22","4.69","1.22","4.4","5.15","1.41","0.84","1.5","3.37"
"597","Josh Doan","BUF","R","57","720.36666666667","12.638011695906","0.83","1.17","0.67","0.5","2","61.54","7.41","11.24","1.16","14.24","10.99","9.25","6.08","0.5","1.58","1.75","0.75","0.67","0.08","0","1.25","3.17","2.83","4.25","5","1.83","0.25","0.67","2.27"
