"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"139","Tommy Novak","PIT","C","56","52.866666666667","0.94404761904762","78.31","23.83","76.67","61.29","20.43","75.00","39.72","14.75","72.92","9.08","1.13","88.89","5.81","2.12","73.28","45.4","15.89","74.07","18.16","9.08","66.67","2.27","0","100.00","36.32","9.08","80.00","6.05","1.51","80.00","70.49","11.48","86.00","3.28","0","100.00","22.86","92.31","1.152","20.43","5.67","2.27","60.15","90.00","35.18","9.08","7.94","81.58"
"254","Alex Laferriere","L.A","R","56","84.733333333333","1.5130952380952","91.35","22.66","80.12","69.39","19.83","77.78","46.03","12.04","79.27","2.12","1.42","60.00","7.31","1.9","79.37","46.03","14.87","75.58","22.66","3.54","86.49","0.71","0","100.00","31.16","15.11","67.35","0.94","1.89","33.33","87.96","14.32","86.00","1.02","0","100.00","4.62","88.24","0.929","19.83","4.96","3.54","53.82","84.85","28.32","7.08","7.08","80.00"
"271","Brandt Clarke","L.A","D","56","125.11666666667","2.2342261904762","93.99","21.58","81.33","73.37","18.22","80.10","49.87","10.07","83.20","6.71","0.96","87.50","8.36","1.35","86.09","56.11","10.07","84.78","27.33","2.88","90.48","3.84","0","100.00","38.36","9.59","80.00","2.56","1.28","66.67","74.81","13.85","84.38","1.39","0","100.00","13.46","90.48","1.039","21.1","5.28","1.92","27.81","91.67","43.64","8.15","5.75","88.35"
"6","Kris Letang","PIT","D","50","70.933333333333","1.4186666666667","94.74","21.15","81.75","78.67","18.61","80.87","49.06","14.38","77.33","10.15","1.69","85.71","8.5","1.51","84.92","63.44","11.84","84.27","28.76","7.61","79.07","2.54","0.85","75.00","46.24","5.64","89.13","4.51","1.13","80.00","75.75","9.77","88.57","6.11","0","100.00","20.69","88.24","1.089","21.99","4.23","3.38","43.98","86.67","42.29","9.3","6.77","86.21"
"28","Evander Kane","VAN","L","56","98.683333333333","1.7622023809524","102.75","20.67","83.25","75.39","12.77","85.52","49.86","12.77","79.61","6.69","1.82","78.57","8.25","1.56","84.12","54.11","9.73","84.76","29.18","2.43","92.31","3.04","0","100.00","33.24","9.73","77.36","1.62","0.81","66.67","90.46","9.66","90.35","3.51","0.88","80.00","13.41","85.71","0.991","17.02","4.86","0.61","51.07","96.55","40.74","7.9","2.43","94.37"
"244","Alexis Lafrenière","NYR","L","57","114.88333333333","2.0154970760234","120.64","19.85","85.87","94.53","16.71","84.98","62.15","12.53","83.22","7.83","2.61","75.00","9.73","1.99","83.03","68.42","10.45","86.75","32.9","5.22","86.30","3.13","1.04","75.00","47.35","6.96","87.18","2.09","0.7","75.00","116.93","8.3","93.37","4.53","0.75","85.71","12.61","79.17","0.918","25.07","4.7","1.04","25.07","96.00","51.18","8.36","3.13","94.23"
"289","Nick Blankenburg","NSH","D","45","83.083333333333","1.8462962962963","77.99","19.5","80.00","58.5","18.78","75.70","36.83","13.72","72.86","5.78","0","100.00","5.82","1.02","85.08","40.44","10.11","80.00","16.61","4.33","79.31","2.89","0","100.00","31.78","7.7","80.49","0.96","0","100.00","83.45","7.3","91.95","3.13","0","100.00","15.69","100.00","1.157","26.72","6.5","0.72","31.78","97.37","49.83","10.83","2.89","94.52"
"303","Matthew Wood","NSH","R","46","77.816666666667","1.6916666666667","88.67","19.28","82.14","67.08","18.51","78.38","43.18","14.65","74.67","8.48","0","100.00","7.02","1.12","86.27","51.66","10.79","82.72","20.82","5.4","79.41","4.63","0","100.00","41.12","7.2","85.11","2.06","0","100.00","80.19","3.34","96.00","3.34","0","100.00","19.64","100.00","1.196","31.61","3.08","1.54","33.15","95.35","45.49","8.48","3.08","93.65"
"130","Rasmus Andersson","CGY, VGK","D","56","130.91666666667","2.3377976190476","93.49","19.25","82.93","69.66","17.87","79.58","44","12.83","77.42","7.33","0.92","88.89","7.9","1.6","83.14","52.25","10.08","83.82","24.75","5.04","83.08","5.5","0.46","92.31","36.66","6.72","84.51","0","0.61","0.00","107.24","11.92","90.00","2.65","0","100.00","16.67","92.86","1.095","28.42","5.04","0.46","23.83","98.41","59.58","11.46","5.04","92.20"
"1","Corey Perry","L.A","R","45","126.38333333333","2.8085185185185","111.57","18.99","85.45","82.61","16.14","83.65","54.12","11.87","82.01","9.02","1.42","86.36","9.83","1.22","88.93","64.57","9.02","87.74","30.86","3.8","89.04","5.22","0","100.00","44.94","6.96","86.59","3.16","1.27","71.43","100.8","8.23","92.45","2.06","0","100.00","16.67","88.00","1.047","31.81","3.32","0.95","15.19","97.10","52.22","7.12","4.27","92.44"
