"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"32","John Carlson","ANA, WSH","D","67","182.65","2.7261194029851","0","3.94","1.64","2.3","3.94","54.55","5.26","0.00","0.61","12.15","8.54","5.26","0.66","0","1.31","0","0","0","0","0","0","3.28","0.99","0.99","0.99","0.99","0","0","-"
"67","Mats Zuccarello","MIN","R","58","209.43333333333","3.6109195402299","1.72","3.72","1.43","2.29","5.44","59.38","9.17","18.75","1.45","19.77","15.18","11.75","3.44","0","1.15","0.57","0.29","0.29","0","0","0.57","3.44","0.57","0","0.57","0.29","0.57","0.57","14.32"
"348","Jakob Chychrun","WSH","D","76","236.28333333333","3.1089912280702","1.78","2.54","0.25","2.29","4.32","68.00","13.97","12.73","1.93","27.42","20.82","12.7","3.3","0","2.54","0.51","0.25","0.25","0","0","0","1.52","2.03","0","1.27","1.02","0","0","-"
"758","Hunter Brzustewicz","CGY","D","29","26.216666666667","0.90402298850575","0","2.29","0","2.29","2.29","100.00","9.15","0.00","0.4","13.73","9.15","2.29","0","0","0","0","0","0","0","0","0","2.29","2.29","0","0","0","0","0","-"
"205","Seth Jones","FLA","D","52","185.06666666667","3.5589743589744","1.62","3.57","1.3","2.27","5.19","66.67","10.05","16.13","1.03","29.83","17.83","10.7","0.32","0","3.89","0","0","0","0","0","0.32","3.24","0.65","0.65","0.32","0.65","0","0","-"
"181","Jake Guentzel","T.B","C","78","318.98333333333","4.0895299145299","1.5","4.14","1.88","2.26","5.64","66.67","10.35","14.55","2.27","15.61","14.3","12.79","9.03","0","1.32","4.33","1.13","0.75","0.19","0.19","0.56","2.63","0.19","0.38","1.69","0.19","11.1","13.17","8.60"
"106","Boone Jenner","CBJ","C","63","53.816666666667","0.8542328042328","1.11","2.23","0","2.23","3.34","100.00","8.92","12.50","2.35","22.3","17.84","17.84","10.03","0","4.46","2.23","1.11","1.11","0","0","0","2.23","0","0","1.11","0","12.26","13.38","53.32"
"234","Kevin Fiala","L.A","L","56","190.81666666667","3.4074404761905","1.26","4.09","1.89","2.2","5.35","70.83","11.95","10.53","1.89","25.78","18.87","13.21","3.14","0","1.89","1.26","0.63","0.63","0","0","0","3.46","2.2","2.52","3.14","0","0","0","-"
"295","Roope Hintz","DAL","C","53","164.5","3.1037735849057","2.19","4.74","2.55","2.19","6.93","51.35","13.86","15.79","3.26","21.16","19.7","18.6","15.32","0","3.65","0.73","0.36","0.36","0","0","0.36","1.09","0","0.36","1.09","0","33.56","22.25","21.93"
"213","Josh Morrissey","WPG","D","72","220.33333333333","3.0601851851852","0.54","3.81","1.63","2.18","4.36","51.61","7.62","7.14","0.61","16.07","11.71","3.27","0","0","2.18","0.54","0.27","0.27","0","0","0","2.72","0.27","0.27","0","1.36","0","0","-"
"522","Dylan Cozens","OTT","C","78","247.41666666667","3.1720085470085","3.15","3.64","1.46","2.18","6.79","63.64","13.1","24.07","1.86","22.07","17.46","17.46","6.79","0","2.43","0.49","0.24","0.24","0","0","0.49","1.7","0","1.7","0.49","0","14.55","10.43","14.13"
"338","Matthew Tkachuk","FLA","L","30","110.83333333333","3.6944444444444","2.17","4.87","2.71","2.17","7.04","76.47","15.7","13.79","3.85","31.94","24.9","22.74","13.53","0","2.71","2.17","1.08","1.08","0","0","1.08","5.41","0.54","0","0","0","0.54","0.54","27.07"
"580","Lucas Raymond","DET","L","76","250.23333333333","3.2925438596491","1.68","4.56","2.4","2.16","6.23","66.67","11.03","15.22","1.44","19.18","13.91","11.03","2.16","0","2.88","0.96","0.48","0.48","0","0","0","1.92","0.48","0.48","1.68","0.24","0","0","-"
"110","Nikita Kucherov","T.B","R","72","307.41666666667","4.2696759259259","1.56","5.66","3.51","2.15","7.22","78.72","10.54","14.81","1.15","23.42","16.2","7.81","0.98","0","0.98","1.95","0.78","0.78","0","0","0.78","6.64","0","0.39","0.78","0.2","0","0","-"
"157","Shayne Gostisbehere","CAR","D","52","168.23333333333","3.2352564102564","2.14","3.92","1.78","2.14","6.06","65.38","9.99","21.43","1.13","29.25","19.26","6.78","0","0","1.78","0","0","0","0","0","0","4.99","1.43","0","0","1.07","0","0","-"
"317","Artemi Panarin","L.A, NYR","L","73","253.21666666667","3.4687214611872","0.95","4.5","2.37","2.13","5.45","67.65","16.82","5.63","1.74","34.12","25.83","14.93","1.42","0","2.61","0","0","0","0","0","0","2.84","0.71","0","0.47","0.24","0","0","-"
"533","Jack Hughes","N.J","C","57","171.51666666667","3.0090643274854","1.4","6.3","4.2","2.1","7.7","75.86","14.69","9.52","1.44","23.79","17.14","12.94","4.9","0","1.75","0","0","0","0","0","0","5.95","0.7","0.35","1.05","0","0.35","2.45","4.37"
"20","Patrick Kane","DET","R","63","201.46666666667","3.1978835978836","0.6","4.47","2.38","2.08","5.06","58.62","10.72","5.56","1.61","20.25","15.78","13.1","2.68","0.3","2.68","0.6","0.3","0.3","0","0","0","2.08","0.3","0.3","0.89","0","0.6","1.19","9.93"
"168","Vinnie Hinostroza","FLA, MIN","C","61","28.85","0.47295081967213","0","4.16","2.08","2.08","4.16","50.00","10.4","0.00","1.74","16.64","14.56","12.48","8.32","0","2.08","0","0","0","0","0","0","0","0","0","4.16","0","0","0","-"
"658","Matthew Knies","TOR","L","74","203.35","2.747972972973","1.77","2.95","0.89","2.07","4.72","57.14","11.21","15.79","2.52","14.75","14.16","13.57","10.92","0","2.66","0","0","0","0","0","0.3","1.77","0.3","0.59","0.3","0","0","0","-"
"207","Sean Monahan","CBJ","C","74","145.65","1.9682432432432","0.41","3.71","1.65","2.06","4.12","58.82","5.36","7.69","1.69","9.06","8.24","7.42","6.18","0","2.06","1.65","0.82","0.82","0","0","0.41","2.47","0","1.24","0.82","0","34.19","25.54","23.58"
"471","Rasmus Dahlin","BUF","D","75","262.21666666667","3.4962222222222","1.37","3.66","1.6","2.06","5.03","59.46","11.67","11.76","0.95","26.09","16.7","10.75","1.14","0","2.52","0.46","0.23","0.23","0","0","0.23","2.29","1.37","0.69","0.46","0.92","0","0","-"
"676","Olen Zellweger","ANA","D","76","58.133333333333","0.76491228070175","1.03","2.06","0","2.06","3.1","60.00","6.19","16.67","0.4","13.42","7.22","3.1","0","0","1.03","0","0","0","0","0","0","2.06","2.06","0","1.03","0","0","0","-"
"590","Jack Quinn","BUF","R","79","176.26666666667","2.231223628692","1.36","2.38","0.34","2.04","3.74","64.71","11.91","11.43","1.42","21.44","17.7","12.25","2.04","0","2.72","0","0","0","0","0","0","2.38","0.68","0","1.36","0.34","0","0.68","0.00"
"43","Matt Duchene","DAL","C","53","118.46666666667","2.2352201257862","2.53","4.05","2.03","2.03","6.58","59.09","13.67","18.52","3.12","21.78","19.25","16.71","10.64","0","3.04","0","0","0","0","0","0","2.53","0","0","1.01","0","22.79","14.69","30.80"
