"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"111","Nikita Kucherov","T.B","R","51","1035.5666666667","20.30522875817","1.68","3.59","2.09","1.51","5.27","81.98","9.04","18.59","1.33","21.26","15.3","9.33","2.61","0.35","1.39","2.09","0.75","0.7","0","0.06","1.04","4.98","0.87","1.39","2.09","1.27","0","0.12","0.00"
"273","Jack Eichel","VGK","C","50","1064","21.28","1.18","2.65","1.18","1.47","3.83","68.00","10.55","11.23","0.99","18.1","14.21","7.56","2.65","0.23","1.86","0.56","0.28","0.28","0","0","0.85","5.08","1.3","1.69","1.58","1.69","21.99","24.25","2.68"
"158","Shayne Gostisbehere","CAR","D","40","795.1","19.8775","0.68","2.19","0.98","1.21","2.87","61.29","6.57","10.34","0.46","15.7","11.39","3.77","0.38","0.3","1.13","1.06","0.23","0.15","0","0.08","0.53","3.17","1.13","1.06","2.87","3.4","0","0","-"
"335","Adam Fox","NYR","D","30","707.16666666667","23.572222222222","0.34","2.04","0.85","1.19","2.38","57.14","4.75","7.14","0.4","13.49","7.47","4.16","0.76","0.42","1.36","1.02","0.51","0.51","0","0","0.42","3.14","1.7","1.27","4.16","3.82","0","0","-"
"406","Josh Norris","BUF","C","19","303.15","15.955263157895","1.19","2.18","0.99","1.19","3.36","62.96","5.34","22.22","1.02","12.07","8.91","7.72","3.96","0.2","0.79","1.19","0.59","0.59","0","0","0.59","1.78","0.59","1.19","4.16","2.18","23.95","24.74","9.74"
"202","Elias Lindholm","BOS","C","44","769.55","17.489772727273","0.86","2.03","0.86","1.17","2.88","61.67","5.46","15.71","0.87","12.4","9.36","8.19","4.37","0.62","1.17","2.65","1.01","0.94","0","0.08","0.31","2.49","0.86","2.34","1.4","3.27","30.95","25.89","4.25"
"272","Connor McDavid","EDM","C","58","1340.4166666667","23.110632183908","1.52","2.78","1.61","1.16","4.3","78.69","9.89","15.38","1.45","16.88","14.19","11.1","5.01","0.13","1.66","0.98","0.49","0.49","0","0","1.52","3.89","0.98","1.12","3.36","1.03","13.97","15.71","2.11"
"502","Kaapo Kakko","SEA","R","40","570.73333333333","14.268333333333","0.63","1.58","0.42","1.16","2.21","63.64","5.89","10.71","0.78","10.72","8.52","5.47","3.36","0","1.05","0.84","0.42","0.42","0","0","0.53","2.73","1.16","2.31","2.94","0.74","1.37","1.37","5.26"
"738","Michael Misa","S.J","C","18","212.8","11.822222222222","0.56","1.69","0.56","1.13","2.26","61.54","6.48","8.70","1.08","12.41","8.46","8.18","5.36","0","2.54","1.13","0.56","0.56","0","0","0.85","3.1","0","1.97","5.92","2.82","15.79","19.45","12.63"
"437","Quinn Hughes","MIN, VAN","D","52","1448.7666666667","27.860897435897","0.21","2.15","1.04","1.12","2.36","55.34","5.92","3.50","0.37","14.45","8.9","5.3","0.37","0.04","1.24","0.99","0.5","0.5","0","0","0.87","3.19","0.91","0.21","2.15","2.44","0","0","-"
"163","Teddy Blueger","VAN","C","10","162.66666666667","16.266666666667","1.84","1.11","0","1.11","2.95","88.89","7.01","26.32","0.65","11.43","8.48","5.9","2.95","0.37","1.11","0.74","0.37","0.37","0","0","0","3.69","0.37","8.85","3.69","1.48","24.71","27.3","17.53"
"649","Lane Hutson","MTL","D","57","1351.25","23.706140350877","0.44","2.13","1.07","1.07","2.58","55.24","4.04","10.99","0.3","9.37","5.37","3.73","0.84","0.09","0.67","1.07","0.53","0.53","0","0","0.53","2.66","1.15","1.02","4.88","4","0","0","-"
"278","Mikko Rantanen","DAL","R","54","1091.0333333333","20.204320987654","1.1","2.69","1.65","1.04","3.79","75.82","6.93","15.87","1.04","14.02","10.78","9.4","3.85","0.55","1.48","4.78","1.7","1.43","0.16","0.11","1.65","3.63","0.99","2.09","3.41","1.48","1.76","1.76","2.75"
"67","Mats Zuccarello","MIN","R","38","716.11666666667","18.845175438596","0.75","2.01","1.01","1.01","2.76","67.35","6.2","12.16","0.8","13.49","10.14","7.46","2.93","0.25","1.17","0.67","0.34","0.34","0","0","0.84","3.35","0.67","0.92","2.01","1.51","1.51","1.68","3.97"
"398","Jason Robertson","DAL","L","57","1132.85","19.874561403509","1.69","1.8","0.79","1.01","3.5","64.71","10.91","15.53","1.45","19.97","15.52","12.55","5.08","0.16","2.7","1.06","0.53","0.53","0","0","0.9","4.08","0.9","2.01","3.5","1.17","0","0.11","0.00"
"401","Miro Heiskanen","DAL","D","55","1428.8833333333","25.979696969697","0.29","1.64","0.63","1.01","1.93","46.46","4.66","6.31","0.3","10.5","6.76","3.11","0.38","0.17","0.92","0.76","0.38","0.38","0","0","0.42","2.81","1.34","0.71","4.66","4.28","0","0","-"
