"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"271","Robby Fabbri","ANA","C","44","595.21666666667","13.527651515152","56.55","77.62","42.15","41.03","57.05","41.83","27.42","36.99","42.57","1.81","2.12","46.15","2.42","3.76","39.16","24.8","35.38","41.21","9.27","16.23","36.36","0.91","1.41","39.13","20.7","25.54","44.77","0.94","0.54","63.64","46.88","68.14","40.76","0.29","0.44","40.00","6.62","94.28","1.009","8.06","11.39","8.37","43.35","49.08","16.53","15.73","21.37","43.62"
"160","Brendan Gaunce","MIN","C","12","110.5","9.2083333333333","43.98","77.1","36.32","32.04","54.3","37.11","19.55","34.21","36.36","0","2.71","0.00","1.71","2.93","36.81","17.38","32.04","35.16","8.69","13.57","39.02","0","1.09","0.00","11.58","24.62","32.00","0","1.45","0.00","40","75.29","34.69","0","0.78","0.00","0.00","92.06","0.921","5.43","14.12","6.52","45.07","45.45","10.86","18.46","20.63","34.48"
"696","Joshua Roy","MTL","R","12","129.98333333333","10.831944444444","50.78","76.16","40.00","34.62","58.16","37.31","19.85","35.54","35.83","1.38","4.15","25.00","2.38","3.23","42.43","24.46","30.47","44.54","9.23","13.39","40.82","0.92","1.85","33.33","20.31","22.77","47.14","0.62","0.62","50.00","40.67","63.34","39.10","0","2.67","0.00","6.98","88.31","0.953","13.85","10.62","2.77","53.55","83.33","18.46","15.69","10.62","63.49"
"637","Sam Colangelo","ANA","R","32","355.66666666667","11.114583333333","52.8","75.24","41.24","39.31","56.51","41.02","24.46","36.61","40.06","3.21","3.71","46.34","2.53","3.08","45.13","25.3","33.4","43.10","10.8","12.82","45.71","1.52","2.19","40.91","19.34","27.44","41.35","1.12","1.35","45.45","41.67","67.25","38.26","1.22","0.73","62.50","13.10","89.86","1.030","9.95","11.47","11.81","44.37","45.74","17.71","16.03","20.24","46.67"
"189","Brock McGinn","ANA","L","26","257.75","9.9134615384615","52.61","74.72","41.32","36.08","47.72","43.06","25.37","29.33","46.38","2.56","2.56","50.00","2.25","2.95","43.31","24.21","33.75","41.77","11.41","12.1","48.51","1.86","1.4","57.14","17.07","28.87","37.16","0.62","1.24","33.33","42.7","65.23","39.56","0.34","0.34","50.00","10.09","91.27","1.014","10.01","14.67","13.5","44.46","42.57","13.97","20.48","22.81","37.97"
"690","Logan Mailloux","MTL","D","7","106.03333333333","15.147619047619","62.81","73.56","46.06","46.4","57.15","44.81","29.42","36.78","44.44","3.96","6.22","38.89","3.61","4.8","42.92","28.86","36.78","43.97","13.58","20.94","39.34","1.13","3.96","22.22","20.37","21.13","49.09","3.77","0.75","83.33","53.95","47.41","53.23","0","2.45","0.00","13.46","83.08","0.965","6.79","12.45","4.53","46.4","60.00","19.81","22.63","9.05","68.63"
"87","Calle Jarnkrok","TOR","C","19","224.85","11.834210526316","39.23","73.38","34.83","28.55","51.77","35.55","19.21","29.89","39.13","1.87","1.87","50.00","1.76","2.74","39.17","17.61","27.48","39.05","6.4","11.21","36.36","0.8","1.07","42.86","14.94","21.7","40.78","1.07","0.36","75.00","30.06","67.07","30.95","0.39","0.77","33.33","9.72","93.75","1.035","6.14","14.14","9.87","52.03","38.33","9.07","20.01","19.75","31.48"
"415","Lucas Carlsson","S.J","D","13","212.6","16.353846153846","57.01","73.38","43.72","39.51","52.49","42.94","26.53","32.46","44.98","2.82","3.1","47.62","2.19","3.16","40.88","24.84","32.46","43.35","9.03","12.14","42.67","1.98","1.69","53.85","21.07","27.09","43.75","0.75","1.51","33.33","50.96","65.63","43.71","0.41","0.41","50.00","10.64","90.43","1.011","5.08","11.85","8.75","52.49","36.73","19.47","16.93","18.91","50.74"
"377","Luke Kunin","CBJ, S.J","C","75","901.38333333333","12.018444444444","50.59","73.02","40.93","33.68","50.59","39.97","22.17","34.75","38.95","1.73","3.46","33.33","2.12","3.08","40.78","21.37","33.55","38.91","9.12","12.58","42.02","0.67","1.2","35.71","16.33","27.96","36.87","0.98","2.04","32.35","44.42","60.96","42.15","0.48","0.96","33.33","7.81","90.04","0.978","7.52","13.91","8.05","44.33","48.29","15.24","19.5","19.84","43.45"
"483","Ben Jones","MIN","C","26","212.46666666667","8.1717948717949","47.16","72.86","39.29","33.89","51.4","39.74","24.85","33.04","42.93","0.85","1.69","33.33","1.84","2.55","41.92","18.92","29.93","38.73","8.19","11.01","42.65","0","1.13","0.00","14.31","25.23","36.19","0.75","0.38","66.67","41.2","69.75","37.13","0.41","0.41","50.00","3.41","94.87","0.983","4.8","14.97","6.5","54.22","42.50","9.6","18.64","18.64","34.00"
