"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"359","Connor McDavid","EDM","C","76","1623.3","21.359210526316","1.18","3.7","2.29","1.4","4.88","79.04","9.72","12.17","1.23","16.71","13.08","10.42","4.25","0.44","1.7","1.11","0.55","0.55","0","0","1.52","3.1","2.51","4.36","4.69","1.44","16.34","15.63","1.89"
"604","Jonatan Berggren","DET","R","12","130.33333333333","10.861111111111","0.92","1.84","0.46","1.38","2.76","66.67","6.45","14.29","0.49","10.59","9.21","4.6","1.84","0","0.92","0.92","0.46","0.46","0","0","2.3","0","1.38","0.92","4.6","3.22","0","0","-"
"162","Nikita Kucherov","T.B","R","81","1755.1666666667","21.668724279835","1.5","3.42","2.12","1.3","4.92","82.76","10.46","14.38","1.11","21.71","15.66","9.13","2.97","0.21","1.5","0.75","0.38","0.38","0","0","0.75","3.28","2.12","1.54","2.73","1.2","0.07","0.07","1.71"
"526","Cale Makar","COL","D","77","1907.2666666667","24.769696969697","0.66","2.17","0.88","1.29","2.83","59.60","7.27","9.09","0.49","16.96","11.07","5.6","0.72","0.41","1.2","0.5","0.25","0.25","0","0","0.79","1.32","2.2","1.16","0.94","4.66","0","0","-"
"568","Evan Bouchard","EDM","D","81","1862.7666666667","22.997119341564","0.58","2.06","0.81","1.26","2.64","48.52","7.09","8.18","0.4","15.72","9.76","4.32","0.45","0.19","1.19","1.03","0.52","0.52","0","0","0.35","2.64","1.9","2.29","3.99","3.38","0","0","-"
"269","Nathan MacKinnon","COL","C","82","1870.7666666667","22.814227642276","1.64","2.85","1.6","1.25","4.49","74.87","12.99","12.59","1.12","22.19","16.87","10.84","3.3","0.93","1.44","1.35","0.55","0.51","0","0.03","1.03","2.63","1.35","1.76","2.73","2.21","19.47","22.68","1.48"
"701","Tim Stützle","OTT","C","75","1583.8833333333","21.118444444444","0.68","1.97","0.72","1.25","2.65","70.71","7.27","9.38","0.88","13.9","10.19","8.22","3.3","0.42","1.48","1.06","0.53","0.53","0","0","1.52","2.58","1.82","3.79","5.72","1.55","9.05","10.34","1.77"
"405","Artemi Panarin","NYR","L","82","1649.75","20.118902439024","1.78","2.58","1.35","1.24","4.36","80.00","11.02","16.17","1.04","23.68","15.68","10.37","2.4","0.44","1.82","0.87","0.44","0.44","0","0","0.8","2.62","1.24","0.65","1.49","0.55","0.04","0.33","0.36"
"676","Marc Del Gaizo","NSH","D","9","148.15","16.461111111111","0","1.21","0","1.21","1.21","37.50","3.24","0.00","0.14","10.53","5.26","3.24","0.4","0.4","0","0.81","0.4","0.4","0","0","0.81","1.62","1.62","8.1","4.86","4.05","0","0","-"
"565","Quinn Hughes","VAN","D","82","2024.1666666667","24.684959349593","0.5","2.22","1.04","1.19","2.73","56.79","5.9","8.54","0.34","16.01","8.83","4.89","0.27","0.18","1.6","1.13","0.56","0.56","0","0","0.5","1.54","1.27","0.86","3.85","1.63","0","0","-"
"516","Jason Robertson","DAL","L","82","1502.6333333333","18.324796747967","1.16","2.04","0.92","1.12","3.19","68.38","9.22","12.55","0.95","19.05","13.34","9.06","3.27","0.6","1.68","0.88","0.44","0.44","0","0","0.64","1.8","2.4","3.07","4.63","1.24","0","0","-"
"429","Adam Fox","NYR","D","72","1687.9333333333","23.443518518519","0.6","1.99","0.89","1.1","2.59","59.84","4.87","12.41","0.39","10.63","6.93","3.66","0.78","0.28","0.68","1.28","0.64","0.64","0","0","0.78","1.17","1.67","1.56","3.13","4.37","0","0","-"
