"Player","Season","Team","Position","GP","TOI","TM #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60","RAPM_CF/60","RAPM_CA/60","RAPM_xGF/60","RAPM_xGA/60","Off_GAR/60","Def_GAR/60","Off_xGAR/60","Def_xGAR/60"
"A.J. Greer","23-24","CGY","L",59,494.87,33,13.33,26.88,-0.5,-0.064,-0.02,0.06,0.06,0.55,-0.034,0.031,0.07,-0.08,0.11,-0.05
"Aaron Ekblad","23-24","FLA","D",51,819.1,24,13.79,28.7,5.18,0.159,0.41,0.38,3.28,-1.89,0.084,-0.075,0.31,0.1,0.27,0.12
"Adam Beckman","23-24","MIN","L",11,103.13,23,13.01,26.47,-1.05,-0.019,0.12,0.11,-1.26,-0.21,-0.096,-0.076,-0.04,0.15,-0.04,0.14
"Adam Boqvist","23-24","CBJ","D",35,552.55,28,14.34,28.54,0.35,-0.019,0.25,0.2,1.3,0.95,0.039,0.058,0.33,-0.08,0.27,-0.07
"Adam Edstrom","23-24","NYR","C",11,91.48,20,13.42,26.89,-1.24,-0.064,0.11,0.1,-0.75,0.49,-0.064,0,0.1,0.01,0.05,0.05
"Adam Erne","23-24","EDM","L",24,180.63,26,12.82,25.63,1.21,0.082,0.14,0.2,-0.03,-1.23,0.028,-0.054,0.07,0.08,0.1,0.1
"Adam Fantilli","23-24","CBJ","C",49,641.83,26,14.54,28.94,-0.33,-0.033,0.13,0.14,0.53,0.86,0.011,0.044,0.18,-0.06,0.17,-0.04
"Adam Fox","23-24","NYR","D",72,1273.5,31,13.96,27.95,-0.1,-0.059,0.19,0.12,-0.23,-0.13,-0.022,0.037,0.24,-0.05,0.15,-0.03
"Adam Ginning","23-24","PHI","D",9,119.2,22,12.92,26.18,1.38,0.063,0.19,0.21,1.08,-0.3,0.031,-0.032,0.15,0.04,0.11,0.1
"Adam Henrique","23-24","ANA","C",60,734.38,26,14.38,29.78,-0.54,-0.024,0.08,0.08,-0.75,-0.21,-0.037,-0.013,0.04,0.04,0.05,0.03
"Adam Henrique","23-24","EDM","C",22,289.12,23,14.88,29.75,2.22,0.139,0.22,0.28,1.33,-0.89,0.131,-0.008,0.2,0.02,0.25,0.03
"Adam Larsson","23-24","SEA","D",81,1574.27,30,14.09,27.96,1.71,0.045,0.21,0.16,1.16,-0.55,-0.002,-0.046,0.12,0.09,0.1,0.06
"Adam Lowry","23-24","WPG","C",81,1063,25,15.07,30.35,1.03,0.072,0.16,0.17,0.88,-0.16,0.048,-0.024,0.13,0.03,0.14,0.03
"Adam Pelech","23-24","NYI","D",58,1001.65,24,14.39,28.22,-0.15,0.042,0.24,0.21,0.59,0.74,0.041,-0.001,0.22,0.02,0.2,0.01
"Adam Ruzicka","23-24","CGY","C",39,330.17,25,13.65,27.54,-0.04,-0.051,0.03,0.07,0.49,0.53,-0.023,0.028,0.08,-0.06,0.1,-0.03
"Adrian Kempe","23-24","L.A","R",77,1037.38,25,15.29,30.99,2.54,0.111,0.31,0.28,0.98,-1.56,0.02,-0.09,0.17,0.14,0.15,0.13
"Akil Thomas","23-24","L.A","C",7,59.1,19,14.23,28.85,1.66,0.063,0.19,0.1,0.7,-0.97,0.002,-0.061,0.08,0.11,0.01,0.09
"Alec Martinez","23-24","VGK","D",55,926.42,33,13.67,27.35,0.35,0.024,0.27,0.26,1.01,0.66,0.031,0.006,0.27,0.01,0.25,0.01
"Aleksander Barkov","23-24","FLA","C",73,977.6,26,14.82,30.84,4.04,0.163,0.41,0.41,2.4,-1.64,0.077,-0.087,0.29,0.12,0.28,0.13
"Alex Alexeyev","23-24","WSH","D",39,510.07,30,13.49,26.66,-0.6,0.014,0.19,0.16,-0.38,0.22,0,-0.014,0.14,0.05,0.14,0.02
"Alex Barabanov","23-24","S.J","L",46,625.93,31,14.89,29.6,-2.42,-0.122,-0.05,-0.09,-0.64,1.78,-0.046,0.076,0.02,-0.08,0.02,-0.11
"Alex Barre-Boulet","23-24","T.B","C",36,365.7,26,14.86,29.86,0.73,0.007,0.16,0.22,0.06,-0.67,-0.014,-0.021,0.15,0.01,0.16,0.06
"Alex Carrier","23-24","NSH","D",73,1166.13,29,13.3,27.25,1.57,0.071,0.19,0.23,1.07,-0.49,0.054,-0.017,0.18,0.01,0.19,0.03
"Alex Debrincat","23-24","DET","R",82,1188.55,22,15.02,30.28,-0.41,-0.022,0.23,0.31,0.01,0.41,-0.022,0.001,0.24,0,0.3,0.01
"Alex Goligoski","23-24","MIN","D",36,499.7,31,13.4,27.42,1.26,0.052,0.34,0.28,0.71,-0.55,-0.024,-0.077,0.18,0.15,0.15,0.12
"Alex Holtz","23-24","N.J","R",82,840.85,31,14.18,28.76,0.8,0.042,0.14,0.19,0.09,-0.71,0.025,-0.017,0.13,0.01,0.14,0.05
"Alex Iafallo","23-24","WPG","L",82,988.15,26,15.07,30.35,0.7,0.012,0.26,0.22,0.39,-0.31,0.025,0.013,0.24,0.02,0.22,0
"Alex Kerfoot","23-24","ARI","C",82,1038.17,34,14.28,28.93,-0.43,-0.01,0.12,0.13,-0.23,0.21,0.013,0.022,0.15,-0.03,0.16,-0.02
"Alex Killorn","23-24","ANA","C/L",63,923.7,32,14.98,30.93,-0.95,-0.019,0.14,0.1,-0.86,0.09,-0.023,-0.004,0.1,0.04,0.09,0.01
"Alex Laferriere","23-24","L.A","R",81,1005.28,25,14.26,28.92,2.08,0.076,0.19,0.15,1.09,-0.99,0.04,-0.036,0.13,0.06,0.09,0.06
"Alex Newhook","23-24","MTL","C",55,740.97,28,14.55,29.27,0.09,0.003,0.15,0.28,0.33,0.24,0.025,0.022,0.15,0,0.25,0.03
"Alex Nylander","23-24","CBJ","L",23,330.23,29,15.25,30.3,0,-0.027,0.09,0.13,1.01,1.01,0.048,0.074,0.2,-0.1,0.2,-0.08
"Alex Nylander","23-24","PIT","L",5,57.73,19,14.4,29.16,1.1,0.052,0.15,0.27,0.91,-0.2,0.043,-0.009,0.11,0.05,0.25,0.03
"Alex Ovechkin","23-24","WSH","L",79,1122.45,31,15.27,30.26,-0.02,0.031,0.04,0.1,-0.03,-0.01,0.029,-0.002,0.01,0.02,0.07,0.02
"Alex Pietrangelo","23-24","VGK","D",64,1130.52,32,13.68,27.37,-1.01,0.017,0.32,0.26,0.33,1.34,-0.001,-0.017,0.27,0.05,0.24,0.02
"Alex Romanov","23-24","NYI","D",81,1498.9,25,14.36,28.18,-0.02,0.043,0.24,0.21,0.63,0.65,0.036,-0.007,0.22,0.02,0.2,0.01
"Alex Texier","23-24","CBJ","C",78,991.15,35,14.71,29.26,-0.42,-0.056,0.11,0.12,0.32,0.74,-0.008,0.048,0.17,-0.06,0.16,-0.04
"Alex Tuch","23-24","BUF","R",75,1089.58,29,15.35,30.79,1.19,-0.027,0.22,0.19,0.63,-0.56,-0.016,0.011,0.21,0,0.18,0.01
"Alex Turcotte","23-24","L.A","C",20,181.8,22,13.94,28.24,1.88,0.082,0.17,0.16,0.92,-0.96,0.022,-0.06,0.09,0.08,0.07,0.08
"Alex Vlasic","23-24","CHI","D",76,1360.93,34,13.99,28.07,-1.46,-0.104,0.03,-0.01,-0.95,0.51,-0.059,0.045,0.07,-0.05,0.04,-0.06
"Alex Wennberg","23-24","NYR","C",19,249.37,20,14.04,28.08,1.02,-0.012,0.12,0.28,0.41,-0.61,-0.043,-0.031,0.1,0.02,0.22,0.06
"Alex Wennberg","23-24","SEA","C",60,830.55,27,14.77,29.32,0.59,0.001,0.12,0.04,0.26,-0.33,-0.028,-0.029,0.04,0.07,-0.01,0.05
"Alexei Toropchenko","23-24","STL","R",82,922.28,28,14.22,28.5,-1.39,-0.092,0,-0.03,-1.1,0.29,-0.057,0.035,0.04,-0.04,0.01,-0.04
"Alexis Lafrenière","23-24","NYR","L",82,1270.88,31,15.87,31.77,2.23,0.071,0.29,0.38,1.79,-0.44,0.067,-0.004,0.28,0.01,0.35,0.03
"Aliaksei Protas","23-24","WSH","C",78,973.58,31,14.8,29.3,-0.46,0.012,0.16,0.21,-0.49,-0.03,-0.002,-0.014,0.1,0.06,0.16,0.05
"Anders Lee","23-24","NYI","L",81,1089.72,24,15.71,30.83,0.31,0.043,0.21,0.2,1,0.69,0.061,0.019,0.21,0,0.21,-0.02
"Andre Burakovsky","23-24","SEA","L",49,590.42,27,14.9,29.58,0.86,0.023,0.17,0.12,0.09,-0.77,-0.03,-0.053,0.06,0.11,0.02,0.1
"Andreas Athanasiou","23-24","CHI","C",28,333.25,28,14.47,29.11,-3.38,-0.178,-0.15,-0.17,-1.78,1.61,-0.083,0.095,-0.04,-0.11,-0.06,-0.11
"Andreas Englund","23-24","L.A","D",82,1000.75,25,12.88,26.09,2.93,0.089,0.28,0.2,1.69,-1.25,0.052,-0.037,0.21,0.06,0.13,0.07
"Andrei Kuzmenko","23-24","CGY","L",29,363.6,26,14.91,29.9,0.57,-0.006,0.13,0.21,1.3,0.72,0.031,0.038,0.16,-0.03,0.25,-0.04
"Andrei Kuzmenko","23-24","VAN","L",43,460.12,25,14.55,29.72,1.99,0.079,0.36,0.3,0.26,-1.73,0.02,-0.059,0.25,0.11,0.17,0.13
"Andrei Svechnikov","23-24","CAR","R",59,826.35,23,14.74,29.68,4.5,0.125,0.25,0.33,2.25,-2.25,0.069,-0.056,0.18,0.06,0.22,0.11
"Andrew Cogliano","23-24","COL","C",75,618.37,32,13,26.56,0.84,-0.006,0.18,0.15,0.06,-0.78,-0.031,-0.025,0.15,0.03,0.1,0.05
"Andrew Copp","23-24","DET","C",79,1018.03,23,14.19,28.68,-1.89,-0.051,0.14,0.14,-0.98,0.92,-0.038,0.013,0.16,-0.02,0.15,-0.01
"Andrew Mangiapane","23-24","CGY","L",75,1033.37,34,15.39,30.98,1.86,0.032,0.14,0.24,1.22,-0.64,0.031,-0.001,0.13,0.01,0.21,0.03
"Andrew Peeke","23-24","BOS","D",15,235.73,22,13.21,26.49,0.18,0.042,0.27,0.29,-0.1,-0.28,0.022,-0.02,0.22,0.05,0.25,0.05
"Andrew Peeke","23-24","CBJ","D",23,319.93,26,13.74,27.35,0.09,-0.045,0.15,0.17,0.6,0.51,0.007,0.051,0.21,-0.06,0.22,-0.05
"Angus Crookshank","23-24","OTT","L",13,127.72,22,14.43,29.31,0.25,0.009,0.13,0.15,0.14,-0.1,-0.008,-0.016,0.1,0.02,0.13,0.03
"Anthony Beauvillier","23-24","CHI","L",23,299.68,27,14.71,29.51,-3.47,-0.169,-0.2,-0.18,-1.49,1.98,-0.073,0.096,-0.04,-0.16,-0.02,-0.17
"Anthony Beauvillier","23-24","NSH","L",15,168,22,13.98,28.55,1.66,0.104,0.22,0.25,1.24,-0.42,0.089,-0.015,0.19,0.03,0.21,0.04
"Anthony Beauvillier","23-24","VAN","L",22,270,23,14.13,28.88,1.61,0.077,0.33,0.36,0.2,-1.41,0.023,-0.055,0.23,0.1,0.25,0.11
"Anthony Cirelli","23-24","T.B","C",79,1126.95,31,14.88,29.89,1.08,0.02,0.19,0.21,0.5,-0.58,0.002,-0.018,0.19,0.01,0.15,0.05
"Anthony Duclair","23-24","S.J","L",56,770.77,31,15.42,30.63,-2.33,-0.12,-0.01,-0.06,-0.55,1.78,-0.028,0.092,0.09,-0.1,0.05,-0.11
"Anthony Duclair","23-24","T.B","L",17,224.85,21,16.07,32.29,1.22,0.016,0.29,0.32,1.02,-0.2,0.049,0.033,0.34,-0.05,0.33,-0.01
"Anthony Mantha","23-24","VGK","R",18,230.48,24,14.88,29.73,0.74,0.055,0.37,0.33,0.67,-0.07,0.021,-0.034,0.28,0.09,0.27,0.06
"Anthony Mantha","23-24","WSH","R",56,688.97,29,14.88,29.47,-0.8,-0.004,0.06,0.01,-0.4,0.4,0.007,0.011,0.05,0.01,0.03,-0.02
"Anthony Richard","23-24","BOS","C",9,95.12,21,14.04,28.18,-0.27,0.072,0.3,0.31,-0.32,-0.04,0.03,-0.041,0.18,0.12,0.21,0.1
"Anton Lundell","23-24","FLA","C",78,990.45,27,14.16,29.47,3.65,0.106,0.18,0.23,1.97,-1.68,0.036,-0.07,0.09,0.09,0.12,0.11
"Anze Kopitar","23-24","L.A","C",81,1133.22,25,15.1,30.63,2.97,0.096,0.29,0.28,1.26,-1.71,0.027,-0.069,0.18,0.11,0.16,0.12
"Arber Xhekaj","23-24","MTL","D",44,637.63,27,13.4,26.99,-0.95,-0.017,0.12,0.15,0.03,0.98,0.029,0.046,0.19,-0.06,0.2,-0.06
"Arshdeep Bains","23-24","VAN","L",8,87.98,20,14.64,29.88,1.91,0.079,0.31,0.27,0.38,-1.53,0.026,-0.053,0.21,0.09,0.17,0.1
"Artem Zub","23-24","OTT","D",69,1224.13,29,14.1,28.62,1.78,0.054,0.23,0.27,1.28,-0.5,0.039,-0.014,0.21,0.03,0.23,0.04
"Artemi Panarin","23-24","NYR","L",82,1299.62,31,15.8,31.64,1.17,0.002,0.26,0.14,1.28,0.11,0.038,0.036,0.28,-0.02,0.17,-0.03
"Arthur Kaliyev","23-24","L.A","R",51,522.97,24,14.12,28.61,1.51,0.059,0.17,0.11,0.84,-0.66,0.022,-0.037,0.11,0.07,0.06,0.06
"Artturi Lehkonen","23-24","COL","L",45,604.25,29,15.75,32.12,2.32,0.067,0.37,0.41,1.85,-0.47,0.053,-0.015,0.33,0.04,0.38,0.02
"Austin Czarnik","23-24","DET","C",34,276.13,23,13.6,27.46,-1.8,-0.028,0.18,0.2,-0.66,1.14,-0.015,0.013,0.2,-0.02,0.23,-0.03
"Austin Watson","23-24","T.B","L",33,235.97,30,13.17,26.47,-1.03,-0.07,0,0.05,-1.78,-0.75,-0.11,-0.04,-0.05,0.05,-0.04,0.08
