"Player","Season","Team","Position","GP","TOI","TM #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60","RAPM_CF/60","RAPM_CA/60","RAPM_xGF/60","RAPM_xGA/60","Off_GAR/60","Def_GAR/60","Off_xGAR/60","Def_xGAR/60"
"Auston Matthews","23-24","TOR","C",81,1300.67,29,15.4,30.48,0.38,0.019,0.28,0.2,0.35,-0.03,0.039,0.02,0.29,-0.01,0.21,-0.01
"Axel Jonsson-Fjallby","23-24","WPG","L",26,204.68,22,13.01,26.21,0.92,0.006,0.21,0.15,-0.09,-1.01,-0.048,-0.055,0.08,0.14,0.03,0.12
"Barclay Goodrow","23-24","NYR","C",80,828.48,30,13.69,27.42,0.19,-0.018,0.05,0.14,-0.17,-0.37,-0.049,-0.031,0.05,0,0.06,0.08
"Barrett Hayton","23-24","ARI","C",33,420.25,25,15.34,31.08,0.52,-0.015,0.11,0.13,-0.35,-0.87,0.003,0.018,0.11,0,0.11,0.01
"Beck Malenstyn","23-24","WSH","L",81,920.6,31,14.65,28.93,0.32,0.024,0.25,0.22,-0.82,-1.14,-0.045,-0.069,0.11,0.13,0.08,0.14
"Ben Chiarot","23-24","DET","D",77,1339.48,23,13.65,27.57,-0.7,-0.017,0.22,0.2,-0.22,0.48,-0.008,0.009,0.25,-0.03,0.23,-0.02
"Ben Hutton","23-24","VGK","D",41,601.43,25,13.49,26.99,0.44,0.04,0.28,0.31,0.73,0.28,0.016,-0.024,0.22,0.06,0.26,0.05
"Ben Meyers","23-24","ANA","C",14,135.02,24,13.6,27.94,-1.39,-0.05,0.08,0.03,-1.58,-0.19,-0.081,-0.031,-0.02,0.1,-0.03,0.07
"Ben Meyers","23-24","COL","C",9,83.67,21,13.22,27.01,1.34,-0.005,0.2,0.22,0.39,-0.95,-0.03,-0.025,0.18,0.02,0.17,0.05
"Benoit-Olivier Groulx","23-24","ANA","C",45,473.72,32,13.37,27.62,-1.24,-0.047,0.03,0.02,-1.32,-0.08,-0.066,-0.019,-0.02,0.06,-0.02,0.04
"Blake Coleman","23-24","CGY","C",78,1112.97,34,15.49,31.14,2.4,0.05,0.17,0.22,1.56,-0.85,0.047,-0.004,0.15,0.02,0.17,0.05
"Blake Lizotte","23-24","L.A","C",62,616.02,24,13.58,27.54,2.05,0.083,0.16,0.14,1,-1.05,0.021,-0.062,0.06,0.1,0.03,0.11
"Blake Wheeler","23-24","NYR","R",54,622.88,26,14.73,29.48,0.49,-0.005,0.17,0.15,0.36,-0.13,-0.016,-0.011,0.17,0,0.12,0.04
"Bo Horvat","23-24","NYI","C",81,1244.25,25,15.83,31.07,0.57,0.055,0.25,0.19,1.27,0.7,0.065,0.01,0.22,0.03,0.19,0
"Bobby Brink","23-24","PHI","R",57,645.73,28,14.29,28.96,0.69,0.069,0.18,0.23,0.83,0.14,0.038,-0.031,0.14,0.04,0.17,0.06
"Bobby McMann","23-24","TOR","C",56,582.43,27,14.45,28.67,0.4,0.017,0.12,0.13,0.29,-0.11,0.025,0.008,0.14,-0.02,0.13,0
"Boone Jenner","23-24","CBJ","C",58,849.9,32,15.46,30.74,0.08,-0.006,0.17,0.16,1.01,0.94,0.059,0.065,0.26,-0.09,0.22,-0.07
"Boris Katchouk","23-24","CHI","L",38,404.27,30,13.82,27.83,-1.99,-0.118,-0.1,-0.12,-1.04,0.95,-0.062,0.057,-0.03,-0.07,-0.06,-0.06
"Boris Katchouk","23-24","OTT","L",21,202.45,23,12.94,26.23,0,-0.001,0.12,0.05,-0.15,-0.15,-0.064,-0.063,0.01,0.11,-0.01,0.07
"Bowen Byram","23-24","BUF","D",18,328.17,20,14.11,28.28,1.12,-0.018,0.16,0.17,0.88,-0.24,0.002,0.019,0.19,-0.02,0.2,-0.02
"Bowen Byram","23-24","COL","D",55,983.57,27,13.42,27.41,2.27,0.051,0.27,0.25,1.84,-0.43,0.04,-0.011,0.26,0.02,0.23,0.02
"Brad Marchand","23-24","BOS","L",82,1095.57,31,15.2,30.57,-0.37,0.021,0.24,0.22,-0.27,0.1,0.035,0.013,0.24,0,0.23,-0.01
"Braden Schneider","23-24","NYR","D",82,1200.82,31,13.67,27.34,1.48,0.018,0.18,0.23,0.97,-0.51,0.016,-0.002,0.2,-0.02,0.21,0.02
"Brady Skjei","23-24","CAR","D",80,1407.68,24,13.71,27.6,4.38,0.114,0.22,0.26,2.66,-1.72,0.069,-0.044,0.18,0.04,0.19,0.07
"Brady Tkachuk","23-24","OTT","L",81,1221.52,30,15.52,31.48,0.67,0.026,0.22,0.23,0.56,-0.11,0.004,-0.022,0.18,0.04,0.19,0.04
"Brandon Biro","23-24","BUF","L",5,50.63,23,13.97,28.02,-0.6,-0.068,0.01,-0.02,-0.86,-0.26,-0.059,0.009,0.01,-0.01,0,-0.02
"Brandon Carlo","23-24","BOS","D",76,1249.42,30,13.7,27.54,0.98,0.044,0.25,0.25,0.26,-0.72,0.024,-0.02,0.21,0.04,0.2,0.05
"Brandon Duhaime","23-24","COL","R",18,183.35,22,14.24,28.96,3.71,0.104,0.37,0.37,2.11,-1.6,0.049,-0.055,0.29,0.08,0.26,0.12
"Brandon Duhaime","23-24","MIN","R",62,522.03,29,13.21,27.07,-0.7,-0.017,0.16,0.18,-0.65,0.05,-0.08,-0.063,0.05,0.12,0.06,0.13
"Brandon Gignac","23-24","MTL","C",7,64.82,20,13.23,26.74,-2.2,-0.094,0.1,0.08,-0.78,1.43,-0.044,0.05,0.18,-0.07,0.12,-0.05
"Brandon Hagel","23-24","T.B","L",82,1254.27,31,15.28,30.68,0.86,-0.001,0.19,0.22,0.36,-0.5,-0.002,-0.001,0.2,-0.01,0.19,0.04
"Brandon Montour","23-24","FLA","D",66,1210.18,25,13.51,28.1,3.11,0.093,0.23,0.25,1.88,-1.23,0.053,-0.04,0.19,0.05,0.18,0.07
"Brandon Saad","23-24","STL","L",82,1080.97,28,15.07,30.2,-1.08,-0.058,0.09,0.06,-0.74,0.34,-0.024,0.034,0.11,-0.02,0.09,-0.03
"Brandon Tanev","23-24","SEA","L",66,761.75,29,14.6,28.98,0.92,0.018,0.17,0.14,0.29,-0.63,-0.03,-0.048,0.07,0.1,0.05,0.09
"Brandt Clarke","23-24","L.A","D",16,189.35,22,13.76,27.89,2.06,0.095,0.26,0.21,1.15,-0.91,0.048,-0.046,0.17,0.09,0.14,0.07
"Brayden McNabb","23-24","VGK","D",82,1373.97,33,13.8,27.54,0.67,0.037,0.3,0.31,0.81,0.15,0.031,-0.006,0.27,0.04,0.27,0.04
"Brayden Pachal","23-24","CGY","D",33,450.95,28,13.07,26.21,0.17,-0.002,0.09,0.14,0.83,0.66,0.021,0.024,0.16,-0.07,0.21,-0.07
"Brayden Pachal","23-24","VGK","D",17,224.22,23,13.27,26.58,-0.18,0.037,0.32,0.27,0.27,0.45,0.002,-0.035,0.24,0.08,0.21,0.06
"Brayden Point","23-24","T.B","C",81,1260.3,31,15.82,31.77,2.02,0.046,0.28,0.3,1.66,-0.36,0.057,0.011,0.31,-0.03,0.29,0.01
"Brayden Schenn","23-24","STL","C",82,1117.9,28,15.09,30.25,-1.7,-0.064,0.1,0.1,-0.83,0.87,-0.015,0.049,0.14,-0.04,0.17,-0.07
"Brendan Brisson","23-24","VGK","C",15,169.12,28,14.55,29.02,-0.62,0.032,0.25,0.22,0.23,0.85,0.001,-0.032,0.18,0.07,0.18,0.04
"Brendan Gallagher","23-24","MTL","R",77,929.73,31,14.46,29.08,-1.77,-0.07,0.07,0.08,-0.79,0.97,-0.019,0.052,0.13,-0.07,0.15,-0.07
"Brendan Gaunce","23-24","CBJ","C",24,265.68,31,13.95,27.6,-0.9,-0.068,-0.05,0.02,0,0.91,-0.021,0.047,0.07,-0.12,0.08,-0.06
"Brendan Lemieux","23-24","CAR","L",32,254.3,28,13.65,27.48,4.47,0.142,0.25,0.31,2.13,-2.34,0.071,-0.07,0.14,0.11,0.18,0.13
"Brendan Smith","23-24","N.J","D",63,821.82,30,13.61,27.6,1.5,0.077,0.19,0.25,0.87,-0.62,0.076,-0.001,0.21,-0.02,0.23,0.02
"Brenden Dillon","23-24","WPG","D",77,1231.5,25,13.86,27.91,0.88,0.028,0.22,0.2,0.47,-0.41,0.026,-0.002,0.2,0.02,0.17,0.03
"Brent Burns","23-24","CAR","D",82,1314.68,28,13.97,28.11,5.3,0.183,0.3,0.36,3.12,-2.18,0.113,-0.07,0.22,0.08,0.25,0.11
"Brett Howden","23-24","VGK","C",72,844.45,33,14.32,28.6,-0.14,0.034,0.22,0.19,0.15,0.29,-0.009,-0.042,0.14,0.08,0.11,0.08
"Brett Kulak","23-24","EDM","D",82,1174.3,26,12.77,25.53,1.64,0.104,0.15,0.24,0.13,-1.51,0.065,-0.04,0.09,0.06,0.16,0.08
"Brett Leason","23-24","ANA","R",68,709.92,33,13.5,27.86,-2.2,-0.062,0.03,-0.04,-1.69,0.51,-0.069,-0.007,-0.01,0.04,-0.05,0
"Brett Pesce","23-24","CAR","D",70,1226.62,22,13.91,27.97,4.68,0.119,0.23,0.34,2.29,-2.39,0.055,-0.063,0.17,0.07,0.23,0.11
"Brian Dumoulin","23-24","SEA","D",80,1230.72,31,13.37,26.55,0.94,0.015,0.16,0.13,0.38,-0.57,-0.037,-0.052,0.06,0.11,0.06,0.08
"Brock Boeser","23-24","VAN","R",81,1146.73,28,14.97,30.57,2.32,0.059,0.36,0.38,0.62,-1.7,0.038,-0.021,0.33,0.03,0.3,0.08
"Brock Faber","23-24","MIN","D",82,1548.67,32,14.19,29.07,1.16,0.064,0.32,0.3,0.48,-0.68,-0.013,-0.076,0.19,0.13,0.18,0.11
"Brock McGinn","23-24","ANA","L",24,232.2,26,13.3,27.51,-1.78,-0.057,-0.02,-0.01,-1.53,0.25,-0.072,-0.015,-0.06,0.04,-0.04,0.03
"Brock Nelson","23-24","NYI","C",82,1173.55,25,15.41,30.24,1.2,0.107,0.16,0.26,1.28,0.07,0.092,-0.015,0.12,0.04,0.22,0.04
"Bryan Rust","23-24","PIT","R",62,920.1,31,16.38,33.15,2.47,0.064,0.22,0.27,2.61,0.14,0.14,0.076,0.28,-0.07,0.32,-0.05
"Byron Froese","23-24","VGK","C",16,160.92,26,13.7,27.23,-1.28,0.01,0.12,0.08,-0.54,0.74,-0.041,-0.052,0,0.12,-0.01,0.09
"Cal Clutterbuck","23-24","NYI","R",82,802.33,25,14,27.47,-1.25,0,0.15,0.14,-0.86,0.39,-0.037,-0.036,0.06,0.09,0.07,0.07
"Cal Foote","23-24","N.J","D",4,53.8,18,12.65,25.65,0.41,0.058,0.31,0.22,-0.32,-0.73,0.024,-0.033,0.29,0.02,0.19,0.04
"Cale Makar","23-24","COL","D",77,1353.47,32,15.67,32,3.44,0.106,0.5,0.52,2.49,-0.95,0.087,-0.019,0.44,0.06,0.47,0.05
"Caleb Jones","23-24","COL","D",25,298.48,33,12.43,25.39,0.8,-0.003,0.2,0.13,0.84,0.04,-0.009,-0.006,0.2,-0.01,0.13,0
"Calen Addison","23-24","MIN","D",12,148.03,22,13.57,27.79,1.02,0.035,0.24,0.27,0.32,-0.71,-0.031,-0.066,0.14,0.1,0.17,0.1
"Calen Addison","23-24","S.J","D",60,899.63,34,13.54,26.9,-1.96,-0.118,-0.07,-0.07,-0.55,1.4,-0.031,0.087,0.05,-0.12,0.07,-0.13
"Calle Jarnkrok","23-24","TOR","C",52,631.62,27,14.7,29.15,0.61,0.048,0.31,0.23,0.86,0.26,0.06,0.012,0.31,0,0.24,-0.01
"Calle Rosen","23-24","STL","D",6,74.23,18,12.49,25.03,-1.89,-0.102,-0.01,0.03,-1.18,0.71,-0.052,0.05,0.07,-0.09,0.09,-0.06
"Calvin De Haan","23-24","T.B","D",59,856.62,31,13.37,26.85,0.86,0.002,0.16,0.2,0.11,-0.75,-0.038,-0.039,0.14,0.01,0.15,0.05
"Cam Atkinson","23-24","PHI","R",70,850.38,28,14.55,29.49,1.08,0.079,0.22,0.22,1.2,0.12,0.041,-0.038,0.17,0.04,0.16,0.06
"Cam Fowler","23-24","ANA","D",81,1478.07,33,13.44,27.73,-1.31,-0.054,0.09,0.06,-0.74,0.56,-0.034,0.02,0.11,-0.02,0.1,-0.04
"Cam York","23-24","PHI","D",82,1457.58,29,14,28.37,1.14,0.077,0.18,0.21,1.07,-0.07,0.033,-0.044,0.14,0.04,0.15,0.06
"Carl Grundstrom","23-24","L.A","R",50,521.02,23,13.73,27.82,1.21,0.044,0.15,0.04,0.54,-0.68,-0.005,-0.049,0.06,0.09,-0.03,0.07
"Carson Meyer","23-24","CBJ","R",14,127.5,25,13.78,27.18,-1.19,-0.057,-0.09,-0.04,-0.38,0.81,-0.025,0.032,0.02,-0.11,0.05,-0.09
"Carson Soucy","23-24","VAN","D",40,602.63,25,13.26,27.08,1.52,0.077,0.29,0.34,0.39,-1.13,0.034,-0.043,0.24,0.06,0.28,0.06
"Carter Verhaeghe","23-24","FLA","C",76,1071.33,27,14.75,30.7,4.09,0.154,0.3,0.34,2.86,-1.23,0.112,-0.043,0.25,0.05,0.26,0.08
"Casey Cizikas","23-24","NYI","C",70,811.08,25,14.52,28.51,-1.19,0.017,0.17,0.15,-0.65,0.54,-0.012,-0.029,0.11,0.06,0.1,0.05
"Casey Mittelstadt","23-24","BUF","C",62,925.23,29,15.11,30.31,0.51,-0.028,0.17,0.16,0.51,0,-0.006,0.021,0.17,0,0.17,-0.01
"Casey Mittelstadt","23-24","COL","C",18,244.9,21,14.74,30.08,3.59,0.092,0.41,0.33,2.51,-1.08,0.058,-0.034,0.34,0.07,0.27,0.07
"Chad Ruhwedel","23-24","NYR","D",5,63.12,20,13.01,25.85,0.66,0.002,0.21,0.22,0.46,-0.2,0.008,0.005,0.25,-0.04,0.21,0.01
"Chad Ruhwedel","23-24","PIT","D",47,493.72,28,12.48,25.27,0.13,0.012,0.1,0.11,0.24,0.1,0.002,-0.01,0.09,0.01,0.1,0.01
