"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"268","Justin Danforth","CBJ","R","71","87.5","1.2323943661972","11.66","151.54","7.14","9.6","112.46","7.87","8.23","82.97","9.02","0","10.97","0.00","0.52","10.94","4.51","4.8","80.91","5.60","2.74","35.66","7.14","0","4.11","0.00","2.74","60.34","4.35","0","2.74","0.00","5.94","150.55","3.80","0","6.93","0.00","0.00","86.78","0.868","1.37","1.37","42.51","43.89","3.13","1.37","2.74","61.71","2.17"
"39","Jared Spurgeon","MIN","D","16","59.6","3.725","12.08","143.96","7.74","10.07","104.7","8.77","10.07","69.46","12.66","0","10.07","0.00","0.29","10.52","2.71","2.01","80.54","2.44","0","29.19","0.00","0","4.03","0.00","2.68","68.46","3.77","0","1.34","0.00","2.91","157.05","1.82","0","7.27","0.00","0.00","85.51","0.855","0","4.03","45.3","20.13","0.00","0","4.03","75.5","0.00"
"315","Ilya Lyubushkin","ANA, TOR","D","74","200.91666666667","2.7150900900901","9.26","140.06","6.20","8.66","101.24","7.88","7.17","71.37","9.13","0.6","10.15","5.56","0.53","10.28","4.91","1.79","75.55","2.32","1.19","28.97","3.96","0.3","2.99","9.09","0.8","62.12","1.27","0","5.97","0.00","6.47","135.45","4.56","0.43","3.88","10.00","8.33","85.77","0.941","0.3","7.17","40.02","34.94","0.74","1.49","9.85","59.13","2.46"
"242","Luke Kunin","S.J","C","77","148.08333333333","1.9231601731602","10.13","138.57","6.81","9.72","98.86","8.96","8.91","65.64","11.96","0","8.91","0.00","0.36","9.27","3.75","3.24","73.34","4.23","1.22","30.39","3.85","0","4.46","0.00","2.7","57.27","4.50","0","4.32","0.00","2.34","135.19","1.70","0","1.76","0.00","0.00","86.42","0.864","1.22","4.86","39.71","41.73","2.97","1.22","8.1","53.48","2.22"
"157","J.T. Compher","DET","L","77","189.73333333333","2.4640692640693","13.91","138.19","9.15","13.28","100.25","11.70","11.38","68.94","14.17","0.63","9.8","6.06","0.68","11.54","5.54","5.69","80.64","6.59","2.85","36.05","7.32","0.32","3.48","8.33","3.79","59.45","6.00","0.42","5.48","7.14","5.02","143.89","3.37","0","3.2","0.00","5.56","85.78","0.913","1.26","6.64","48.38","21.82","2.55","2.21","8.22","74.31","2.89"
"68","Nick Bjugstad","ARI","C","76","163.53333333333","2.1517543859649","12.84","137.95","8.52","11.37","101.63","10.06","7.7","72.65","9.59","0.73","8.44","8.00","0.65","10.68","5.78","5.14","76.68","6.28","2.57","32.65","7.29","0.73","2.94","20.00","3.42","58.7","5.51","0","3.42","0.00","7.42","155.28","4.56","0","4.24","0.00","9.52","88.38","0.979","2.2","7.34","62.74","30.82","3.39","2.94","9.54","83.29","3.40"
"71","Erik Gudbranson","CBJ","D","78","233.1","2.9884615384615","12.1","137.45","8.09","11.07","101.16","9.86","7.98","69.76","10.26","0.51","9.27","5.26","0.8","9.97","7.46","4.38","70.27","5.86","2.83","27.28","9.40","0.26","2.32","10.00","2.06","57.31","3.47","0.34","4.8","6.67","6.69","147.6","4.34","0","4.83","0.00","6.45","86.72","0.932","0.51","3.86","37.32","17.5","1.36","1.8","5.66","65.89","2.66"
"325","Nico Sturm","S.J","C","63","127.28333333333","2.0203703703704","9.43","137.17","6.43","8.49","97.58","8.00","6.13","66.47","8.44","0.47","7.54","5.88","0.38","9.59","3.80","3.3","78.72","4.02","1.41","31.58","4.29","0","2.36","0.00","2.51","62.85","3.85","0.63","4.4","12.50","4.09","132.09","3.00","0","2.72","0.00","7.69","88.65","0.963","1.41","4.24","51.38","35.35","2.68","2.36","5.66","71.18","3.21"
"330","Moritz Seider","DET","D","82","209.53333333333","2.5552845528455","15.46","137.16","10.13","14.03","99.65","12.34","11.74","66.72","14.96","1.15","8.02","12.50","1.45","11.35","11.30","7.45","82.18","8.31","4.3","36.08","10.64","0.57","2.29","20.00","4.2","61.47","6.40","0.38","5.73","6.25","5.79","136.08","4.08","0","2.07","0.00","9.76","87.98","0.977","0.29","5.15","47.25","21.19","0.60","1.72","7.16","69.58","2.41"
"224","Joel Eriksson Ek","MIN","C","77","185.86666666667","2.4138528138528","11.3","135.9","7.68","9.36","100.39","8.53","8.39","73.92","10.20","0.65","10.33","5.88","0.32","10.11","3.07","2.91","75.86","3.69","0.32","32.28","0.99","0","5.81","0.00","3.44","58.11","5.59","0.86","3.01","22.22","4.2","154.34","2.65","0","3.26","0.00","7.69","86.03","0.937","0.97","7.42","52.94","24.21","1.80","1.29","9.04","79.09","1.61"
"152","Andrew Copp","DET","C","79","183.76666666667","2.3261603375527","13.39","135.17","9.01","12.41","96.97","11.34","10.45","67.59","13.39","0.98","9.14","9.68","0.64","11.41","5.29","4.9","81.63","5.66","3.27","35.59","8.40","0.33","3.27","9.09","2.18","61.38","3.42","0.87","6.09","12.50","6.6","135.35","4.65","0","1.89","0.00","9.38","86.47","0.958","1.31","5.22","48.98","27.75","2.60","1.96","7.84","70.52","2.70"
"55","Casey Cizikas","NYI","C","70","129.4","1.8485714285714","6.03","134.93","4.28","5.56","93.2","5.63","4.64","66.31","6.54","0.46","12.52","3.57","0.75","10.25","6.82","2.78","76.04","3.53","0.93","31.53","2.86","0.46","6.03","7.14","2.47","59.35","4.00","0","4.95","0.00","2.01","115.2","1.71","0","4.02","0.00","10.00","81.12","0.911","0.46","7.88","40.8","42.66","1.12","0.93","10.2","46.37","1.96"
"167","Alexander Wennberg","NYR, SEA","C","79","166.28333333333","2.1048523206751","9.74","134.59","6.75","9.38","97.06","8.81","7.22","60.62","10.64","0.72","8.3","8.00","0.83","10.74","7.19","5.41","66.75","7.50","2.53","29.23","7.95","0.36","5.05","6.67","3.85","50.04","7.14","0","1.92","0.00","4.17","153.23","2.65","0.52","2.61","16.67","10.00","86.31","0.963","1.08","3.97","44.74","34.64","2.36","2.53","7.94","64.95","3.74"
